name,definition,codesystem,code,ontologyTermURI
"Afar","Afar","ISO_639-3:2007","aar","http://www.lexvo.org/data/iso639-3/aar"
"Abkhazian","Abkhazian","ISO_639-3:2007","abk","http://www.lexvo.org/data/iso639-3/abk"
"Achinese","Achinese","ISO_639-3:2007","ace","http://www.lexvo.org/data/iso639-3/ace"
"Acoli","Acoli","ISO_639-3:2007","ach","http://www.lexvo.org/data/iso639-3/ach"
"Adangme","Adangme","ISO_639-3:2007","ada","http://www.lexvo.org/data/iso639-3/ada"
"Adyghe; Adygei","Adyghe; Adygei","ISO_639-3:2007","ady","http://www.lexvo.org/data/iso639-3/ady"
"Afro-Asiatic languages","Afro-Asiatic languages","ISO_639-3:2007","afa","http://www.lexvo.org/data/iso639-3/afa"
"Afrihili","Afrihili","ISO_639-3:2007","afh","http://www.lexvo.org/data/iso639-3/afh"
"Afrikaans","Afrikaans","ISO_639-3:2007","afr","http://www.lexvo.org/data/iso639-3/afr"
"Ainu","Ainu","ISO_639-3:2007","ain","http://www.lexvo.org/data/iso639-3/ain"
"Akan","Akan","ISO_639-3:2007","aka","http://www.lexvo.org/data/iso639-3/aka"
"Akkadian","Akkadian","ISO_639-3:2007","akk","http://www.lexvo.org/data/iso639-3/akk"
"Albanian","Albanian","ISO_639-3:2007","alb","http://www.lexvo.org/data/iso639-3/alb"
"Aleut","Aleut","ISO_639-3:2007","ale","http://www.lexvo.org/data/iso639-3/ale"
"Algonquian languages","Algonquian languages","ISO_639-3:2007","alg","http://www.lexvo.org/data/iso639-3/alg"
"Southern Altai","Southern Altai","ISO_639-3:2007","alt","http://www.lexvo.org/data/iso639-3/alt"
"Amharic","Amharic","ISO_639-3:2007","amh","http://www.lexvo.org/data/iso639-3/amh"
"English, Old (ca.450-1100)","English, Old (ca.450-1100)","ISO_639-3:2007","ang","http://www.lexvo.org/data/iso639-3/ang"
"Angika","Angika","ISO_639-3:2007","anp","http://www.lexvo.org/data/iso639-3/anp"
"Apache languages","Apache languages","ISO_639-3:2007","apa","http://www.lexvo.org/data/iso639-3/apa"
"Arabic","Arabic","ISO_639-3:2007","ara","http://www.lexvo.org/data/iso639-3/ara"
"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)","Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)","ISO_639-3:2007","arc","http://www.lexvo.org/data/iso639-3/arc"
