id,description,belongsToDataset,propertyValue,downloadURL,mediaType
https://joeri.molgeniscloud.org/api/fdp/distribution/fdh/Analyses/csv,"MOLGENIS EMX2 data distribution at https://joeri.molgeniscloud.org for table Analyses in schema fdh, formatted as csv.",https://joeri.molgeniscloud.org/api/fdp/dataset/fdh/datasetId01,,https://joeri.molgeniscloud.org/fdh/api/csv/Analyses,https://www.iana.org/assignments/media-types/text/csv
https://fdp.lovd.nl/catalog/53786324-d4c6-cf1d-33a3-e594a92591aa/dataset/A1BG/distribution/json/v2,"This distribution lists the metadata for the LOVD2-style JSON API of the A1BG gene in the public LOVD instance at https://databases.lovd.nl/shared/.",https://fdp.lovd.nl/catalog/53786324-d4c6-cf1d-33a3-e594a92591aa/dataset/A1BG,,https://databases.lovd.nl/shared/api/rest/variants/A1BG?format=application/json,
http://data.europa.eu/88u/distribution/5156d029-0425-4ef8-aa69-6d5cadd84e2f,"Coronavirus (COVID-19):\nSARS-CoV-2 in wastewater and positive persons tested for SARS-CoV-2 (csv)",http://data.europa.eu/88u/dataset/100187-kanton-basel-stadt,,https://data.bs.ch/api/v2/catalog/datasets/100187/exports/csv,http://www.iana.org/assignments/media-types/text/csv
