tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Variable values,,,,,,,,,,,,Listing of categorical value+label definition in case of a categorical variable,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,resource,ref,1,TRUE,,Resources,,,,,Resource the variable belongs to,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,dataset,ref,1,TRUE,,Datasets,resource,,,,Dataset the variable belongs to,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,variable,ref,1,TRUE,,Variables,dataset,,,,Variable name,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,value,,1,TRUE,,,,,,,"Variable value, e.g. '1'","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,label,,,TRUE,,,,,,,"Variable label, e.g. 'Yes'","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,order,int,,,,,,,,,Order that the variable values should be displayed in,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,is missing,bool,,,,,,,,,"Whether this variable value indicates that data is missing, e.g. '-1' for 'NA'","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,ontology term URI,,,,,,,,,,Reference to ontology term that defines this categorical value,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,since version,,,,,,,,,,"When this variable value was introduced, if applicable","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
Variable values,,until version,,,,,,,,,,"When this variable value was removed, if applicable","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging",
