tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
File access,,,,,,,,,,,"http://purl.obolibrary.org/obo/STATO_0000002,http://purl.obolibrary.org/obo/NCIT_C42883","An electronic file is an information content entity which conforms to a specification or format and which is meant to hold data and information in digital form, accessible to software agents. In RD3: Individuals files stored in the sandbox environments. Files are linked to subjects, samples, and experiments, as well as with EGA accession number.","RD3"
File access,,name,string,1,TRUE,,,,,,"http://edamontology.org/data_1050,http://purl.obolibrary.org/obo/NCIT_C171191","The name (or part of a name) of a file (of any type), i.e. the literal identifier for an electronic file.","RD3"
File access,,part of collections,ref,,,,Collections,,,,http://purl.obolibrary.org/obo/NCIT_C61512,Beacon v2 Cohorts,"RD3"
File access,,hyperlink,hyperlink,,,,,,,,,Via the internet accessible link if permitted,"RD3"
File access,,access method,ontology_array,,,,File access methods,,,,,"Unique identifier of the access e.g. sftp.edera.org, airlock+gearshift:/groups/umcg-erdera-study1","RD3"
