tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Pedigree members,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C41256,"Any of the individuals who are descended from a common progenitor, related by marriage or other legal tie, or by a feeling of closeness.","RD3"
Pedigree members,,Member Id,ref,1,,,Individuals,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"Identifier of the individual","RD3"
Pedigree members,,Role,ontology,,,,FamilyRelations,,,,http://purl.obolibrary.org/obo/NCIT_C198996,"Pedigree role, defined as relationship to proband. Value from Family Member term (NCIT:C41256), e.g. ""proband"" (NCIT:C64435), ""identical twin"" (NCIT:C73429), ""mother"" (NCIT:C25189).","RD3"
Pedigree members,,Affected,bool,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C64917,"Is the individual affected by the disease in the pedigree?","RD3"
