tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Mapped resources,,,,,,,,,,,,"Mapping from collected datasets to standard/harmonised datasets, optionally including ETL syntaxes","DataCatalogueFlat,EMA",
Mapped resources,,source,ref,1,true,,Resources,,,,,Data source that is being mapped to a (common) data model,"DataCatalogueFlat,EMA",
Mapped resources,,source version,string,,,,,,,,,version of the datasource that is being mapped,"DataCatalogueFlat,EMA",
Mapped resources,,target,ref,1,true,,Resources,,,,,model being mapped to,"DataCatalogueFlat,EMA",
Mapped resources,,target version,string,,,,,,,,,version of the model being mapped to,"DataCatalogueFlat,EMA",
Mapped resources,,cdms other,,,,,,,,,,"if cdm is not under targets, which cdm was mapped to? (default = not applicable)","DataCatalogueFlat,EMA",
Mapped resources,,mapping status,ontology,,,CatalogueOntologies,Mapping status,,,,,"Mapping from collected datasets to standard/harmonised datasets, optionally including ETL syntaxes","DataCatalogueFlat,EMA",
Mapped resources,,ETL frequency,int,,,,,,,,,"The frequency of the ETL process, in months","DataCatalogueFlat,EMA",
Mapped resources,,ETL specification url,hyperlink,,,,,,,,,Link to ETL specification documentation,"DataCatalogueFlat,EMA",
Mapped resources,,ETL specification document,file,,,,,,,,,Documentation concerning ETL details,"DataCatalogueFlat,EMA",
