tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,computed,defaultValue,visible
Smart apps,Resources,,,,,,,,,,,Listing of smart apps,,,,
Smart apps,,model reference,hyperlink_array,,,,,,,,,Foreign key reference to the ML model or the classical risk score algorithm which has been used to create this smart application,"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,model version,string,,,,,,,,,"Version id of the model, if the app is tied to a specific deployed model build","DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,version,string,,TRUE,,,,,,dcterms:version,Version of the smart application,"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,keywords,string_array,,,,,,,,dcat:keywords,Tags for the smart application,"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,category,ontology_array,,,CatalogueOntologies,Smart app categories,,,,,"E.g. Care Coordination, Population Health, Patient Engagement, Medication Review, Data Visualization, Risk Calculation, Disease Management","DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,health theme,hyperlink_array,,,,,,,,healthdcatap:healthTheme,"e.g. Wikidata URIs  indicating clinical specialities such as cardiology, oncology","DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,trl level,string,,,,,,,,,Technology readiness level (TRL) for smart application ( Valueset to be defined),"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,license,hyperlink_array,,,,,,,,dcterms:license,Specifies the type of license or legal agreement governing the usage and distribution of the smart application,"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,primary use,,,TRUE,,,,,,,"Describes the primary intended use of the smart application, outlining its main application or purpose","DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,secondary use,,,,,,,,,,Indicates any secondary or additional use cases for the smart applicationl beyond its primary purpose,"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,intended users,string,,TRUE,,,,,,,Provides information about the intended users or user groups for the smart application (Valueset can be defined),"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,contra indications,,,,,,,,,,"Enumerates any specific conditions, scenarios or contexts where the use of the smart application is not recommended or contraindicated","DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,ethical considerations,,,,,,,,,,,,,,
Smart apps,,limitations,,,,,,,,,,,,,,
Smart apps,,fhir compatibility,,,,,,,,,,"FHIR version suported, e.g. DSTU 2, STU 3, STU 4 (Valueset can be defined)","DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,smartLaunchURI,hyperlink_array,,TRUE,,,,,,,OAuth  Launch URL ,"DataCatalogueFlat,SmartAppsStaging",,,
Smart apps,,redirectURIs,hyperlink_array,,TRUE,,,,,,,OAuth  Redirect URL,"DataCatalogueFlat,SmartAppsStaging",,,
