tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Container,,,,,,,,,,,ldp:DirectContainer,"An LDPC that is similar to a LDP-DC but it allows an indirection with the ability to list as member a resource, such as a URI representing a real-world object, that is different from the resource that is created","FAIRDataPoint,DataCatalogueFlat"
Container,,id,string,1,TRUE,,,,,,schema:identifier,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc.","FAIRDataPoint,DataCatalogueFlat"
Container,,title,string_array,,,,,,,,dcterms:title,A name given to the resource.,"FAIRDataPoint,DataCatalogueFlat"
Container,,membershipResource,hyperlink,,,,,,,,ldp:membershipResource,"This relation points to the identifier of the FAIR Data Point that is related to this container. The object of this property MUST be an instance of fdp-o:FAIRDataPoint. Here, typically an row (i.e. instance) of the Endpoint table.","FAIRDataPoint,DataCatalogueFlat"
Container,,hasMemberRelation,hyperlink,,,,,,,,ldp:hasMemberRelation,This relation points to the URI of the custom relation/predicate used to relate the FAIR Data Point with its member catalogs. The object of this property MUST be fdp-o:metadataCatalog.,"FAIRDataPoint,DataCatalogueFlat"
Container,,contains,ref_array,,,,Resources,,,,ldp:contains,"Identifier of the resources contained in this container. In this case, the identifiers of the catalogs available in this FAIR Data Point. The object of this property MUST be an instance of dcat:Catalog or a sub-class of it.",DataCatalogueFlat
Container,,containsCatalogs,ref_array,,,,Catalog,,,,ldp:contains,desc,FAIRDataPoint
Container,,containsDatasets,ref_array,,,,Dataset,,,,ldp:contains,desc,FAIRDataPoint
Container,,containsDistributions,ref_array,,,,Distribution,,,,ldp:contains,desc,FAIRDataPoint
