tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,visible,defaultValue,semantics,description,profiles,computed
Organisation roles,,,,,,,,,,,,,"foaf:Agent,org:Organization","Brings together information regarding organisations and the resources they play a role in.","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",
Organisation roles,,id,,1,TRUE,auto_id,,,,,,,,Internal identifier. Automatically generated.,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",
Organisation roles,,resource,ref,,TRUE,,Resources,,,,,,,Resource this Organisation role is associated with,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",
Organisation roles,,organisation,ref,,,CatalogueOntologies,ROR,,,,,,,Organisation from Research Organization Registry (ROR).,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",
Organisation roles,,organisation not in ROR,text,,,,,,,,,,,"If your organisation is not listed, please look up in ROR: https://ror.org/ and preferably provide ROR id, otherwise fill out your organisation name.","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",
Organisation roles,,email,email,,if(resource?.hricore === true) 'This field is mandatory for HRICore compatibility',,,,,,,,foaf:mbox,E-mail address to contact this organisation,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",
Organisation roles,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,,,Type(s) of contribution or role in the resource,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",
Organisation roles,,is lead organisation,bool,,,,,,,,,,,Whether the organisation is the lead organisation of this resource,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",
Organisation roles,,organisation name,,,,,,,,,,,foaf:name,"Organisation name, copied value from ROR ontology for DCAT conform RDF generation","DataCatalogueFlat,EMA",
Organisation roles,,organisation pid,,,,,,,,,,,dcterms:identifier,"ROR id, copied value from ROR ontology for DCAT conform RDF generation","DataCatalogueFlat,EMA",
Organisation roles,,organisation website,hyperlink,,,,,,,,,,foaf:homepage,"Organisation website, copied value from ROR ontology for DCAT conform RDF generation","DataCatalogueFlat,EMA",
