tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Networks,,,,,,,,,,,dcat:Catalog,Network of ,"DataCatalogueFlat,EMA"
Networks,,overview,heading,,,,,,,,,General information,DataCatalogueFlat
Networks,,id,,1,true,,,,,,dct:identifier,Internal identifier,"DataCatalogueFlat,EMA"
Networks,,pid,,2,,,,,,,dct:identifier,Persistent identifier,"DataCatalogueFlat,EMA"
Networks,,acronym,,,,,,,,,dct:alternative,Acronym if applicable,"DataCatalogueFlat,EMA"
Networks,,name,text,3,true,,,,,,dct:title,Name used in European projects,"DataCatalogueFlat,EMA"
Networks,,network type,ontology_array,,,CatalogueOntologies,Network types,,,,dct:type,"Type of network, e.g. h2020 project",DataCatalogueFlat
Networks,,features,ontology_array,,,CatalogueOntologies,Network features,,,,,Characterizations of the network,"DataCatalogueFlat,EMA"
Networks,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,"DataCatalogueFlat,EMA"
Networks,,lead organisation,ref_array,,,,Organisations,,,,dct:creator,lead organisation (e.g. research department or group) for this resource,"DataCatalogueFlat,EMA"
Networks,,additional organisations,ref_array,,,,Organisations,,,,dct:contributor,List the names of any additional organisations that contributed to the resource,"DataCatalogueFlat,EMA"
Networks,,other organisations,text,,,,,,,,dct:contributor,List the names of any other organisations that are not listed and contributed to this resource,EMA
Networks,,description,text,,,,,,,,dct:description,Short description,"DataCatalogueFlat,EMA"
Networks,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",DataCatalogueFlat
Networks,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dct:spatial,Countries where data from this resource largely originate from,"DataCatalogueFlat,EMA"
Networks,,start year,int,,,,,,,,,Year when the network was created,DataCatalogueFlat
Networks,,end year,int,,,,,,,,,Year when the network ended,DataCatalogueFlat
Networks,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,"DataCatalogueFlat,EMA"
Networks,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource,"DataCatalogueFlat,EMA"
Networks,,acknowledgements,text,,,,,,,,,Acknowledgement statement and citation regulation for this resource,DataCatalogueFlat
Networks,,data sources,refback,,,,Collections,,,,dct:dataset,,"DataCatalogueFlat,EMA"
Networks,,databanks,refback,,,,Collections,,,,dct:dataset,,DataCatalogueFlat
Networks,,cohorts,refback,,,,Collections,,,,dct:dataset,,DataCatalogueFlat
Networks,,models,refback,,,,Collections,,,,dct:dataset,The common data model(s) used by this network,DataCatalogueFlat
Networks,,networks,ref_array,,,,Networks,,,,dct:hasPart,The consortia or networks that are involved in this network,DataCatalogueFlat
