tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,comment
CatalogRecord,,,,,,,,,,,http://www.w3.org/ns/dcat#CatalogRecord,,DCAT,
CatalogRecord,,identifier,string,1,TRUE,,,,,,http://purl.org/dc/terms/identifier,A unique identifier of the item.,DCAT,custom
CatalogRecord,,catalog,ref_array,,,,Catalog,,,,http://www.w3.org/ns/dcat#Catalog,Reference to any catalogs that contains this item.,DCAT,custom
CatalogRecord,,title,string_array,,,,,,,,http://purl.org/dc/terms/title,A name given to the record.,DCAT,DCAT CatalogRecord
CatalogRecord,,description,string_array,,,,,,,,http://purl.org/dc/terms/description,A free-text account of the item.,DCAT,DCAT CatalogRecord
CatalogRecord,,conforms to,hyperlink_array,,,,,,,,http://purl.org/dc/terms/conformsTo,An established standard to which the item conforms to.,DCAT,DCAT CatalogRecord
CatalogRecord,,primary topic Catalog,ref,,TRUE,,Catalog,,,,http://xmlns.com/foaf/0.1/primaryTopic,The catalog described in this item.,DCAT,DCAT CatalogRecord / DCAT-AP-V3 CatalogRecord: required
CatalogRecord,,primary topic Dataset,ref,,TRUE,,Dataset,,,,http://xmlns.com/foaf/0.1/primaryTopic,The dataset described in this item.,DCAT,DCAT CatalogRecord / DCAT-AP-V3 CatalogRecord: required
CatalogRecord,,primary topic Service,ref,,TRUE,,DataService,,,,http://xmlns.com/foaf/0.1/primaryTopic,The service described in this item.,DCAT,DCAT CatalogRecord / DCAT-AP-V3 CatalogRecord: required
CatalogRecord,,release date,datetime,,,,,,,,http://purl.org/dc/terms/issued,Formal date of publication.,DCAT,DCAT CatalogRecord
CatalogRecord,,modification date,datetime,,TRUE,,,,,,http://purl.org/dc/terms/modified,Most recent date of modification.,DCAT,DCAT CatalogRecord / DCAT-AP-V3 CatalogRecord: required
CatalogRecord,,status,ontology,,,,Status,,,,http://www.w3.org/ns/adms#status,"The status of this item (in context of the Resource it belongs to).",DCAT-AP-v3,DCAT-AP-v3 CatalogRecord / TODO: use helper function to extract it from other table.
CatalogRecord,,source,ref,,,,CatalogRecord,,,,http://purl.org/dc/terms/source,The original metadata used in creating metadata for the dataset / data service / dataset series this item belongs to.,DCAT-AP-v3,DCAT-AP-v3 CatalogRecord
