tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Federated data access,,,,,,,,,,,,,,,,,,,List of Armadillo and/or Opal server(s) available for this resource.
Federated data access,,,id,auto_id,1,true,,,,,,,,,,,,,
Federated data access,,,cohort,ref,,,catalogue,Resources,,,,,,,,,,,
Federated data access,,,type,,,true,,,,,,,,,,,,,For example: Armadillo or Opal.
Federated data access,,,version,,,,,,,,,,,,,,,,Armadillo versions: https://github.com/molgenis/molgenis-service-armadillo/tags and Opal versions: https://github.com/obiba/opal/tags
Federated data access,,,profiles,string_array,,,,,,,,,,,,,,,DataSHIELD profiles installed on server: https://wiki.datashield.org/en/opmanag/standard-profiles-and-platforms
Federated data access,,,status,bool,,,,,,,,,,,,,,,Server status Up or Down.
