tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Resource,,access rights,,,,,,,,,http://purl.org/dc/terms/accessRights,,DCAT
Resource,,conforms to,,,,,,,,,http://purl.org/dc/terms/conformsTo,,DCAT
Resource,,contact point,,,,,,,,,http://www.w3.org/ns/dcat#contactPoint,,DCAT
Resource,,creator,,,,,,,,,http://purl.org/dc/terms/creator,,DCAT
Resource,,description,,,,,,,,,http://purl.org/dc/terms/description,,DCAT
Resource,,has part,,,,,,,,,http://purl.org/dc/terms/hasPart,,DCAT
Resource,,has policy,,,,,,,,,http://www.w3.org/ns/odrl/2/hasPolicy,,DCAT
Resource,,identifier,,1,,,,,,,http://purl.org/dc/terms/identifier,,DCAT
Resource,,is referenced by,,,,,,,,,http://purl.org/dc/terms/isReferencedBy,,DCAT
Resource,,keyword,,,,,,,,,http://www.w3.org/ns/dcat#keyword,,DCAT
Resource,,landing page,,,,,,,,,http://www.w3.org/ns/dcat#landingPage,,DCAT
Resource,,license,,,,,,,,,http://purl.org/dc/terms/license,,DCAT
Resource,,language,,,,,,,,,http://purl.org/dc/terms/language,,DCAT
Resource,,relation,,,,,,,,,http://purl.org/dc/terms/relation,,DCAT
Resource,,rights,,,,,,,,,http://purl.org/dc/terms/rights,,DCAT
Resource,,qualified relation,,,,,,,,,http://www.w3.org/ns/dcat#qualifiedRelation,,DCAT
Resource,,publisher,,,,,,,,,http://purl.org/dc/terms/publisher,,DCAT
Resource,,release date,,,,,,,,,http://purl.org/dc/terms/issued,,DCAT
Resource,,theme,,,,,,,,,http://www.w3.org/ns/dcat#theme,,DCAT
Resource,,title,,,,,,,,,http://purl.org/dc/terms/title,,DCAT
Resource,,type,,,,,,,,,http://purl.org/dc/terms/type,,DCAT
Resource,,update date,,,,,,,,,http://purl.org/dc/terms/modified,,DCAT
Resource,,qualified attribution,,,,,,,,,prov:qualifiedAttribution,,DCAT
Resource,,current version,,,,,,,,,http://www.w3.org/ns/dcat#hasCurrentVersion,,DCAT
Resource,,has version,,,,,,,,,http://www.w3.org/ns/dcat#hasVersion,,DCAT
Resource,,previous version,,,,,,,,,http://www.w3.org/ns/dcat#previousVersion,,DCAT
Resource,,replaces,,,,,,,,,http://purl.org/dc/terms/replaces,,DCAT
Resource,,status,,,,,,,,,http://www.w3.org/ns/adms#status,,DCAT
Resource,,version,,,,,,,,,http://www.w3.org/ns/dcat#version,,DCAT
Resource,,version notes,,,,,,,,,http://www.w3.org/ns/adms#versionNotes,,DCAT
Resource,,first,,,,,,,,,http://www.w3.org/ns/dcat#first,,DCAT
Resource,,last,,,,,,,,,http://www.w3.org/ns/dcat#last,,DCAT
Resource,,previous,,,,,,,,,http://www.w3.org/ns/dcat#prev,,DCAT
