tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Resource cohort counts,,,,,,,,,,,,"Number of participants per cohort age group, optionally divided per sex","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohort counts,,resource,ref,1,true,,Resources,,,,,,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohort counts,,cohort,ref,1,true,,Resource cohorts,resource,,,,,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohort counts,,age group,ontology,1,true,CatalogueOntologies,Age groups,,,,,,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohort counts,,N total,int,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohort counts,,N female,int,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohort counts,,N male,int,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
