tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Resource mappings,,,,,,,,,,,,"Mapping from collected resources to standard/harmonised resources, optionally including ETL syntaxes","DataCatalogueFlat,EMA",
Resource mappings,,source,ref,1,TRUE,,Resources,,,,,Data resource that is being mapped to a (common) data model,"DataCatalogueFlat,EMA",
Resource mappings,,source version,string,,,,,,,,,Version of the resource that is being mapped,"DataCatalogueFlat,EMA",
Resource mappings,,target,ref,1,TRUE,,Resources,,,,,Model being mapped to,"DataCatalogueFlat,EMA",
Resource mappings,,target version,string,,,,,,,,,Version of the model being mapped to,"DataCatalogueFlat,EMA",
Resource mappings,,cdms other,,,,,,,,,,"If cdm is not under targets, which cdm was mapped to? (default = not applicable)","DataCatalogueFlat,EMA",
Resource mappings,,mapping status,ontology,,,CatalogueOntologies,Mapping status,,,,,Mapping status,"DataCatalogueFlat,EMA",
Resource mappings,,ETL frequency,int,,,,,,,,,"The frequency of the ETL process, in months","DataCatalogueFlat,EMA",
Resource mappings,,ETL specification url,hyperlink,,,,,,,,,Link to ETL specification documentation,"DataCatalogueFlat,EMA",
Resource mappings,,ETL specification document,file,,,,,,,,,Documentation concerning ETL details,"DataCatalogueFlat,EMA",
