order,name,label,parent,codesystem,code,ontologyTermURI,definition
303,dsOmics-1.1,1.1,dsOmics-1,,,,
1,dsBase,,,,,,
2,dsMediation,,,,,,
3,dsOmics,,,,,,
4,dsExposome,,,,,,
5,dsSurvival,,,,,,
6,dsMTLBase,,,,,,
101,dsBase-6,6,dsBase,,,,
102,dsBase-5,5,dsBase,,,,
103,dsBase-4,4,dsBase,,,,
104,dsBase-3,3,dsBase,,,,
105,dsBase-2,2,dsBase,,,,
106,dsBase-1,1,dsBase,,,,
107,dsBase-6.3.0,6.3.0,dsBase-6,,,,
108,dsBase-6.2.0,6.2.0,dsBase-6,,,,
109,dsBase-6.1.1,6.1.1,dsBase-6,,,,
110,dsBase-6.1.0,6.1.0,dsBase-6,,,,
111,dsBase-6.0.1,6.0.1,dsBase-6,,,,
112,dsBase-6.0.0,6.0.0,dsBase-6,,,,
113,dsBase-5.1.0,5.1.0,dsBase-5,,,,
114,dsBase-5.0.0,5.0.0,dsBase-5,,,,
115,dsBase-4.0.0,4.0.0,dsBase-4,,,,
116,dsBase-3.0.1,3.0.1,dsBase-3,,,,
117,dsBase-3.0.0,3.0.0,dsBase-3,,,,
118,dsBase-2.4.4,2.4.4,dsBase-2,,,,
119,dsBase-2.4.3,2.4.3,dsBase-2,,,,
120,dsBase-2.4.2,2.4.2,dsBase-2,,,,
121,dsBase-2.4.1,2.4.1,dsBase-2,,,,
122,dsBase-2.4.0,2.4.0,dsBase-2,,,,
123,dsBase-2.3,2.3,dsBase-2,,,,
124,dsBase-2.2,2.2,dsBase-2,,,,
125,dsBase-2.1,2.1,dsBase-2,,,,
126,dsBase-2.0,2.0,dsBase-2,,,,
127,dsBase-1.3,1.3,dsBase-1,,,,
128,dsBase-1.2,1.2,dsBase-1,,,,
129,dsBase-1.1,1.1,dsBase-1,,,,
130,dsBase-1.0,1.0,dsBase-1,,,,
201,dsMediation-0.0.3,0.0.3,dsMediation,,,,
202,dsMediation-0.0.2,0.0.2,dsMediation,,,,
203,dsMediation-0.0.1,0.0.1,dsMediation,,,,
301,dsOmics-1,1,dsOmics,,,,
302,dsOmics-2.0.0,2.0.0,dsOmics,,,,
304,dsOmics-1.0.18,1.0.18,dsOmics-1,,,,
305,dsOmics-1.0.17,1.0.17,dsOmics-1,,,,
306,dsOmics-1.0.16,1.0.16,dsOmics-1,,,,
307,dsOmics-1.0.15,1.0.15,dsOmics-1,,,,
308,dsOmics-1.0.14,1.0.14,dsOmics-1,,,,
309,dsOmics-1.0.13,1.0.13,dsOmics-1,,,,
310,dsOmics-1.0.12,1.0.12,dsOmics-1,,,,
311,dsOmics-1.0.11,1.0.11,dsOmics-1,,,,
312,dsOmics-1.0.10,1.0.10,dsOmics-1,,,,
313,dsOmics-1.0.9,1.0.9,dsOmics-1,,,,
314,dsOmics-1.0.8,1.0.8,dsOmics-1,,,,
315,dsOmics-1.0.7.12,1.0.7.12,dsOmics-1,,,,
316,dsOmics-1.0.7.11,1.0.7.11,dsOmics-1,,,,
317,dsOmics-1.0.7.10,1.0.7.10,dsOmics-1,,,,
318,dsOmics-1.0.7.9,1.0.7.9,dsOmics-1,,,,
319,dsOmics-1.0.7.8,1.0.7.8,dsOmics-1,,,,
320,dsOmics-1.0.7.7,1.0.7.7,dsOmics-1,,,,
321,dsOmics-1.0.7.6,1.0.7.6,dsOmics-1,,,,
322,dsOmics-1.0.7.5,1.0.7.5,dsOmics-1,,,,
323,dsOmics-1.0.7.4,1.0.7.4,dsOmics-1,,,,
324,dsOmics-1.0.7.3,1.0.7.3,dsOmics-1,,,,
325,dsOmics-1.0.7.2,1.0.7.2,dsOmics-1,,,,
326,dsOmics-1.0.7.1,1.0.7.1,dsOmics-1,,,,
327,dsOmics-1.0.7,1.0.7,dsOmics-1,,,,
328,dsOmics-1.0.6,1.0.6,dsOmics-1,,,,
329,dsOmics-1.0.5,1.0.5,dsOmics-1,,,,
330,dsOmics-1.0.4,1.0.4,dsOmics-1,,,,
331,dsOmics-1.0.3,1.0.3,dsOmics-1,,,,
332,dsOmics-1.0.2,1.0.2,dsOmics-1,,,,
401,dsExposome-2,2,dsExposome,,,,
402,dsExposome-1,1,dsExposome,,,,
403,dsExposome-2.0.9,2.0.9,dsExposome-2,,,,
404,dsExposome-2.0.8,2.0.8,dsExposome-2,,,,
405,dsExposome-2.0.7,2.0.7,dsExposome-2,,,,
406,dsExposome-2.0.6,2.0.6,dsExposome-2,,,,
407,dsExposome-2.0.5,2.0.5,dsExposome-2,,,,
408,dsExposome-2.0.4,2.0.4,dsExposome-2,,,,
409,dsExposome-2.0.3,2.0.3,dsExposome-2,,,,
410,dsExposome-2.0.2,2.0.2,dsExposome-2,,,,
411,dsExposome-2.0.1,2.0.1,dsExposome-2,,,,
412,dsExposome-1.1.2,1.1.2,dsExposome-1,,,,
