name,ontologyTermURI,latitude,longitude,city,country,organisationType,codesystem,code
AZ Delta,https://ror.org/04b0her22,50.938138,3.114624,Roeselare,Belgium,Healthcare,ROR,04b0her22
AZ Groeninge,https://ror.org/01cz3wf89,50.82803,3.26487,Kortrijk,Belgium,Healthcare,ROR,01cz3wf89
AZ Klina,https://ror.org/00h1gfz86,51.297883,4.488611,Brasschaat,Belgium,Healthcare,ROR,00h1gfz86
AZ Maria Middelares,https://ror.org/048pv7s22,51.025461,3.7023,Ghent,Belgium,Healthcare,ROR,048pv7s22
AZ Sint-Blasius,https://ror.org/0411byy62,51.027596,4.117315,Dendermonde,Belgium,Healthcare,ROR,0411byy62
AZ Sint-Jan,https://ror.org/030h1vb90,51.219998,3.193777,Bruges,Belgium,Healthcare,ROR,030h1vb90
AZ Sint-Lucas,https://ror.org/01h5ykb44,51.185125,3.249138,Bruges,Belgium,Healthcare,ROR,01h5ykb44
Académie Royale des Beaux-Arts,https://ror.org/0200zrw72,50.843781,4.348006,Brussels,Belgium,Education,ROR,0200zrw72
Académie Royale des Beaux-Arts de Liège,https://ror.org/01k0y5630,50.647095,5.568724,Liège,Belgium,Education,ROR,01k0y5630
Académie des Beaux-Arts de Tournai,https://ror.org/02k7ygp86,50.607721,3.390032,Tournai,Belgium,Education,ROR,02k7ygp86
Agfa HealthCare,https://ror.org/05raay295,51.178117,4.444,Mortsel,Belgium,Healthcare,ROR,05raay295
"Amis de l'Institut Bordet",https://ror.org/0073n0s52,50.833352,4.347062,Brussels,Belgium,Facility,ROR,0073n0s52
Antwerp Management School,https://ror.org/00hm4a331,51.220639,4.41075,Antwerp,Belgium,Education,ROR,00hm4a331
Antwerp Maritime Academy,https://ror.org/04ag58v20,51.240589,4.39816,Antwerp,Belgium,Education,ROR,04ag58v20
Antwerp University Hospital,https://ror.org/01hwamj44,51.22047,4.40026,Antwerp,Belgium,Healthcare,ROR,01hwamj44
Artesis Plantijn Hogeschool Antwerpen,https://ror.org/0075f1c08,51.22047,4.40026,Antwerp,Belgium,Education,ROR,0075f1c08
Artevelde University College Ghent,https://ror.org/04ffw0491,51.055547,3.723248,Ghent,Belgium,Education,ROR,04ffw0491
Arts²,https://ror.org/00tf9x563,50.455277,3.953137,Mons,Belgium,Education,ROR,00tf9x563
Belgian Building Research Institute,https://ror.org/03rc1y976,50.85045,4.34878,Brussels,Belgium,Facility,ROR,03rc1y976
Belgian Ceramic Research Centre,https://ror.org/02x4mx473,50.446202,3.963476,Mons,Belgium,Facility,ROR,02x4mx473
Belgian Health Care Knowledge Centre,https://ror.org/02depad46,50.85045,4.34878,Brussels,Belgium,Healthcare,ROR,02depad46
Belgian Nuclear Research Centre,https://ror.org/020xs5r81,51.218524,5.093236,Mol,Belgium,Facility,ROR,020xs5r81
Belgian Society for Pneumology,https://ror.org/02ceryg42,50.850836,4.352728,Brussels,Belgium,Education,ROR,02ceryg42
Bio Base Europe,https://ror.org/05s43gd64,51.136358,3.789532,Ghent,Belgium,Facility,ROR,05s43gd64
Biomedical Informatics Research Center Antwerp,https://ror.org/02y3cnq68,51.223021,4.410264,Antwerp,Belgium,Facility,ROR,02y3cnq68
Boston University Brussels,https://ror.org/02vpfbn76,50.818316,4.402494,Brussels,Belgium,Education,ROR,02vpfbn76
Brixiis Astronomical Observatory,https://ror.org/008xh4d89,51.164118,4.310443,Kruibeke,Belgium,Facility,ROR,008xh4d89
Brussels Management School,https://ror.org/01kdhhd16,50.828006,4.45553,Brussels,Belgium,Education,ROR,01kdhhd16
CHR Verviers,https://ror.org/02q6q3y87,50.583255,5.859859,Verviers,Belgium,Healthcare,ROR,02q6q3y87
CHU Ambroise Paré,https://ror.org/02d9v9944,50.45413,3.95229,Mons,Belgium,Healthcare,ROR,02d9v9944
CHU Dinant Godinne UCL Namur,https://ror.org/00ntbvq76,50.35835,4.88118,Namur,Belgium,Healthcare,ROR,00ntbvq76
Cancer Research Institute Ghent,https://ror.org/02afm7029,51.023021,3.723231,Ghent,Belgium,Facility,ROR,02afm7029
Carolus Magnus University,https://ror.org/02d2pe314,50.833044,4.357608,Brussels,Belgium,Education,ROR,02d2pe314
Catholic University College of Bruges–Ostend,https://ror.org/0113zvv22,51.1864,3.206202,Bruges,Belgium,Education,ROR,0113zvv22
Celabor,https://ror.org/005cv6b38,50.624801,5.830564,Herve,Belgium,Facility,ROR,005cv6b38
Center for Beta Cell Therapy in Diabetes,https://ror.org/00gef5g33,50.850249,4.355885,Brussels,Belgium,Facility,ROR,00gef5g33
"Centre Belge d'Etude de la Corrosion",https://ror.org/01kmcf465,50.725389,4.399387,Waterloo,Belgium,Facility,ROR,01kmcf465
Centre Hospitalier Chrétien,https://ror.org/002atrf55,50.648375,5.555951,Liège,Belgium,Healthcare,ROR,002atrf55
Centre Hospitalier Interrégional Edith Cavell,https://ror.org/03003by36,50.81361,4.356897,Brussels,Belgium,Healthcare,ROR,03003by36
Centre Hospitalier Régional de Huy,https://ror.org/05jccej20,50.514142,5.239902,Huy,Belgium,Healthcare,ROR,05jccej20
Centre Hospitalier Régional de Namur,https://ror.org/00kc2sb72,50.467777,4.887447,Namur,Belgium,Healthcare,ROR,00kc2sb72
Centre Hospitalier Universitaire Brugmann,https://ror.org/011apjk30,50.887172,4.331029,Brussels,Belgium,Healthcare,ROR,011apjk30
Centre Hospitalier Universitaire de Liège,https://ror.org/044s61914,50.572386,5.56717,Liège,Belgium,Healthcare,ROR,044s61914
Centre Hospitalier Universitaire de Saint-Pierre,https://ror.org/05cmp5q80,50.85045,4.34878,Brussels,Belgium,Healthcare,ROR,05cmp5q80
Centre Hospitalier Universitaire de Tivoli,https://ror.org/02zekek97,50.48657,4.18785,La Louvière,Belgium,Healthcare,ROR,02zekek97
Centre Hospitalier de Mouscron,https://ror.org/01ztenz65,50.749682,3.220962,Mouscron,Belgium,Healthcare,ROR,01ztenz65
Centre Hospitalier de Wallonie Picarde,https://ror.org/00bv4hb15,50.614416,3.386929,Tournai,Belgium,Healthcare,ROR,00bv4hb15
"Centre Technique de l'Industrie du Bois",https://ror.org/01d9x6s51,50.850186,4.349295,Brussels,Belgium,Facility,ROR,01d9x6s51
"Centre d'Enseignement et de Recherches des Industries Alimentaires et Chimiques",https://ror.org/048n5xe95,50.815584,4.296311,Brussels,Belgium,Education,ROR,048n5xe95
Centre d’Economie rurale,https://ror.org/05bh7ff72,50.199728,5.310399,Marche-en-Famenne,Belgium,Education,ROR,05bh7ff72
Centre for Advanced Process Technology for Urban Resource Recovery,https://ror.org/04s6red60,51.0527855,3.7085585,Ghent,Belgium,Facility,ROR,04s6red60
Centre hospitalier régional de la Citadelle,https://ror.org/059kfmf89,50.65213,5.574971,Liège,Belgium,Healthcare,ROR,059kfmf89
Clinic of Hope,https://ror.org/03z222993,50.645401,5.514129,Montegnée,Belgium,Healthcare,ROR,03z222993
Clinique Saint Jean,https://ror.org/01dd1x730,50.855229,4.360402,Brussels,Belgium,Healthcare,ROR,01dd1x730
Clinique Saint Pierre,https://ror.org/009w8mm15,50.667033,4.561909,Ottignies,Belgium,Healthcare,ROR,009w8mm15
