id,location name,alternate id,city,country,continent,latitude,longitude,website,tooltip content,primary category,primary category label,secondary category,secondary category label,description,included in chart
Q1056152,Royal Palace of Amsterdam,,,Netherlands (the),Europe,52.37317,4.89136,https://en.wikipedia.org/wiki/Royal_Palace_of_Amsterdam,,palace,,,,,landmarks map
Q1072284,Huis ten Bosch,,,Netherlands (the),Europe,52.09306,4.34389,https://en.wikipedia.org/wiki/Huis_ten_Bosch,,palace,,,,,landmarks map
Q234048,Soestdijk Palace,,,Netherlands (the),Europe,52.19333,5.27944,https://en.wikipedia.org/wiki/Soestdijk_Palace,,palace,,,,,landmarks map
Q692381,Het Loo Palace,,,Netherlands (the),Europe,52.23417,5.94583,https://en.wikipedia.org/wiki/Het_Loo_Palace,,palace,,,,,landmarks map
Q2426916,Muiderslot,,,Netherlands (the),Europe,52.33423,5.07181,https://en.wikipedia.org/wiki/Muiden_Castle,,castle,,,,,landmarks map
Q1735318,Castle de Haar,,,Netherlands (the),Europe,52.12143,4.98635,https://en.wikipedia.org/wiki/De_Haar_Castle,,castle,,,,,landmarks map
Q2177577,Loevestein Castle,,,Netherlands (the),Europe,51.81639,5.02139,https://en.wikipedia.org/wiki/Loevestein_Castle,,castle,,,,,landmarks map
Q1889721,Noordeinde Palace,,,Netherlands (the),Europe,52.08092,4.30614,https://en.wikipedia.org/wiki/Noordeinde_Palace,,palace,,,,,landmarks map
Q924769,Pampus,,,Netherlands (the),Europe,52.36472,5.06889,https://en.wikipedia.org/wiki/Pampus,,fortress,,,,,landmarks map
Q559460,Huis Doorn,,,Netherlands (the),Europe,52.03139,5.33861,https://en.wikipedia.org/wiki/Huis_Doorn,,palace,,,,,landmarks map
Q572269,Amerongen Castle,,,Netherlands (the),Europe,51.99528,5.45833,https://en.wikipedia.org/wiki/Amerongen_Castle,,castle,,,,,landmarks map
Q572230,Kasteel Hoensbroek,,,Netherlands (the),Europe,50.91701,5.91745,https://en.wikipedia.org/wiki/Hoensbroek_Castle,,castle,,,,,landmarks map
Q1473283,Valkenburg Castle,,,Netherlands (the),Europe,50.86194,5.83083,https://en.wikipedia.org/wiki/Valkenburg_Castle,,ruin,,,,,landmarks map
Q5470838,Bourtange Fortress,,,Netherlands (the),Europe,53.006,7.192,https://en.wikipedia.org/wiki/Fort_Bourtange,,fortress,,,,,landmarks map
Q1783601,Drakesteijn,,,Netherlands (the),Europe,52.17972,5.22722,https://en.wikipedia.org/wiki/Drakensteyn_Castle,,castle,,,,,landmarks map
Q2447969,Ammersoyen Castle,,,Netherlands (the),Europe,51.75167,5.22917,https://en.wikipedia.org/wiki/Ammersoyen_Castle,,castle,,,,,landmarks map
Q2012221,Doornenburg Castle,,,Netherlands (the),Europe,51.89361,5.99889,https://en.wikipedia.org/wiki/Doornenburg_Castle,,castle,,,,,landmarks map
Q17605261,Castle Huis Bergh,,,Netherlands (the),Europe,51.87431,6.24112,https://en.wikipedia.org/wiki/Huis_Bergh,,castle,,,,,landmarks map
Q2534458,Slangenburg Castle,,,Netherlands (the),Europe,51.96056,6.36083,https://en.wikipedia.org/wiki/Slangenburg_Castle,,castle,,,,,landmarks map
Q680425,Doorwerth Castle,,,Netherlands (the),Europe,51.9667,5.78884,https://en.wikipedia.org/wiki/Doorwerth_Castle,,castle,,,,,landmarks map
Q686703,Castle Brederode,,,Netherlands (the),Europe,52.42556,4.6225,https://en.wikipedia.org/wiki/Brederode_Castle,,ruin,,,,,landmarks map
Q4989654,Kasteel Huize Ruurlo,,,Netherlands (the),Europe,52.07886,6.44505,https://en.wikipedia.org/wiki/Huis_te_Ruurlo,,castle,,,,,landmarks map
Q419913,Fort Oranje,,,Netherlands (the),Europe,12.14882,-68.27683,https://en.wikipedia.org/wiki/Fort_Orange_(Bonaire),,fortress,,,,,landmarks map
Q1013565,Kasteel Radboud,,,Netherlands (the),Europe,52.77247,5.11311,https://en.wikipedia.org/wiki/Radboud_Castle,,castle,,,,,landmarks map
Q1011187,Castle of Bredevoort,,,Netherlands (the),Europe,51.94412,6.61844,https://en.wikipedia.org/wiki/Bredevoort_Castle,,castle,,,,,landmarks map
Q2587780,Batenburg Castle,,,Netherlands (the),Europe,51.82384,5.63099,https://en.wikipedia.org/wiki/Batenburg_Castle,,castle,,,,,landmarks map
Q3206226,Ter Worm Castle,,,Netherlands (the),Europe,50.88944,5.94972,https://en.wikipedia.org/wiki/Ter_Worm_Castle,,castle,,,,,landmarks map
Q1341673,Heeswijk Castle,,,Netherlands (the),Europe,51.65583,5.44111,https://en.wikipedia.org/wiki/Heeswijk_Castle,,castle,,,,,landmarks map
Q2131198,Zuylen Castle,,,Netherlands (the),Europe,52.1271,5.07309,https://en.wikipedia.org/wiki/Zuylen_Castle,,castle,,,,,landmarks map
Q2312054,Duivenvoorde Castle,,,Netherlands (the),Europe,52.11139,4.4175,https://en.wikipedia.org/wiki/Duivenvoorde_Castle,,castle,,,,,landmarks map
Q2695787,Schaloen Castle,,,Netherlands (the),Europe,50.85694,5.85083,https://en.wikipedia.org/wiki/Schaloen_Castle,,castle,,,,,landmarks map
Q603412,Kasteel Bleijenbeek,,,Netherlands (the),Europe,51.63591,6.05274,https://en.wikipedia.org/wiki/Bleijenbeek_Castle,,ruin,,,,,landmarks map
Q1585508,Biljoen Castle,,,Netherlands (the),Europe,51.99667,5.9925,https://en.wikipedia.org/wiki/Biljoen_Castle,,castle,,,,,landmarks map
Q2576745,Waardenburg Castle,,,Netherlands (the),Europe,51.83167,5.26639,https://en.wikipedia.org/wiki/Waardenburg_Castle,,castle,,,,,landmarks map
Q18767588,Eijsden Castle,,,Netherlands (the),Europe,50.77361,5.69972,https://en.wikipedia.org/wiki/Eijsden_Castle,,castle,,,,,landmarks map
Q1438712,Fort Sint-Michiel,,,Netherlands (the),Europe,51.37194,6.15917,https://en.wikipedia.org/wiki/Fort_Sint-Michiel_(Venlo),,ruin,,,,,landmarks map
Q2175336,Cannenburgh Castle,,,Netherlands (the),Europe,52.29194,5.965,https://en.wikipedia.org/wiki/Cannenburgh_Castle,,castle,,,,,landmarks map
Q2325697,Castle Middachten,,,Netherlands (the),Europe,52.01917,6.06972,https://en.wikipedia.org/wiki/Middachten_Castle,,castle,,,,,landmarks map
Q18771243,Oud Poelgeest,,,Netherlands (the),Europe,52.17961,4.485,https://en.wikipedia.org/wiki/Oud_Poelgeest,,castle,,,,,landmarks map
Q1913236,Het Oude Loo,,,Netherlands (the),Europe,52.23528,5.94222,https://en.wikipedia.org/wiki/Het_Oude_Loo,,castle,,,,,landmarks map
Q1918354,Breda Castle,,,Netherlands (the),Europe,51.59139,4.77528,https://en.wikipedia.org/wiki/Breda_Castle,,castle,,,,,landmarks map
Q2286213,Slot Teylingen,,,Netherlands (the),Europe,52.23111,4.51917,https://en.wikipedia.org/wiki/Teylingen_Castle,,castle,,,,,landmarks map
Q2730234,Fort Oranje,,,Netherlands (the),Europe,17.48192,-62.98669,https://en.wikipedia.org/wiki/Fort_Oranje_(Sint_Eustatius),,fortress,,,,,landmarks map
Q2478123,Duurstede Castle,,,Netherlands (the),Europe,51.96944,5.34333,https://en.wikipedia.org/wiki/Duurstede_Castle,,castle,,,,,landmarks map
Q4823340,Fort de Roovere,,,Netherlands (the),Europe,51.52908,4.29974,https://en.wikipedia.org/wiki/Fort_de_Roovere,,fortress,,,,,landmarks map
Q2665541,Menkemaborg,,,Netherlands (the),Europe,53.40496,6.68387,https://en.wikipedia.org/wiki/Menkemaborg,,castle,,,,,landmarks map
Q1438648,Fort Pannerden,,,Netherlands (the),Europe,51.88083,6.02722,https://en.wikipedia.org/wiki/Fort_Pannerden,,fortress,,,,,landmarks map
Q623265,Fort Rammekens,,,Netherlands (the),Europe,51.4525,3.65389,https://de.wikipedia.org/wiki/Fort_Rammekens,,fortress,,,,,landmarks map
Q950647,Ilpenstein,,,Netherlands (the),Europe,52.46278,4.95349,https://en.wikipedia.org/wiki/Ilpenstein_Castle,,castle,,,,,landmarks map
Q1682058,Marquette Castle,,,Netherlands (the),Europe,52.52094,4.6678,https://en.wikipedia.org/wiki/Marquette_Castle,,castle,,,,,landmarks map
Q1967073,Assumburg,,,Netherlands (the),Europe,52.505,4.68528,https://en.wikipedia.org/wiki/Slot_Assumburg,,castle,,,,,landmarks map
Q2622152,Wijchen Castle,,,Netherlands (the),Europe,51.80849,5.72775,https://de.wikipedia.org/wiki/Schloss_Wijchen,,castle,,,,,landmarks map
Q3917569,Montfort Castle,,,Netherlands (the),Europe,51.12444,5.94194,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Montfort_(Limbourg),,ruin,,,,,landmarks map
Q4322946,Hernen Castle,,,Netherlands (the),Europe,51.8345,5.67626,https://en.wikipedia.org/wiki/Hernen_Castle,,castle,,,,,landmarks map
Q3544183,Coevorden Castle,,,Netherlands (the),Europe,52.66249,6.74128,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Coevorden,,castle,,,,,landmarks map
Q146610,Zandenburg,,,Netherlands (the),Europe,51.549,3.662,https://en.wikipedia.org/wiki/Zandenburg,,ruin,,,,,landmarks map
Q2047615,Landgoed Rosendael,,,Netherlands (the),Europe,52.00944,5.96444,https://de.wikipedia.org/wiki/Schloss_Rosendael,,castle,,,,,landmarks map
Q1438590,Fort Kijkduin,,,Netherlands (the),Europe,52.95051,4.72244,https://de.wikipedia.org/wiki/Fort_Kijkduin,,fortress,,,,,landmarks map
Q2109262,Castle Genhoes,,,Netherlands (the),Europe,50.85556,5.85611,https://de.wikipedia.org/wiki/Schloss_Genhoes,,castle,,,,,landmarks map
Q2194338,Landgoed Schaffelaar,,,Netherlands (the),Europe,52.1425,5.59111,https://en.wikipedia.org/wiki/Landgoed_Schaffelaar,,castle,,,,,landmarks map
Q1110751,Castle of Ulft,,,Netherlands (the),Europe,51.88558,6.38985,https://de.wikipedia.org/wiki/Schloss_Ulft,,castle,,,,,landmarks map
Q2782816,De Kinkelenburg,,,Netherlands (the),Europe,51.8896,5.89617,https://en.wikipedia.org/wiki/Kinkelenburg_Castle,,castle,,,,,landmarks map
Q18767389,Hillenraad Castle,,,Netherlands (the),Europe,51.22109,6.03559,https://en.wikipedia.org/wiki/Hillenraad_Castle,,castle,,,,,landmarks map
Q7476033,Kasteel Helmond,,,Netherlands (the),Europe,51.47694,5.65278,https://en.wikipedia.org/wiki/Helmond_Castle,,castle,,,,,landmarks map
Q1735307,Erenstein Castle,,,Netherlands (the),Europe,50.87139,6.05472,https://de.wikipedia.org/wiki/Kasteel_Erenstein,,castle,,,,,landmarks map
Q1735305,Cortenbach Castle,,,Netherlands (the),Europe,50.88473,5.93442,https://de.wikipedia.org/wiki/Schloss_Cortenbach,,castle,,,,,landmarks map
Q923705,Ruïne Toutenburg,,,Netherlands (the),Europe,52.6793,5.95422,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Toutenburg,,castle,,,,,landmarks map
Q1840552,Fort Du Bus,,,Netherlands (the),Europe,-3.76083,134.1025,https://en.wikipedia.org/wiki/Fort_Du_Bus,,fortress,,,,,landmarks map
Q3961530,Fort Piscadera,,,Netherlands (the),Europe,12.12181,-68.96862,https://fr.wikipedia.org/wiki/Fort_Piscadera,,fortress,,,,,landmarks map
Q17371198,Fort Crèvecoeur,,,Netherlands (the),Europe,51.73667,5.26667,https://en.wikipedia.org/wiki/Fort_Cr%C3%A8vecoeur_(Netherlands),,fortress,,,,,landmarks map
Q1885455,Vredenburg,,,Netherlands (the),Europe,52.0925,5.11389,https://en.wikipedia.org/wiki/Vredenburg_Castle,,castle,,,,,landmarks map
Q2119153,Castle Batenstein,,,Netherlands (the),Europe,51.99583,5.09167,https://en.wikipedia.org/wiki/Batestein_Castle,,castle,,,,,landmarks map
Q2876382,Kasteel van Sint-Maartensdijk,,,Netherlands (the),Europe,51.55231,4.07721,https://en.wikipedia.org/wiki/Sint-Maartensdijk_Castle,,ruin,,,,,landmarks map
Q2354245,Huis Wisch,,,Netherlands (the),Europe,51.9175,6.35639,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Wisch,,castle,,,,,landmarks map
Q2583171,Wedderborg,,,Netherlands (the),Europe,53.06732,7.07293,https://en.wikipedia.org/wiki/Wedderborg,,castle,,,,,landmarks map
Q3442744,Heukelum Castle,,,Netherlands (the),Europe,51.87819,5.09028,https://en.wikipedia.org/wiki/Merckenburg_Castle,,castle,,,,,landmarks map
