network,variable.resource,variable.dataset,variable.name
LifeCycle,LifeCycle_CDM,outcome,adhdR_0
LifeCycle,LifeCycle_CDM,outcome,adhdR_eval_0
LifeCycle,LifeCycle_CDM,outcome,adipo_cord
LifeCycle,LifeCycle_CDM,core,SCL_dep_score_t1
LifeCycle,LifeCycle_CDM,core,agebirth_m_d
LifeCycle,LifeCycle_CDM,core,agrgr_preg
LifeCycle,LifeCycle_CDM,core,art
LifeCycle,LifeCycle_CDM,core,agrgr_t1
LifeCycle,LifeCycle_CDM,core,airpt_preg
LifeCycle,LifeCycle_CDM,core,airpt_t1
LifeCycle,LifeCycle_CDM,outcome,all_0
LifeCycle,LifeCycle_CDM,outcome,allergy_any_m
LifeCycle,LifeCycle_CDM,outcome,allergy_food_m
LifeCycle,LifeCycle_CDM,outcome,all_ever
LifeCycle,LifeCycle_CDM,outcome,anaphylaxis
LifeCycle,LifeCycle_CDM,outcome,asd_avg_0
LifeCycle,LifeCycle_CDM,core,an_m_0
LifeCycle,LifeCycle_CDM,core,areases_quint_0
LifeCycle,LifeCycle_CDM,core,areases_quint_preg
LifeCycle,LifeCycle_CDM,core,areases_quint_t1
LifeCycle,LifeCycle_CDM,core,areases_tert_0
LifeCycle,LifeCycle_CDM,core,areases_tert_preg
LifeCycle,LifeCycle_CDM,core,areases_tert_t1
LifeCycle,LifeCycle_CDM,outcome,asd_age_0
LifeCycle,LifeCycle_CDM,outcome,asd_eval_0
LifeCycle,LifeCycle_CDM,outcome,asd_instr_0
LifeCycle,LifeCycle_CDM,outcome,asd_pc_0
LifeCycle,LifeCycle_CDM,outcome,asd_pro_0
LifeCycle,LifeCycle_CDM,outcome,asdR_0
LifeCycle,LifeCycle_CDM,outcome,asdR_age_0
LifeCycle,LifeCycle_CDM,outcome,asd_raw_0
LifeCycle,LifeCycle_CDM,outcome,asdR_eval_0
LifeCycle,LifeCycle_CDM,outcome,asthma_0
LifeCycle,LifeCycle_CDM,outcome,Asthma_adult
LifeCycle,LifeCycle_CDM,core,asthma_adult
LifeCycle,LifeCycle_CDM,core,blue_dist_0
LifeCycle,LifeCycle_CDM,core,asthma_bf
LifeCycle,LifeCycle_CDM,outcome,asthma_current_MeDALL_0
LifeCycle,LifeCycle_CDM,outcome,asthma_current_ISAAC
LifeCycle,LifeCycle_CDM,outcome,asthma_ever_CHICOS
LifeCycle,LifeCycle_CDM,outcome,asthma_ever_MeDALL
LifeCycle,LifeCycle_CDM,core,asthma_m
LifeCycle,LifeCycle_CDM,outcome,asthma_med_0
LifeCycle,LifeCycle_CDM,core,death_child_age
LifeCycle,LifeCycle_CDM,outcome,asthma_med_spec_0
LifeCycle,LifeCycle_CDM,core,bdens100_0
LifeCycle,LifeCycle_CDM,core,bdens100_preg
LifeCycle,LifeCycle_CDM,core,bdens100_t1
LifeCycle,LifeCycle_CDM,core,bdens300_0
LifeCycle,LifeCycle_CDM,core,bdens300_preg
LifeCycle,LifeCycle_CDM,core,bdens300_t1
LifeCycle,LifeCycle_CDM,core,cats_quant_0
LifeCycle,LifeCycle_CDM,outcome,BHR_0
LifeCycle,LifeCycle_CDM,core,birth_head_circum
LifeCycle,LifeCycle_CDM,core,birth_month
LifeCycle,LifeCycle_CDM,core,birth_weight
LifeCycle,LifeCycle_CDM,core,birth_year
LifeCycle,LifeCycle_CDM,core,blue_dist_preg
LifeCycle,LifeCycle_CDM,core,blue_dist_t1
LifeCycle,LifeCycle_CDM,core,blue_size_0
LifeCycle,LifeCycle_CDM,core,mar
LifeCycle,LifeCycle_CDM,core,blue_size_preg
LifeCycle,LifeCycle_CDM,core,blue_size_t1
LifeCycle,LifeCycle_CDM,core,blueyn300_0
LifeCycle,LifeCycle_CDM,core,death_m
LifeCycle,LifeCycle_CDM,core,blueyn300_preg
