resource,doi
ALSPAC,https://10.1093/ije/dys064
RS2,https://10.1007/s10654-020-00640-5
CONSTANCES,https://10.1007/s10654-015-0096-4
NOMA,https://10.1017/S0007114516003445
ABCD,https://10.1093/ije/dyq128
SWS,https://10.1093/ije/dyi202
RS1,https://10.1007/s10654-020-00640-5
RAINE,https://10.5694/mja12.10698
DFBC,https://10.1136/bmjopen-2020-042078
PANIC,https://10.1007/s00125-020-05250-0
NFBC1966,http://urn.fi/urn:nbn:fi:att:bc1e5408-980e-4a62-b899-43bec3755243
SYSDIMET,https://10.1007/s00125-011-2285-3
DNBC,https://10.1177/14034948010290040201
FEF,https://10.1186/1475-2891-13-104
