tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refBack,defaultValue,validation,semantics,profiles,description
Dashboard pages,,,,,,,,,,,,sio:SIO_000302,dataviz,The user interfaces in the vue application and the charts are displayed in each view
Dashboard pages,,,name,string,1,TRUE,,,,,,schema:name,dataviz,Name of the page
Dashboard pages,,,description,text,,,,,,,,schema:description,dataviz,Text that describes the aim of the page
Dashboard pages,,,charts,refback,,,,Charts,dashboard page,,,edam:topic_0092,dataviz,One or more charts displayed on a page
Charts,,,,,,,,,,,,sio:SIO_000904,dataviz,Visualisations that are displayed on page
Charts,,,chart id,string,1,TRUE,,,,,,sio:SIO_000115,dataviz,"A unique value that identifies a visualisation, the associated settings and data points."
Charts,,,chart type,ontology,,,,Data viz chart types,,,,sio:SIO_000904,dataviz,"The chart type (e.g., pie chart, table, bar, etc.)"
Charts,,,chart title,string,,,,,,,,sio:SIO_000473,dataviz,A title to be displayed above a chart
Charts,,,chart subtitle,string,,,,,,,,sio:SIO_000474,dataviz,A subtitle to be displayed below the title. This text provides additional context for the data points displayed in the chart.
Charts,,,x axis label,string,,,,,,,,"sio:SIO_000452,sio:SIO_000179,sio:SIO_001316",dataviz,Text to be displayed along the x-axis (horizontal axis)
Charts,,,x axis min value,int,,,,,,,,"sio:SIO_000452,sio:SIO_001113",dataviz,A value that indicates the minimum threshold to display on the x-axis (applies only to continuous variables)
Charts,,,x axis max value,int,,,,,,,,"sio:SIO_000452,sio:SIO_001114",dataviz,A value that indicates the minimum threshold to display on the x-axis (applies only to continuous variables)
Charts,,,x axis ticks,int_array,,,,,,,,"sio:SIO_000452,sio:SIO_000915",dataviz,An array of numbers that indicate the breakpoints on the x-axis
Charts,,,y axis label,string,,,,,,,,"sio:SIO_000453,sio:SIO_000179",dataviz,Text to be displayed along the y-axis (vertical axis)
Charts,,,y axis min value,int,,,,,,,,"sio:SIO_000453,sio:SIO_001113",dataviz,A value that indicates the minimum threshold to display on the y-axis (applies only to continuous variables)
Charts,,,y axis max value,int,,,,,,,,"sio:SIO_000453,sio:SIO_001114",dataviz,A value that indicates the minimum threshold to display on the y-axis (applies only to continuous variables)
Charts,,,y axis ticks,int_array,,,,,,,,"sio:SIO_000453,sio:SIO_000915,sio:SIO_001316",dataviz,An array of numbers that indicate the breakpoints on the y-axis
Charts,,,color palette,refback,,,,Chart palette,included in chart,,,obo:PATO_0000014,dataviz,Color palette for distinct groups in a dataset
Charts,,,top margin,int,,,,,,15,"(function () {
  if (topMargin !== null && topMargin < 0) {
  return ""The top margin cannot be less than 0""
  }
  if (topMargin !== null && topMargin > 250) {
  return ""The top margin cannot be more than 250""
  }
})();",obo:NCIT_C69210,dataviz,A number that indicates the amount of white space to add to the top of the chart
Charts,,,right margin,int,,,,,,15,"(function () {
  if (rightMargin !== null && rightMargin < 0) {
  return ""The right margin cannot be less than 0""
  }
  if (rightMargin !== null && rightMargin > 250) {
  return ""The right margin cannot be more than 250""
  }
})();",obo:NCIT_C69201,dataviz,A number that indicates the amount of white space to add to the right of the chart
Charts,,,bottom margin,int,,,,,,60,"(function () {
  if (bottomMargin !== null && bottomMargin < 0) {
  return ""The bottom margin cannot be less than 0""
  }
  if (bottomMargin !== null && bottomMargin > 250) {
  return ""The bottom margin cannot be more than 250""
  }
})();",obo:NCIT_C69210,dataviz,A number that indicates the amount of white space to add to the bottom of the chart
Charts,,,left margin,int,,,,,,80,"(function () {
  if (leftMargin !== null && leftMargin < 0) {
  return ""The left margin cannot be less than 0""
  }
  if (leftMargin !== null && leftMargin > 250) {
  return ""The left margin cannot be more than 250""
  }
})();",obo:NCIT_C69201,dataviz,A number that indicates the amount of white space to add to the left of the chart
Charts,,,legend position,ontology,,,CatalogueOntologies,Data viz legend positions,,top,,"sio:SIO_000468,sio:SIO_000056",dataviz,The position of the legend around the chart.
Charts,,,data points,refback,,,,Data,included in chart,,,sio:SIO_000546,dataviz,Data that is prepared to be used in a chart
Charts,,,dashboard page,ref,,,,Dashboard pages,,,,sio:SIO_000302,dataviz,
