order,name,label,parent,codesystem,code,ontologyTermURI,definition
1,1,1 week,,,,,
2,2,2 weeks,,,,,
3,3,3 weeks,,,,,
4,4,4 weeks,,,,,
5,5,5 weeks,,,,,
6,6,6 weeks,,,,,
7,7,7 weeks,,,,,
8,8,8 weeks,,,,,
9,9,9 weeks,,,,,
10,10,10 weeks,,,,,
11,11,11 weeks,,,,,
12,12,12 weeks,,,,,
13,13,13 weeks,,,,,
14,14,14 weeks,,,,,
15,15,15 weeks,,,,,
16,16,16 weeks,,,,,
17,17,17 weeks,,,,,
18,18,18 weeks,,,,,
19,19,19 weeks,,,,,
20,20,20 weeks,,,,,
21,21,21 weeks,,,,,
22,22,22 weeks,,,,,
23,23,23 weeks,,,,,
24,24,24 weeks,,,,,
25,25,25 weeks,,,,,
26,26,26 weeks,,,,,
27,27,27 weeks,,,,,
28,28,28 weeks,,,,,
29,29,29 weeks,,,,,
30,30,30 weeks,,,,,
31,31,31 weeks,,,,,
32,32,32 weeks,,,,,
33,33,33 weeks,,,,,
34,34,34 weeks,,,,,
35,35,35 weeks,,,,,
36,36,36 weeks,,,,,
37,37,37 weeks,,,,,
38,38,38 weeks,,,,,
39,39,39 weeks,,,,,
40,40,40 weeks,,,,,
41,41,41 weeks,,,,,
42,42,42 weeks,,,,,
43,43,43 weeks,,,,,
44,44,44 weeks,,,,,
