order,name,label,tags,parent,codesystem,code,ontologyTermURI,definition
1,HPS1,HPS1,,,,,,
2,HPS2,HPS2,,,,,,
3,HPS3,HPS3,,,,,,
4,HPS4,HPS4,,,,,,
5,HPS5,HPS5,,,,,,
6,HPS6,HPS6,,,,,,
7,HPS7,HPS7,,,,,,
8,HPS8,HPS8,,,,,,
9,HPS9,HPS9,,,,,,
10,HPS10,HPS10,,,,,,
11,HPS11,HPS11,,,,,,
12,OCA1,OCA1,,,,,,
13,OCA2,OCA2,,,,,,
14,OCA3,OCA3,,,,,,
15,OCA4,OCA4,,,,,,
16,OCA5,OCA5,,,,,,
17,OCA6,OCA6,,,,,,
18,OCA7,OCA7,,,,,,
19,OCA8,OCA8,,,,,,
