order,name,label,tags,parent,codesystem,code,ontologyTermURI,definition,city,country,latitude,longitude,organisationType,image,image_filename,hasSchema,schemaName
,CHU de Nice,Centre Hospitalier Universitaire de Nice,,,ROR,05qsjq305,https://ror.org/05qsjq305,,Nice,France,43.710521,7.260534,,,,,
,"Assistance Publique-Hôpitaux de Paris, Hôpital Necker-Enfants Malades",Centre Hospitalier Universitaire Henri-Mondor,,,ROR,04m61mj84,https://ror.org/04m61mj84,,Créteil,France,48.796974,2.45295,,,,,
,CHU de Bordeaux,Centre Hospitalier Universitaire de Bordeaux,,,ROR,01hq89f96,https://ror.org/01hq89f96,,Bordeaux,France,44.84044,-0.5805,,,,,
,CHU de Rouen,Hôpital Charles-Nicolle,,,ROR,00cxy0s05,https://ror.org/00cxy0s05,,Rouen,France,49.440541,1.110672,,,,,
,CHU de Toulouse,Centre Hospitalier Universitaire de Toulouse,,,ROR,017h5q109,https://ror.org/017h5q109,,Toulouse,France,43.60426,1.44367,,,,,
,Städtisches Klinikum Dessau,,,,ROR,00gj8pr18,https://ror.org/00gj8pr18,,Dessau,Germany,51.81578,12.197049,,,,,
,Universitätsklinikum Würzburg,University Hospital Würzburg,,,ROR,03pvr2g57,https://ror.org/03pvr2g57,,Wurzburg,Germany,49.801517,9.95373,,,,,
,Universitätsklinikum Freiburg,University Medical Center Freiburg,,,ROR,03vzbgh69,https://ror.org/03vzbgh69,,Freiburg,Germany,48.006297,7.840624,,,,,
,Universitätsklinikum Freiburg – Genetics,University Medical Center Freiburg,,,ROR,03vzbgh69,https://ror.org/03vzbgh69,,Freiburg,Germany,48.006297,7.840624,,,,,
,Universitätsklinikum Regensburg,University Hospital Regensburg,,,ROR,01226dv09,https://ror.org/01226dv09,,Regensburg,Germany,48.988489,12.089145,,,,,
,Klinikum der Universität München,LMU Klinikum,,,ROR,02jet3w32,https://ror.org/02jet3w32,,Munich,Germany,48.110278,11.469444,,,,,
,Universitätsklinikum Münster,University Hospital Münster,,,ROR,01856cw59,https://ror.org/01856cw59,,Münster,Germany,51.960835,7.596277,,,,,
,Universitätsklinikum Erlangen,,,,ROR,0030f2a11,https://ror.org/0030f2a11,,Erlangen,Germany,49.59099,11.00783,,,,,
,Universitätsmedizin Rostock,,,,ROR,04dm1cm79,https://ror.org/04dm1cm79,,Rostock,Germany,54.075556,12.103333,,,,,
,University of Debrecen,,,,ROR,02xf66n48,https://ror.org/02xf66n48,,Debrecen,Hungary,47.53167,21.62444,,,,,
,"Szent-Györgyi Albert Medical Center, University of Szeged",University of Szeged,,,ROR,01pnej532,https://ror.org/01pnej532,,Szeged,Hungary,46.253,20.14824,,,,,
,Semmelweis University,,,,ROR,01g9ty582,https://ror.org/01g9ty582,,Budapest,Hungary,47.487222,19.067222,,,,,
,Children's Health Ireland,Children's Health Ireland at Crumlin,,,ROR,025qedy81,https://ror.org/025qedy81,,Dublin,Ireland,53.325833,-6.317222,,,,,
,Foundation polyclinic University A. Gemelli - Rome,Agostino Gemelli University Polyclinic,,,ROR,00rg70c39,https://ror.org/00rg70c39,,Rome,Italy,41.929752,12.429125,,,,,
,Civil Hospital - Brescia,Spedali Civili di Brescia,,,ROR,015rhss58,https://ror.org/015rhss58,,Brescia,Italy,45.557998,10.230771,,,,,
