order,name,label,parent,codesystem,code,ontologyTermURI,definition
,HP_0005739,Posterior subluxation of radial head,,HP,HP_0005739,http://purl.obolibrary.org/obo/HP_0005739,Partial dislocation of the head of the radius in the posterior direction.
,HP_0005733,Spinal stenosis with reduced interpedicular distance,,HP,HP_0005733,http://purl.obolibrary.org/obo/HP_0005733,"An abnormal narrowing of the spinal canal related to a reduction in the interpedicular distance (i.e., the distance measured between the pedicles on frontal [coronal] imaging).|The pedicles are two short, thick processes that connect the body of the vertebrae to the arch."
,HP_0005736,Short tibia,,HP,HP_0005736,http://purl.obolibrary.org/obo/HP_0005736,Underdevelopment (reduced size) of the tibia.
,HP_0005731,Cortical irregularity,,HP,HP_0005731,http://purl.obolibrary.org/obo/HP_0005731,An abnormal irregularity of cortical bone.
,HP_0012496,Reduced maximal inspiratory pressure,,HP,HP_0012496,http://purl.obolibrary.org/obo/HP_0012496,A decrease in the maximum amount of negative pressure a person can generate during an inhalation.
,HP_0012492,Cerebral artery stenosis,,HP,HP_0012492,http://purl.obolibrary.org/obo/HP_0012492,Narrowing or constriction of the inner surface (lumen) of a cerebral artery.
,HP_0012499,Descending aortic dissection,,HP,HP_0012499,http://purl.obolibrary.org/obo/HP_0012499,"A separation of the layers within the wall of the descending aorta. Tears in the intimal layer result in the propagation of dissection (proximally or distally) secondary to blood entering the intima-media space.|According to the Stanford classification, type B aortic dissection begins beyond brachiocephalic vessels (begins distal to the left subclavian artery)."
,HP_0012497,Reduced maximal expiratory pressure,,HP,HP_0012497,http://purl.obolibrary.org/obo/HP_0012497,A decrease in the maximum amount of pressure of expired air achieved by a person after a full inspiration.
,HP_0012494,Anterior cerebral artery stenosis,,HP,HP_0012494,http://purl.obolibrary.org/obo/HP_0012494,Narrowing or constriction of the inner surface (lumen) of the anterior cerebral artery.
,HP_0012495,Posterior cerebral artery stenosis,,HP,HP_0012495,http://purl.obolibrary.org/obo/HP_0012495,Narrowing or constriction of the inner surface (lumen) of the posterior cerebral artery.
,HP_0012490,Panniculitis,,HP,HP_0012490,http://purl.obolibrary.org/obo/HP_0012490,Inflammation of adipose tissue.|Panniculitis most commonly affects the skin and characterized by reddened subcutaneous nodules.
,HP_0012493,Middle cerebral artery stenosis,,HP,HP_0012493,http://purl.obolibrary.org/obo/HP_0012493,Narrowing or constriction of the inner surface (lumen) of the middle cerebral artery.
,HP_0012491,Abnormal dense tubular system,,HP,HP_0012491,http://purl.obolibrary.org/obo/HP_0012491,"An anomaly of the intracellular membrane complexes known as the dense tubular system.|The dense tubular system (DTS) functions to regulate platelet activation by sequestering or releasing calcium, similar to the sarcotubules of skeletal muscle. In resting platelets, the DTS exists as thin elongated membranes. Within 10 seconds of the addition of thrombin, platelets show a major ultrastructural change in their DTS: from the thin elongated form to a rounded vesicular form."
,HP_0012498,Nuchal cord,,HP,HP_0012498,http://purl.obolibrary.org/obo/HP_0012498,A complication of pregnancy and delivery in which the umbilical cord wraps around the fetal neck once or multiple times.
,unk,Unknown,,,,,
,HP_0033935,Cortical radial artery intima/media necrosis,,HP,HP_0033935,http://purl.obolibrary.org/obo/HP_0033935,Cell death (necrosis) in the inner or middle layer of the cortical radial arteries (also known as the interlobular arteries) of the kidney.
