order,name,label,tags,parent,codesystem,code,ontologyTermURI,definition
1,grade1,Grade 1,,,,,,
2,grade2,Grade 2,,,,,,
3,grade3,Grade 3,,,,,,
4,grade4,Grade 4,,,,,,
