,id,name,acronym,description,url,location,country,latitude,longitude,head,contact,national_node,withdrawn,parent_collection,sub_collections,biobank,biobank_label,network,also_known,studies,type,data_categories,order_of_magnitude,size,categories,timestamp,quality,combined_quality,number_of_donors,order_of_magnitude_donors,sex,diagnosis_available,age_low,age_high,age_unit,facts,materials,storage_temperatures,body_part_examined,imaging_modality,image_dataset_type,collaboration_commercial,collaboration_non_for_profit,data_use,duc_profile,commercial_use,access_fee,access_joint_project,access_description,access_uri,sop,catalog,license,publisher,language,keywords,EJP_RD_personalData,EJP_RD_vpConnection,issued,modified,mg_draft
1,bbmri-eric:ID:EXT_ACU:collection:ChildhoodCancer,Childhood Cancer,,ChildhoodCancer,,,TR,,,bbmri-eric:contactID:EXT_TR_01,bbmri-eric:contactID:EXT_TR_03,EXT,False,,,bbmri-eric:ID:EXT_ACU,Acibadem University Biobank,,,,RD,BIOLOGICAL_SAMPLES,1,,rare_disease,,,,35.0,1.0,"MALE,FEMALE",,,,,,"RNA,TISSUE_FROZEN,DNA","temperature-60to-85,temperatureLN",,,,True,True,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,,,,2026-07-23 05:01:59.052193,2026-07-23 05:01:59.052193,False
6,bbmri-eric:ID:EXT_ACU:collection:Undiagnose,Undiagnose,,Undiagnose,,,TR,,,bbmri-eric:contactID:EXT_TR_01,bbmri-eric:contactID:EXT_TR_03,EXT,False,,,bbmri-eric:ID:EXT_ACU,Acibadem University Biobank,,,,RD,BIOLOGICAL_SAMPLES,2,,rare_disease,,,,274.0,2.0,"MALE,FEMALE",,,,,,"RNA,CDNA,DNA","temperature-60to-85,temperatureLN",,,,True,True,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,,,,2026-07-23 05:01:59.052193,2026-07-23 05:01:59.052193,False
29,bbmri-eric:ID:EXT_ACU:collection:Rare-Disease,Rare-Disease,,Pediatric rare disease samples,,,TR,,,bbmri-eric:contactID:EXT_TR_01,bbmri-eric:contactID:EXT_TR_03,EXT,False,,,bbmri-eric:ID:EXT_ACU,Acibadem University Biobank,,,,"SAMPLE,RD",BIOLOGICAL_SAMPLES,2,,rare_disease,,,,299.0,,"MALE,FEMALE",,,,,,"RNA,CDNA,TISSUE_FROZEN,DNA","temperature-60to-85,temperatureLN",,,,True,True,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,,,,2026-07-23 05:01:59.052193,2026-07-23 05:01:59.052193,False
85,bbmri-eric:ID:CZ_IHBT:collection:Healthy_Donor_Collection,Healthy Donor Collection,Healthy Donor,"Vital leukocytes, DNA and plasma isolated from peripheral blood of healthy donors",,,CZ,,,bbmri-eric:contactID:CZ_IHBT_1,bbmri-eric:contactID:CZ_IHBT_2,CZ,False,,,bbmri-eric:ID:CZ_IHBT,"Biobank of Institute of Hematology and Blood Transfusion, Prague",bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,,,"POPULATION_BASED,SAMPLE","BIOLOGICAL_SAMPLES,BLOOD,DiseaseDuration,MEDICAL_RECORDS,TREATMENT_PROTOCOL,CLINICAL_SYMPTOMS",3,,population,,,,,,"FEMALE,MALE",,18.0,100.0,YEAR,,"PERIPHERAL_BLOOD_CELLS,DNA,PLASMA",temperatureLN,,,,True,True,,,True,"data,images,samples","data,images,samples",,,"sample_processing_sop,sample_storage_sop,sample_transport_sop,data_processing_sop,data_storage_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,,,,2026-07-23 05:02:00.054160,2026-07-23 05:02:00.054160,
476,bbmri-eric:ID:ES_BioNER-IIER:collection:Hipoglicemia_hiperinsulinemica,Hipoglicemia hiperinsulinémica,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,42.0,"rare_disease,metabolic",,,,42.0,1.0,"MALE,FEMALE",urn:miriam:icd:E16.1,,,YEAR,,DNA,temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other hypoglycaemia,,,2026-07-23 05:02:05.301546,2026-07-23 05:02:05.301546,
497,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00014,Pregnant with COVID-19,,Blood samples collected from pregnant women who have been infected with covid-19 during pregnancy,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,"SAMPLE,HOSPITAL",BIOLOGICAL_SAMPLES,2,127.0,"infectious,paediatrics,covid19",2026-06-02 00:00:00.000,,accredited,66.0,1.0,FEMALE,"urn:miriam:icd:U07.2,urn:miriam:icd:O98.5,urn:miriam:icd:U09.9,urn:miriam:icd:Z86.1",17.0,44.0,YEAR,,PLASMA,temperature-60to-85,,,,True,True,,,True,,,,,"sample_processing_sop,sample_transport_sop,sample_storage_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Emergency use of U07 - COVID-19,virus not identified,Other viral diseases complicating pregnancy,childbirth and the puerperium,Post COVID-19 condition - Post COVID-19 condition,unspecified,Personal history of infectious and parasitic diseases",,,2026-07-23 05:02:05.301546,2026-07-23 05:02:05.301546,
518,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00022,Parkinson's Brain Tissues,,Tissue samples obtained from brain autopsies of patients with Parkinson's disease,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,1,69.0,nervous_system,2026-06-02 00:00:00.000,,accredited,1.0,0.0,MALE,urn:miriam:icd:G20,83.0,83.0,YEAR,,"TISSUE_FROZEN,TISSUE_PARAFFIN_EMBEDDED,OTHER","temperature-60to-85,temperatureRoom",,,,True,True,,,True,,,,,sample_storage_sop,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Parkinson disease,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
529,bbmri-eric:ID:ES_BioNER-IIER:collection:Mucopolisacaridosis_tipo_3,Mucopolisacaridosis tipo 3,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,63.0,"rare_disease,metabolic",,,,3.0,0.0,"MALE,FEMALE",urn:miriam:icd:E76.2,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Disorders of glycosaminoglycan metabolism - Other mucopolysaccharidoses,,,2026-07-23 05:02:05.920194,2026-07-23 05:02:05.920194,
531,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00027,Rheumatoid arthritis DNA,,DNA samples obtained from patients with Rheumatoid arthritis,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,2,684.0,autoimmune,2026-06-02 00:00:00.000,,accredited,678.0,2.0,"FEMALE,MALE",urn:miriam:icd:M06.9,19.0,84.0,YEAR,,DNA,temperature-60to-85,,,,True,True,,,True,,,,,"sample_storage_sop,sample_processing_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Rheumatoid arthritis,unspecified",,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
532,bbmri-eric:ID:ES_BioNER-IIER:collection:Sindrome_de_Shwachman-Diamond,Síndrome de Shwachman-Diamond,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,97.0,"autoimmune,rare_disease",,,,6.0,0.0,"MALE,FEMALE",urn:miriam:icd:D61.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Constitutional aplastic anaemia,,,2026-07-23 05:02:05.920194,2026-07-23 05:02:05.920194,
537,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00028,Ankylosing spondylitis DNA,,DNA samples obtained from patients with Ankylosing spondylitis,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,2,644.0,autoimmune,2026-06-02 00:00:00.000,,accredited,642.0,2.0,"FEMALE,MALE",urn:miriam:icd:M45,19.0,79.0,YEAR,,DNA,temperature-60to-85,,,,True,True,,,True,,,,,"sample_storage_sop,sample_processing_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Ankylosing spondylitis,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
