,directory_table,directory_id,directory_name,catalogue_table,catalogue_id,mapping_rule,disposition,flag_reason,from_UMCG,notes,data_quality_error,data_quality_reason,collections_fold_review,name_coherence,part_of_possible_facts_fold
1899,Collections,bbmri-eric:ID:AT_MUG:collection:PERFORMStudy,"PERFORM: Febrile illness, any type of infection, children and adolescents without fever and infection (healthy)",Collections,bbmri-eric:ID:AT_MUG:collection:PERFORMStudy,standalone/parent collection -> Collections (direct),auto,,False,,True,"[GeoCoordsWithinCountry] coordinates present but unparseable: lat='47,07492', lon='15,46588'",,,True
2474,Collections,bbmri-eric:ID:DE_mtbio:collection:pancreatic-cancer,Collection Pancreatic cancer MTBIO,Collections,bbmri-eric:ID:DE_mtbio:collection:pancreatic-cancer,standalone/parent collection -> Collections (direct),auto,,False,,True,[IDValidator] id-embedded biobank prefix 'bbmri-eric:ID:DE_mtbio' is stale -- collection's actual biobank FK is 'bbmri-eric:ID:DE_iBioTUM' (id was never regenerated after a biobank id change),,,
2974,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1551350002190131,Gynecological Cancer Pathological and non affected tissues from 2000 to 2013 with 5 to 10 years follow up from 567 patients,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1551350002190131,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
3115,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1547030589661447,Breast Cancer with synchronous multiple samples,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1547030589661447,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
3148,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1553069407352543,Gastro Intestinal Cancer with synchronous multiple samples,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1553069407352543,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
3581,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1549364606909925,Breast Cancer pathological and non affected tissues with 5 to 10 years follow up from 3000 patients,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1549364606909925,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
3582,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1551344941297409,Gasto Intestinal Cancer Pathological and non affected tissues from 2000 to 2013 with 5 to 10 years follow up from 1600 patients,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1551344941297409,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
3584,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1553071190813659,Gynecological Cancer with synchronous multiple samples,Collections,bbmri-eric:ID:IT_1391522619390209:collection:1553071190813659,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
5038,Collections,bbmri-eric:ID:ES_BV:collection:COVID19negative,COVID-19 negative,Collections,bbmri-eric:ID:ES_BV:collection:COVID19negative,standalone/parent collection -> Collections (direct),auto,,False,,True,"[GeoCoordsWithinCountry] coordinates out of valid range: lat=43297691.0, lon=-2985980.0",,,
5043,Collections,bbmri-eric:ID:ES_IRBLleida:collection:Banco_Tumores,Tumor Bank,Collections,bbmri-eric:ID:ES_IRBLleida:collection:Banco_Tumores,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
5109,Collections,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00007,S2200304_RE_DEMENCIA,Collections,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00007,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
5165,Collections,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00008,43150013_RET_PIGM,Collections,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00008,standalone/parent collection -> Collections (direct),auto,,False,,False,,,,True
5271,Collections,bbmri-eric:ID:ES_BV:collection:Pan-cancer_cohort,Pan-cancer cohort,Collections,bbmri-eric:ID:ES_BV:collection:Pan-cancer_cohort,standalone/parent collection -> Collections (direct),auto,,False,,True,"[GeoCoordsWithinCountry] coordinates out of valid range: lat=43297691.0, lon=-2985980.0",,,
5289,Collections,bbmri-eric:ID:ES_BV:collection:COVID19positive,COVID-19 positive,Collections,bbmri-eric:ID:ES_BV:collection:COVID19positive,standalone/parent collection -> Collections (direct),auto,,False,,True,"[GeoCoordsWithinCountry] coordinates out of valid range: lat=43297691.0, lon=-2985980.0",,,
