name,code,order,definition,parent,ontologyTermURI
prof. dr.,,1,,,
dr.,,2,,,
ir.,,3,,,
dr. ir.,,4,,,
prof. dr. ir.,,5,,,
prof.,,6,,,
drs.,,7,,,
