name,parent,codesystem,code,ontologyTermURI,definition
High Occupancy Target Region,,ncit,NCIT_C124228,http://purl.obolibrary.org/obo/NCIT_C124228,"A regulatory element that is a target for a large number of transcription regulatory proteins. These DNA sequences, which play a role in the regulation of gene expression, bind to transcription factors or coregulatory proteins at a higher density than would be expected by chance."
Enhancer,,ncit,NCIT_C13296,http://purl.obolibrary.org/obo/NCIT_C13296,"A 50-150bp DNA sequence that increases the rate of transcription of coding sequences. It may be located at various distances and in either orientation upstream from, downstream from or within a structural gene.  When bound by a specific transcription factor it increases the levels of expression of the gene, but is not sufficient alone to cause expression. Distinguished from a promoter, that is alone sufficient to cause expression of the gene when bound."
Proximal Enhancer Element,Enhancer,ncit,NCIT_C13460,http://purl.obolibrary.org/obo/NCIT_C13460,Enhancer sequences found nearby to the gene it regulates.
Distal Enhancer Elements,Enhancer,ncit,NCIT_C13461,http://purl.obolibrary.org/obo/NCIT_C13461,Enhancer sequences found at a distance from the gene it regulates.
Upstream Enhancer,Enhancer,ncit,NCIT_C13462,http://purl.obolibrary.org/obo/NCIT_C13462,An enhancer which is located 5' of the gene it regulates.
Downstream Enhancer,Enhancer,ncit,NCIT_C13463,http://purl.obolibrary.org/obo/NCIT_C13463,An enhancer which is located 3' of the gene it regulates.
Promoter,,ncit,NCIT_C13297,http://purl.obolibrary.org/obo/NCIT_C13297,A DNA sequence at which RNA polymerase binds and initiates transcription.
APC Promoter 1B,Promoter,ncit,NCIT_C172363,http://purl.obolibrary.org/obo/NCIT_C172363,A distal promoter element in the 5' regulatory region of the APC gene on chromosome 5.
Response Element,,ncit,NCIT_C13372,http://purl.obolibrary.org/obo/NCIT_C13372,A nucleotide sequence that plays a role in the expression of a nearby gene because it can be recognized by specific transcription factors or coregulatory proteins.
Retinoic Acid Response Element,Response Element,ncit,NCIT_C13634,http://purl.obolibrary.org/obo/NCIT_C13634,A cis-acting transcription regulatory element.  It is bound by the retinoic acid receptors.
Cyclic AMP Response Element,Response Element,ncit,NCIT_C13661,http://purl.obolibrary.org/obo/NCIT_C13661,A promoter sequence which interacts with CRE binding proteins to modulate gene expression in response to the level of cAMP in the cell.
Androgen Response Element,Response Element,ncit,NCIT_C13662,http://purl.obolibrary.org/obo/NCIT_C13662,"Androgen response element is the target binding element for activated androgen receptor homodimer.  The consensus sequence for this high-affinity androgen receptor-binding is the palindromic sequence GGT/AACAnnnTGTTCT, though could deviate considerably in natural promoter sequences.  The most well-characterized in this regard is the promoter of the PSA (prostate-specific antigen) gene."
Hypoxia-Responsive Elements,Response Element,ncit,NCIT_C13718,http://purl.obolibrary.org/obo/NCIT_C13718,"DNA sequences in a gene's promoter region that mediate expression during hypoxia.  Since unlike normal tissues, solid tumors frequently have regions of hypoxia, suicide genes controlled by hypoxia-responsive elements may provide a means for cancer-specific gene therapy."
Internal Ribosome Entry Site,,ncit,NCIT_C13716,http://purl.obolibrary.org/obo/NCIT_C13716,Internal ribosome entry site (IRES) is a translational cis-acting element that directs ribosomes to the start codon by a cap-independent mechanism.  IRESs are usually about 450 nucleotides in length and were first identified in picornavirus RNAs.  IRESs can fold into a stable secondary hairpin structure to be incompatible with efficient translation by ribosomal scanning. (NCI)
lncRNA,,so,SO_0001877,http://purl.obolibrary.org/obo/SO_0001877,A non-coding RNA generally longer than 200 nucleotides that cannot be classified as any other ncRNA subtype.
miRNA,,so,SO_0000276,http://purl.obolibrary.org/obo/SO_0000276,"Small, ~22-nt, RNA molecule that is the endogenous transcript of a miRNA gene (or the product of other non coding RNA genes)."
Transcript,,ncit,NCIT_C1936,http://purl.obolibrary.org/obo/NCIT_C1936,The initial RNA molecule produced by transcription.
Regulatory Region Mutation,,ncit,NCIT_C148646,http://purl.obolibrary.org/obo/NCIT_C148646,A change in the nucleotide sequence of a regulatory region for a gene.
