name,label,parent,tags,codesystem,code,ontologyTermURI,definition
default,,,,,,,
aqueduct,,,,,,,
yak,,,,,,,
beach,,,,,,,
xenon,,,,,,,
zenith,,,,,,,
wasp,,,,,,,
uniform,,,,,,,
terrain,,,,,,,
stadium,,,,,,,
cliff,,,,,,,
volcano,,,,,,,
iconic_aqueduct,,,,,,,
dolomite_aqueduct,,,,,,,
caravan_yak,,,,,,,
dolomite_yak,,,,,,,
caravan_beach,,,,,,,
dolomite_beach,,,,,,,
junction_xenon,,,,,,,
habitat_zenith,,,,,,,
galaxy_zenith,,,,,,,
caravan_xenon,,,,,,,
dolomite_xenon,,,,,,,
caravan_wasp,,,,,,,
dolomite_wasp,,,,,,,
caravan_uniform,,,,,,,
dolomite_uniform,,,,,,,
edam_terrain,,,,,,,
fen_terrain,,,,,,,
caravan_stadium,,,,,,,
dolomite_stadium,,,,,,,
jaguar_cliff,,,,,,,
kitty_cliff,,,,,,,
caraven_volcano,,,,,,,
dolomite_volcano,,,,,,,
