name,parent,codesystem,code,ontologyTermURI,definition
chromosomal inheritance,,geno,GENO_0000969,http://purl.obolibrary.org/obo/GENO_0000969,"An inheritance pattern wherein the trait is determined by inheritance of extra, missing, or re-arranged chromosomes possibly together with environmental factors."
chromosomal rearrangement inheritance,chromosomal inheritance,geno,GENO_0000972,http://purl.obolibrary.org/obo/GENO_0000972,"An inheritance pattern wherein the trait is determined by inheritance of translocation or inversion of sections of one or more chromosomes, possibly together with environmental factors."
chromosomal duplication inheritance,chromosomal inheritance,geno,GENO_0000971,http://purl.obolibrary.org/obo/GENO_0000971,"An inheritance pattern wherein the trait is determined by inheritance of duplicated sections of one or more chromosomes, encompassing either 0 or multiple genes, possibly together with environmental factors."
chromosomal deletion inheritance,chromosomal inheritance,geno,GENO_0000970,http://purl.obolibrary.org/obo/GENO_0000970,"An inheritance pattern wherein the trait is determined by inheritance of missing sections of one or more chromosomes, encompassing either 0 or multiple genes, possibly together with environmental factors."
mitochondrial inheritance,,geno,GENO_0000949,http://purl.obolibrary.org/obo/GENO_0000949,"An inheritance pattern observed for traits related to a gene encoded on the mitochondrial genome.; Because the mitochondrial genome is essentially always maternally inherited, a mitochondrial condition can only be transmitted by females, although the condition can affect both sexes. The proportion of mutant mitochondria can vary (heteroplasmy)."
homoplasmic mitochondrial inheritance,mitochondrial inheritance,geno,GENO_0000893,http://purl.obolibrary.org/obo/GENO_0000893,A mitochondrial inheritance pattern whereby manifestation of a trait occurs when only mitochondria containing the causative allele are inherited.
heteroplasmic mitochondrial inheritance,mitochondrial inheritance,geno,GENO_0000892,http://purl.obolibrary.org/obo/GENO_0000892,A mitochondrial inheritance pattern whereby manifestation of a trait is observed when some inherited mitochondria contian the causative allele and some do not.
monogenic inheritance,,geno,GENO_0000933,http://purl.obolibrary.org/obo/GENO_0000933,"An inheritance pattern wherein the trait is determined by alleles of a single causal gene, possibly together with environmental factors."
allosomal inheritance,monogenic inheritance,geno,GENO_0000935,http://purl.obolibrary.org/obo/GENO_0000935,An inheritance pattern wherein the trait is determined by alleles of a single causal gene on a sex chromosome.
W-linked inheritance,allosomal inheritance,geno,GENO_0000948,http://purl.obolibrary.org/obo/GENO_0000948,An inheritance pattern wherein the trait is determined by alleles of a single causal gene on a W-chromosome.
Z-linked inheritance,allosomal inheritance,geno,GENO_0000942,http://purl.obolibrary.org/obo/GENO_0000942,An inheritance pattern wherein the trait is determined by alleles of a single causal gene on a Z-chromosome.
Z-linked reccessive inheritance,Z-linked inheritance,geno,GENO_0000947,http://purl.obolibrary.org/obo/GENO_0000947,A Z-linked inheritance pattern wherein a trait caused by alleles of a gene on the Z-chromosome manifests in homozygous but not heterozygote individuals.
Z-linked dominant inheritance,Z-linked inheritance,geno,GENO_0000943,http://purl.obolibrary.org/obo/GENO_0000943,A Z-linked inheritance pattern wherein the trait manifests in heterozygotes.
co-dominant Z-linked inheritance,Z-linked dominant inheritance,geno,GENO_0000946,http://purl.obolibrary.org/obo/GENO_0000946,An Z-linked dominant inheritance pattern wherein a heterozygous individual simultaneously expresses the distinct traits associated with each allele in the heterozygous locus.
incomplete Z-linked dominant inheritance,Z-linked dominant inheritance,geno,GENO_0000945,http://purl.obolibrary.org/obo/GENO_0000945,A Z-linked dominant inheritance pattern wherein the trait expressed in a heterozygous individual is intermediate between the trait expressed in individuals homozygous for either allele in the heterozygous locus.
complete Z-linked dominant inheritance,Z-linked dominant inheritance,geno,GENO_0000944,http://purl.obolibrary.org/obo/GENO_0000944,A Z-linked dominant inheritance pattern wherein the trait associated with one allele completely masks the trait associated with a different allele found at that locus.
Y-linked inheritance,allosomal inheritance,geno,GENO_0000941,http://purl.obolibrary.org/obo/GENO_0000941,An inheritance pattern wherein the trait is determined by alleles of a single causal gene on a Y-chromosome.
X-linked inheritance,allosomal inheritance,geno,GENO_0000936,http://purl.obolibrary.org/obo/GENO_0000936,An inheritance pattern wherein the trait is determined by alleles of a single causal gene on an X-chromosome.
X-linked recessive inheritance,X-linked inheritance,geno,GENO_0000149,http://purl.obolibrary.org/obo/GENO_0000149,An X-linked inheritance pattern wherein a trait caused by alleles of a gene on the X-chromosome manifests in homozygous but not heterozygote individuals.
X-linked dominant inheritance,X-linked inheritance,geno,GENO_0000146,http://purl.obolibrary.org/obo/GENO_0000146,An X-linked inheritance pattern wherein the trait manifests in heterozygotes.
