code,name,ontologyTermURI
nav,Navajo,http://lexvo.org/id/iso639-3/nav
nbl,South Ndebele,http://lexvo.org/id/iso639-3/nbl
nde,North Ndebele,http://lexvo.org/id/iso639-3/nde
ndo,Ndonga,http://lexvo.org/id/iso639-3/ndo
nep,Nepali,http://lexvo.org/id/iso639-3/nep
nno,Norwegian Nynorsk,http://lexvo.org/id/iso639-3/nno
nob,Norwegian Bokmål,http://lexvo.org/id/iso639-3/nob
nor,Norwegian,http://lexvo.org/id/iso639-3/nor
nya,Nyanja,http://lexvo.org/id/iso639-3/nya
oci,Occitan (post 1500),http://lexvo.org/id/iso639-3/oci
oji,Ojibwa,http://lexvo.org/id/iso639-3/oji
ori,Oriya,http://lexvo.org/id/iso639-3/ori
orm,Oromo,http://lexvo.org/id/iso639-3/orm
oss,Ossetian,http://lexvo.org/id/iso639-3/oss
pan,Panjabi; Punjabi,http://lexvo.org/id/iso639-3/pan
per,Persian,http://lexvo.org/id/iso639-3/per
pli,Pali,http://lexvo.org/id/iso639-3/pli
pol,Polish,http://lexvo.org/id/iso639-3/pol
por,Portuguese,http://lexvo.org/id/iso639-3/por
pus,Pushto,http://lexvo.org/id/iso639-3/pus
que,Quechua,http://lexvo.org/id/iso639-3/que
roh,Romansh,http://lexvo.org/id/iso639-3/roh
ron,Romanian,http://lexvo.org/id/iso639-3/ron
run,Rundi,http://lexvo.org/id/iso639-3/run
rus,Russian,http://lexvo.org/id/iso639-3/rus
sag,Sango,http://lexvo.org/id/iso639-3/sag
san,Sanskrit,http://lexvo.org/id/iso639-3/san
sin,Sinhala,http://lexvo.org/id/iso639-3/sin
slo,Slovak,http://lexvo.org/id/iso639-3/slo
slv,Slovenian,http://lexvo.org/id/iso639-3/slv
sme,Northern Sami,http://lexvo.org/id/iso639-3/sme
smo,Samoan,http://lexvo.org/id/iso639-3/smo
sna,Shona,http://lexvo.org/id/iso639-3/sna
snd,Sindhi,http://lexvo.org/id/iso639-3/snd
som,Somali,http://lexvo.org/id/iso639-3/som
sot,"Sotho, Southern",http://lexvo.org/id/iso639-3/sot
spa,Spanish,http://lexvo.org/id/iso639-3/spa
srd,Sardinian,http://lexvo.org/id/iso639-3/srd
srp,Serbian,http://lexvo.org/id/iso639-3/srp
ssw,Swati,http://lexvo.org/id/iso639-3/ssw
sun,Sundanese,http://lexvo.org/id/iso639-3/sun
swa,Swahili,http://lexvo.org/id/iso639-3/swa
swe,Swedish,http://lexvo.org/id/iso639-3/swe
tah,Tahitian,http://lexvo.org/id/iso639-3/tah
tam,Tamil,http://lexvo.org/id/iso639-3/tam
tat,Tatar,http://lexvo.org/id/iso639-3/tat
tel,Telugu,http://lexvo.org/id/iso639-3/tel
tgk,Tajik,http://lexvo.org/id/iso639-3/tgk
tgl,Tagalog,http://lexvo.org/id/iso639-3/tgl
tha,Thai,http://lexvo.org/id/iso639-3/tha
tib,Tibetan,http://lexvo.org/id/iso639-3/tib
tir,Tigrinya,http://lexvo.org/id/iso639-3/tir
ton,Tonga (Tonga Islands),http://lexvo.org/id/iso639-3/ton
tsn,Tswana,http://lexvo.org/id/iso639-3/tsn
tso,Tsonga,http://lexvo.org/id/iso639-3/tso
tuk,Turkmen,http://lexvo.org/id/iso639-3/tuk
tur,Turkish,http://lexvo.org/id/iso639-3/tur
twi,Twi,http://lexvo.org/id/iso639-3/twi
uig,Uighur,http://lexvo.org/id/iso639-3/uig
ukr,Ukrainian,http://lexvo.org/id/iso639-3/ukr
urd,Urdu,http://lexvo.org/id/iso639-3/urd
uzb,Uzbek,http://lexvo.org/id/iso639-3/uzb
ven,Venda,http://lexvo.org/id/iso639-3/ven
vie,Vietnamese,http://lexvo.org/id/iso639-3/vie
vol,Volapük,http://lexvo.org/id/iso639-3/vol
wel,Welsh,http://lexvo.org/id/iso639-3/wel
wln,Walloon,http://lexvo.org/id/iso639-3/wln
wol,Wolof,http://lexvo.org/id/iso639-3/wol
xho,Xhosa,http://lexvo.org/id/iso639-3/xho
yid,Yiddish,http://lexvo.org/id/iso639-3/yid
yor,Yoruba,http://lexvo.org/id/iso639-3/yor
zha,Zhuang,http://lexvo.org/id/iso639-3/zha
zul,Zulu,http://lexvo.org/id/iso639-3/zul
