name,definition,codesystem,code,ontologyTermURI
Punjabi Sikh,Punjabi Sikh,HANCESTRO,0589,http://purl.obolibrary.org/obo/HANCESTRO_0589
European American,European American,HANCESTRO,0590,http://purl.obolibrary.org/obo/HANCESTRO_0590
Esan,Esan,HANCESTRO,0591,http://purl.obolibrary.org/obo/HANCESTRO_0591
Luhya,Luhya,HANCESTRO,0592,http://purl.obolibrary.org/obo/HANCESTRO_0592
Maasai,Maasai,HANCESTRO,0593,http://purl.obolibrary.org/obo/HANCESTRO_0593
Mende,Mende,HANCESTRO,0594,http://purl.obolibrary.org/obo/HANCESTRO_0594
ancestry category,ancestry category,HANCESTRO,0004,http://purl.obolibrary.org/obo/HANCESTRO_0004
European,European,HANCESTRO,0005,http://purl.obolibrary.org/obo/HANCESTRO_0005
South Asian,South Asian,HANCESTRO,0006,http://purl.obolibrary.org/obo/HANCESTRO_0006
South East Asian,South East Asian,HANCESTRO,0007,http://purl.obolibrary.org/obo/HANCESTRO_0007
Asian,Asian,HANCESTRO,0008,http://purl.obolibrary.org/obo/HANCESTRO_0008
East Asian,East Asian,HANCESTRO,0009,http://purl.obolibrary.org/obo/HANCESTRO_0009
African,African,HANCESTRO,0010,http://purl.obolibrary.org/obo/HANCESTRO_0010
Sub-Saharan African,Sub-Saharan African,HANCESTRO,0011,http://purl.obolibrary.org/obo/HANCESTRO_0011
Native American,Native American,HANCESTRO,0013,http://purl.obolibrary.org/obo/HANCESTRO_0013
Hispanic or Latin American,Hispanic or Latin American,HANCESTRO,0014,http://purl.obolibrary.org/obo/HANCESTRO_0014
"Greater Middle Eastern (Middle Eastern, North African or Persian)","Greater Middle Eastern (Middle Eastern, North African or Persian)",HANCESTRO,0015,http://purl.obolibrary.org/obo/HANCESTRO_0015
African American or Afro-Caribbean,African American or Afro-Caribbean,HANCESTRO,0016,http://purl.obolibrary.org/obo/HANCESTRO_0016
Oceanian,Oceanian,HANCESTRO,0017,http://purl.obolibrary.org/obo/HANCESTRO_0017
uncategorised population,uncategorised population,HANCESTRO,0018,http://purl.obolibrary.org/obo/HANCESTRO_0018
Japanese,Japanese,HANCESTRO,0019,http://purl.obolibrary.org/obo/HANCESTRO_0019
Taiwanese,Taiwanese,HANCESTRO,0020,http://purl.obolibrary.org/obo/HANCESTRO_0020
Chinese,Chinese,HANCESTRO,0021,http://purl.obolibrary.org/obo/HANCESTRO_0021
Korean,Korean,HANCESTRO,0022,http://purl.obolibrary.org/obo/HANCESTRO_0022
Mongolian,Mongolian,HANCESTRO,0023,http://purl.obolibrary.org/obo/HANCESTRO_0023
Macanese,Macanese,HANCESTRO,0024,http://purl.obolibrary.org/obo/HANCESTRO_0024
Singaporean Chinese,Singaporean Chinese,HANCESTRO,0025,http://purl.obolibrary.org/obo/HANCESTRO_0025
Hong Kong Chinese,Hong Kong Chinese,HANCESTRO,0026,http://purl.obolibrary.org/obo/HANCESTRO_0026
