name,codesystem,code,ontologyTermURI
January,NCIT,NCIT:C106180,http://purl.obolibrary.org/obo/NCIT_C106180
February,NCIT,NCIT:C106181,http://purl.obolibrary.org/obo/NCIT_C106181
March,NCIT,NCIT:C106182,http://purl.obolibrary.org/obo/NCIT_C106182
April,NCIT,NCIT:C106183,http://purl.obolibrary.org/obo/NCIT_C106183
May,NCIT,NCIT:C106184,http://purl.obolibrary.org/obo/NCIT_C106184
June,NCIT,NCIT:C106185,http://purl.obolibrary.org/obo/NCIT_C106185
July,NCIT,NCIT:C106186,http://purl.obolibrary.org/obo/NCIT_C106186
August,NCIT,NCIT:C106187,http://purl.obolibrary.org/obo/NCIT_C106187
September,NCIT,NCIT:C106188,http://purl.obolibrary.org/obo/NCIT_C106188
October,NCIT,NCIT:C106189,http://purl.obolibrary.org/obo/NCIT_C106189
November,NCIT,NCIT:C106191,http://purl.obolibrary.org/obo/NCIT_C106191
December,NCIT,NCIT:C106192,http://purl.obolibrary.org/obo/NCIT_C106192
