order,name,code,parent,ontologyTermURI,definition
,Drug subscription,,,,
,person,,,,
,abortion,,,,
,Patient,,,,
,sample,,,,
,discharge record,,,,
,medicine dispensation,,,,
,birth,,,,
,event,,,,
,observation,,,,
,prescription,,,,
,surgery,,,,
,treatment,,,,
,clinical tumour record,,,,
,study participant,,,,
,problem record,,,,
,radiotherapy course,,,,
,questionnaire event,,,,
,surgical procedure,,,,
,systemic therapy cycle,,,,
,medication administration,,,,
,clinical record,,,,
,metastasis event,,,,
,mutation analysis,,,,
,pathology marker measurement,,,,
,recurrence event,,,,
,tumour marker measurement,,,,
