name,code,order,definition,parent,ontologyTermURI
Biological samples,,1,Y/N if biological samples are collected from the participants in the sample collection/study,,
Survey data,,2,Y/N if information from surveys are collected from the participants in the sample collection/study,,
Imaging data,,3,Y/N if imaging data are collected from the participants in the sample collection/study,,
Medical records,,4,Y/N if medical records are collected from the participants in the sample collection/study,,
National registries,,5,Y/N if register data is associated to the participants in the sample collection/study,,
Genealogical records,,6,Y/N if genealogical records are associated with the participants in the sample collection/study,,
Physiological/Biochemical measurements,,7,Y/N if Measurements/tests performed during a clinical/home visit and from samples taken from donor,,
Omics,,8,,,
Genomics,,9,,Omics,
Epigenomics,,10,,Omics,
Transcriptomics,,11,,Omics,
Proteomics,,12,,Omics,
Metabolomics,,13,,Omics,
Metagenomics / Microbiome,,14,,Omics,
Other,,15,Other,,
