name,definition,tags,codesystem,code,ontologyTermURI
"BioNano Genomics","BioNano Genomics","erdera,OGM","ROR","ROR:014pv7733","https://ror.org/014pv7733"
Complete Genomics platform,Complete Genomics platform,"erdera",GENEPIO,0001924,http://purl.obolibrary.org/obo/GENEPIO_0001924
"Helicos platform","Helicos platform","erdera","GENEPIO","0002682","http://purl.obolibrary.org/obo/GENEPIO_0002682"
"Illumina platform","Illumina platform","erdera,RNA","GENEPIO","0001923","http://purl.obolibrary.org/obo/GENEPIO_0001923"
"Ion Torrent platform","Ion Torrent platform","erdera","GENEPIO","0002683","http://purl.obolibrary.org/obo/GENEPIO_0002683"
"Oxford Nanopore Technologies","Oxford Nanopore Technologies","erdera,lrGS,RNA","GENEPIO","GENEPIO:0100140","http://purl.obolibrary.org/obo/GENEPIO_0100140"
"PacBio platform","PacBio platform","erdera,lrGS,RNA","GENEPIO","0001927","http://purl.obolibrary.org/obo/GENEPIO_0001927"
"Roche LS454 platform","Roche LS454 platform","erdera","GENEPIO","0001926","http://purl.obolibrary.org/obo/GENEPIO_0001926"
SOLiD sequening platform,SOLiD sequening platform,"erdera",GENEPIO,0002684,http://purl.obolibrary.org/obo/GENEPIO_0002684
MGI,MGI,"erdera,RNA",,,
AVITI,AVITI,"erdera",,,
ThermoFisher,ThermoFisher,"erdera",,,
Elements Biosciences,Element Biosciences,"erdera,RNA",ROR,ror_03pa16y14,https://ror.org/03pa16y14
