name,codesystem,code,ontologyTermURI
Structure of posterior carpal region,SNOMED CT,106004,http://purl.bioontology.org/ontology/SNOMEDCT/106004
Structure of visceral layer of Bowman's capsule,SNOMED CT,110001,http://purl.bioontology.org/ontology/SNOMEDCT/110001
Parathyroid structure,SNOMED CT,111002,http://purl.bioontology.org/ontology/SNOMEDCT/111002
Subcutaneous tissue structure of medial surface of index finger,SNOMED CT,116007,http://purl.bioontology.org/ontology/SNOMEDCT/116007
Structure of coronoid process of mandible,SNOMED CT,124002,http://purl.bioontology.org/ontology/SNOMEDCT/124002
Structure of deep circumflex iliac artery,SNOMED CT,155008,http://purl.bioontology.org/ontology/SNOMEDCT/155008
Structure of supraclavicular part of brachial plexus,SNOMED CT,167005,http://purl.bioontology.org/ontology/SNOMEDCT/167005
Structure of anterior division of renal artery,SNOMED CT,202009,http://purl.bioontology.org/ontology/SNOMEDCT/202009
Entire left commissure of aortic valve,SNOMED CT,205006,http://purl.bioontology.org/ontology/SNOMEDCT/205006
Structure of gluteus maximus muscle,SNOMED CT,206007,http://purl.bioontology.org/ontology/SNOMEDCT/206007
"Structure of articular surface, phalanges, of fourth metacarpal bone",SNOMED CT,221001,http://purl.bioontology.org/ontology/SNOMEDCT/221001
Canal of Hering,SNOMED CT,227002,http://purl.bioontology.org/ontology/SNOMEDCT/227002
Structure of hepatocolic ligament,SNOMED CT,233006,http://purl.bioontology.org/ontology/SNOMEDCT/233006
Structure of superior labial artery,SNOMED CT,235004,http://purl.bioontology.org/ontology/SNOMEDCT/235004
Structure of lateral vestibular nucleus,SNOMED CT,246001,http://purl.bioontology.org/ontology/SNOMEDCT/246001
Structure of mesotympanum,SNOMED CT,247005,http://purl.bioontology.org/ontology/SNOMEDCT/247005
Pectoral region structure,SNOMED CT,251007,http://purl.bioontology.org/ontology/SNOMEDCT/251007
Structure of thoracic spinal nerve,SNOMED CT,263002,http://purl.bioontology.org/ontology/SNOMEDCT/263002
Structure of right lower lobe of lung,SNOMED CT,266005,http://purl.bioontology.org/ontology/SNOMEDCT/266005
Structure of superior articular process of lumbar vertebra,SNOMED CT,272005,http://purl.bioontology.org/ontology/SNOMEDCT/272005
Structure of lateral myocardium,SNOMED CT,273000,http://purl.bioontology.org/ontology/SNOMEDCT/273000
Structure of central axillary lymph node,SNOMED CT,283001,http://purl.bioontology.org/ontology/SNOMEDCT/283001
Entire flexor tendon and tendon sheath of fourth toe,SNOMED CT,284007,http://purl.bioontology.org/ontology/SNOMEDCT/284007
Metacarpophalangeal joint structure of index finger,SNOMED CT,289002,http://purl.bioontology.org/ontology/SNOMEDCT/289002
Fifth metatarsal structure,SNOMED CT,301000,http://purl.bioontology.org/ontology/SNOMEDCT/301000
Structure of plantar surface of great toe,SNOMED CT,311007,http://purl.bioontology.org/ontology/SNOMEDCT/311007
Skin structure of umbilicus,SNOMED CT,315003,http://purl.bioontology.org/ontology/SNOMEDCT/315003
Structure of cardiac impression of liver,SNOMED CT,318001,http://purl.bioontology.org/ontology/SNOMEDCT/318001
Ankle region structure,SNOMED CT,344001,http://purl.bioontology.org/ontology/SNOMEDCT/344001
Atrioventricular bundle structure,SNOMED CT,345000,http://purl.bioontology.org/ontology/SNOMEDCT/345000
Reticular corium,SNOMED CT,356000,http://purl.bioontology.org/ontology/SNOMEDCT/356000
Dorsal border of seventeenth rib,SNOMED CT,373003,http://purl.bioontology.org/ontology/SNOMEDCT/373003
Structure of wall of urinary bladder,SNOMED CT,393006,http://purl.bioontology.org/ontology/SNOMEDCT/393006
Structure of dental branch of inferior alveolar artery,SNOMED CT,402006,http://purl.bioontology.org/ontology/SNOMEDCT/402006
Gastric fundus structure,SNOMED CT,414003,http://purl.bioontology.org/ontology/SNOMEDCT/414003
Structure of inferior surface of tongue,SNOMED CT,422005,http://purl.bioontology.org/ontology/SNOMEDCT/422005
Interdigital gland,SNOMED CT,441008,http://purl.bioontology.org/ontology/SNOMEDCT/441008
Structure of trochanteric bursa,SNOMED CT,446003,http://purl.bioontology.org/ontology/SNOMEDCT/446003
Structure of collateral ligament,SNOMED CT,457008,http://purl.bioontology.org/ontology/SNOMEDCT/457008
Structure of lateral corticospinal tract,SNOMED CT,461002,http://purl.bioontology.org/ontology/SNOMEDCT/461002
Structure of ascending frontal gyrus,SNOMED CT,465006,http://purl.bioontology.org/ontology/SNOMEDCT/465006
Flexor hallucis longus muscle structure,SNOMED CT,471000,http://purl.bioontology.org/ontology/SNOMEDCT/471000
