name,definition,codesystem,code,ontologyTermURI
Template,Template,IANA,,https://www.iana.org/assignments/media-types/Template
application/1d-interleaved-parityfec,application/1d-interleaved-parityfec,IANA,,https://www.iana.org/assignments/media-types/application/1d-interleaved-parityfec
application/3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml,IANA,,https://www.iana.org/assignments/media-types/application/3gpdash-qoe-report+xml
application/3gpp-ims+xml,application/3gpp-ims+xml,IANA,,https://www.iana.org/assignments/media-types/application/3gpp-ims+xml
application/3gppHal+json,application/3gppHal+json,IANA,,https://www.iana.org/assignments/media-types/application/3gppHal+json
application/3gppHalForms+json,application/3gppHalForms+json,IANA,,https://www.iana.org/assignments/media-types/application/3gppHalForms+json
application/A2L,application/A2L,IANA,,https://www.iana.org/assignments/media-types/application/A2L
application/AML,application/AML,IANA,,https://www.iana.org/assignments/media-types/application/AML
application/ATF,application/ATF,IANA,,https://www.iana.org/assignments/media-types/application/ATF
application/ATFX,application/ATFX,IANA,,https://www.iana.org/assignments/media-types/application/ATFX
application/ATXML,application/ATXML,IANA,,https://www.iana.org/assignments/media-types/application/ATXML
application/CALS-1840,application/CALS-1840,IANA,,https://www.iana.org/assignments/media-types/application/CALS-1840
application/CDFX+XML,application/CDFX+XML,IANA,,https://www.iana.org/assignments/media-types/application/CDFX+XML
application/CEA,application/CEA,IANA,,https://www.iana.org/assignments/media-types/application/CEA
application/CSTAdata+xml,application/CSTAdata+xml,IANA,,https://www.iana.org/assignments/media-types/application/CSTAdata+xml
application/DCD,application/DCD,IANA,,https://www.iana.org/assignments/media-types/application/DCD
application/DII,application/DII,IANA,,https://www.iana.org/assignments/media-types/application/DII
application/DIT,application/DIT,IANA,,https://www.iana.org/assignments/media-types/application/DIT
application/EDI-X12,application/EDI-X12,IANA,,https://www.iana.org/assignments/media-types/application/EDI-X12
application/EDI-consent,application/EDI-consent,IANA,,https://www.iana.org/assignments/media-types/application/EDI-consent
application/EDIFACT,application/EDIFACT,IANA,,https://www.iana.org/assignments/media-types/application/EDIFACT
application/EmergencyCallData.Comment+xml,application/EmergencyCallData.Comment+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.Comment+xml
application/EmergencyCallData.Control+xml,application/EmergencyCallData.Control+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.Control+xml
application/EmergencyCallData.DeviceInfo+xml,application/EmergencyCallData.DeviceInfo+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.DeviceInfo+xml
application/EmergencyCallData.LegacyESN+json,application/EmergencyCallData.LegacyESN+json,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.LegacyESN+json
application/EmergencyCallData.ProviderInfo+xml,application/EmergencyCallData.ProviderInfo+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.ProviderInfo+xml
application/EmergencyCallData.ServiceInfo+xml,application/EmergencyCallData.ServiceInfo+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.ServiceInfo+xml
