name,code,order,definition,comments,parent,ontologyTermURI
January,,1,,,,
February,,2,,,,
March,,3,,,,
April,,4,,,,
May,,5,,,,
June,,6,,,,
July,,7,,,,
August,,8,,,,
September,,9,,,,
October,,10,,,,
November,,11,,,,
December,,12,,,,
Quarterly,,13,,,,
Every 6 months,,14,,,,
Yearly,,15,,,,
