order,name,code,parent,ontologyTermURI,definition
,Tuscany,IT-52,,,
,Haute-Garonne,FR-31,,,
,European Union,,,,
,Oslo,NO-03,,,
,Heraklion,GR-91,,,
,Meurthe-et-Moselle,FR-54,,,
,Western Australia,AU-WA,,,
,Bradford,GB-BRD,,,
,Rotterdam,NL RTM,,,
,Lapland,FI-10,,,
,North Ostrobothnia,FI-14,,,
,Gipuzkoa,ES-SS,,,
,Barcelona,ES-B,,,
,Valencia,ES-V,,,
,Amsterdam,NL AMS,,,
,Bretagne,FR-BRE,,,
,Auvergne-Rhône-Alpes,FR-ARA,,,
,Vienne,FR-86,,,
1,Groningen,NL-GR,,,
2,Friesland,NL-FR,,,
3,Drenthe,NL-DR,,,
4,Overijssel,NL-OV,,,
5,Gelderland,NL-GE,,,
6,Utrecht,NL-UT,,,
7,Flevoland,NL-FL,,,
8,Noord-Brabant,NL-NB,,,
9,Noord-Holland,NL-NH,,,
10,Zuid-Holland,NL-ZH,,,
11,Zeeland,NL-ZE,,,
12,Limburg,NL-LI,,,
,Copenhagen,DK-84,,,
,Crete,,,,
,North America,,,,
,South America,,,,
