order,name,ontologyTermURI,parent
0,Alcoholic hangover,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023268,Feelings and sensations NEC
1,Organ failure,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023269,General signs and symptoms NEC
2,Macrosomia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023270,General signs and symptoms NEC
3,Pre-existing disease,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023271,General signs and symptoms NEC
4,Tissue anoxia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023272,General signs and symptoms NEC
5,Bloody discharge,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023273,Haemorrhages NEC
6,Multi-organ disorder,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023274,General signs and symptoms NEC
7,Induration,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023275,General signs and symptoms NEC
8,Effusion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023276,General signs and symptoms NEC
9,Predisposition to disease,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023277,Disease susceptibility
10,Symptom masked,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023278,General signs and symptoms NEC
11,Irritability,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023279,General signs and symptoms NEC
12,Disuse syndrome,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023280,Immobilisation syndrome
13,Thirst decreased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023281,General nutritional disorders NEC
14,Neonatal multi-organ failure,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023282,General signs and symptoms NEC
15,Pneumatosis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023283,General signs and symptoms NEC
16,Deformity,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023284,General signs and symptoms NEC
