name,parent,codesystem,code,ontologyTermURI,definition
Copy Number Variant,,so,SO_0001019,http://purl.obolibrary.org/obo/SO_0001019,A variation that increases or decreases the copy number of a given region.
Single Nucleotide Variant,,so,SO_0001483,http://purl.obolibrary.org/obo/SO_0001483,"Single Nucleotide Variants (SNVs) are single nucleotide positions in genomic DNA at which different sequence alternatives exist."
MNV,,so,SO_0002007,http://purl.obolibrary.org/obo/SO_0002007,An MNV is a multiple nucleotide variant (substitution) in which the inserted sequence is the same length as the replaced sequence.
Insertion,,so,SO_0000667,http://purl.obolibrary.org/obo/SO_0000667,"The sequence of one or more nucleotides added between two adjacent nucleotides in the sequence."
Deletion,,so,SO_0000159,http://purl.obolibrary.org/obo/SO_0000159,"The point at which one or more contiguous nucleotides were excised."
Duplication,,so,SO_1000035,http://purl.obolibrary.org/obo/SO_1000035,"An insertion which derives from, or is identical in sequence to, nucleotides present at a known location in the genome."
Inversion,,so,SO_1000036,http://purl.obolibrary.org/obo/SO_1000036,"A continuous nucleotide sequence is inverted in the same position."
Breakend (BND),,,,,
Complex,,,,,
Translocation,,so,SO_0000199,http://purl.obolibrary.org/obo/SO_0000199,A region of nucleotide sequence that has translocated to a new position. The observed adjacency of two previously separated regions.
