name,tags,definition,codesystem,code,ontologyTermURI
454 Genome Sequence 20,,454 Genome Sequence 20,OBI,689,http://purl.obolibrary.org/obo/OBI_0000689
454 Genome Sequencer,,454 Genome Sequencer,GENEPIO,1937,http://purl.obolibrary.org/obo/GENEPIO_0001937
454 Genome Sequencer FLX,,454 Genome Sequencer FLX,OBI,702,http://purl.obolibrary.org/obo/OBI_0000702
454 Genome Sequencer FLX Titanium,,454 Genome Sequencer FLX Titanium,GENEPIO,1936,http://purl.obolibrary.org/obo/GENEPIO_0001936
454 Genome Sequencer Junior,,454 Genome Sequencer Junior,GENEPIO,1938,http://purl.obolibrary.org/obo/GENEPIO_0001938
AB SOLiD System,,AB SOLiD System,OBI,696,http://purl.obolibrary.org/obo/OBI_0000696
Bionano Stratys,erdera,Bionano Stratys,,,
Genome Analyzer IIe,,Genome Analyzer IIe,OBI,2027,http://purl.obolibrary.org/obo/OBI_0002027
Genome Analyzer IIx,,Genome Analyzer IIx,OBI,2000,http://purl.obolibrary.org/obo/OBI_0002000
HeliScope Single Molecule Sequencer,,HeliScope Single Molecule Sequencer,OBI,717,http://purl.obolibrary.org/obo/OBI_0000717
Illumina Genome Analyzer II,,Illumina Genome Analyzer II,OBI,703,http://purl.obolibrary.org/obo/OBI_0000703
Illumina HiSeq 1000,,Illumina HiSeq 1000,OBI,2022,http://purl.obolibrary.org/obo/OBI_0002022
Illumina HiSeq 2000,,Illumina HiSeq 2000,OBI,2001,http://purl.obolibrary.org/obo/OBI_0002001
Illumina HiSeq 2500,,Illumina HiSeq 2500,OBI,2002,http://purl.obolibrary.org/obo/OBI_0002002
Illumina HiSeq 3000,,Illumina HiSeq 3000,OBI,2048,http://purl.obolibrary.org/obo/OBI_0002048
Illumina HiSeq 4000,,Illumina HiSeq 4000,OBI,2049,http://purl.obolibrary.org/obo/OBI_0002049
Illumina HiSeq Sequencer,,Illumina HiSeq Sequencer,GENEPIO,1939,http://purl.obolibrary.org/obo/GENEPIO_0001939
Illumina HiSeq X Five,,Illumina HiSeq X Five,FG,4,https://w3id.org/fair-genomes/resource/FG_0000004
Illumina HiSeq X Ten,,Illumina HiSeq X Ten,FG,5,https://w3id.org/fair-genomes/resource/FG_0000005
Illumina iSeq 100,,Illumina iSeq 100,FG,7,https://w3id.org/fair-genomes/resource/FG_0000007
Illumina MiniSeq,,Illumina MiniSeq,FG,6,https://w3id.org/fair-genomes/resource/FG_0000006
Illumina MiSeq FGx,,Illumina MiSeq FGx,FG,14,https://w3id.org/fair-genomes/resource/FG_0000014
Illumina MiSeqDx,,Illumina MiSeqDx,FG,13,https://w3id.org/fair-genomes/resource/FG_0000013
Illumina NextSeq 1000,,Illumina NextSeq 1000,FG,11,https://w3id.org/fair-genomes/resource/FG_0000011
Illumina NextSeq 2000,,Illumina NextSeq 2000,FG,9,https://w3id.org/fair-genomes/resource/FG_0000009
Illumina NextSeq 550,,Illumina NextSeq 550,FG,8,https://w3id.org/fair-genomes/resource/FG_0000008
Illumina NextSeq 550Dx,,Illumina NextSeq 550Dx,FG,12,https://w3id.org/fair-genomes/resource/FG_0000012
Illumina NovaSeq 6000,,Illumina NovaSeq 6000,FG,10,https://w3id.org/fair-genomes/resource/FG_0000010
Ion Torrent PGM,,Ion Torrent PGM,GENEPIO,1935,http://purl.obolibrary.org/obo/GENEPIO_0001935
IonTorrent,,,,,
Li-Cor 4300 DNA Analysis System,,Li-Cor 4300 DNA Analysis System,OBI,710,http://purl.obolibrary.org/obo/OBI_0000710
MiSeq,,MiSeq,OBI,2003,http://purl.obolibrary.org/obo/OBI_0002003
Nanopore,,,,,
NextSeq 500,,NextSeq 500,OBI,2021,http://purl.obolibrary.org/obo/OBI_0002021
Oxford Nanopore GridION Mk1,,Oxford Nanopore GridION Mk1,OBI,2751,http://purl.obolibrary.org/obo/OBI_0002751
Oxford Nanopore MinION,,Oxford Nanopore MinION,OBI,2750,http://purl.obolibrary.org/obo/OBI_0002750
Oxford Nanopore PromethION,erdera,Oxford Nanopore PromethION,OBI,2752,http://purl.obolibrary.org/obo/OBI_0002752
PacBio Revio,erdera,PacBio Revio,,,
PacBio RS II,,PacBio RS II,OBI,2012,http://purl.obolibrary.org/obo/OBI_0002012
PacBio Sequel,,PacBio Sequel,OBI,2632,http://purl.obolibrary.org/obo/OBI_0002632
PacBio Sequel II,,PacBio Sequel II,OBI,2633,http://purl.obolibrary.org/obo/OBI_0002633
SOLiD 3 Plus System,,SOLiD 3 Plus System,OBI,2007,http://purl.obolibrary.org/obo/OBI_0002007
SOLiD 4 System,,SOLiD 4 System,OBI,2024,http://purl.obolibrary.org/obo/OBI_0002024
SOLiD 4hq System,,SOLiD 4hq System,GENEPIO,1928,http://purl.obolibrary.org/obo/GENEPIO_0001928
SOLiD 5500,,SOLiD 5500,GENEPIO,1929,http://purl.obolibrary.org/obo/GENEPIO_0001929
SOLiD 5500xl,,SOLiD 5500xl,GENEPIO,1930,http://purl.obolibrary.org/obo/GENEPIO_0001930
SOLiD PI System,,SOLiD PI System,GENEPIO,1931,http://purl.obolibrary.org/obo/GENEPIO_0001931
SOLiD System 2.0,,SOLiD System 2.0,GENEPIO,1932,http://purl.obolibrary.org/obo/GENEPIO_0001932
SOLiD System 3.0,,SOLiD System 3.0,GENEPIO,1933,http://purl.obolibrary.org/obo/GENEPIO_0001933
