order,name,label,tags,parent,codesystem,code,ontologyTermURI,definition,children,mg_draft
,AT,Austria,,EU,,,,,,
,AU,Australia,,OC,,,,,,
,BE,Belgium,,EU,,,,,,
,CA,Canada,,NA,,,,,,
,CH,Switzerland,,EU,,,,,,
,CY,Cyprus,,AS,,,,,,
,CZ,Czech Republic,,EU,,,,,,
,DE,Germany,,EU,,,,,,
,IL,Israel,,AS,,,,,,
,SE,Sweden,,EU,,,,,,
,TR,Turkey,,AS,,,,,,
,UG,Uganda,,AF,,,,,,
,UK,United Kingdom,,EU,,,,,,
,US,United States of America,,NA,,,,,,
,EU,Europe,,,,,,,,
,NA,North America,,,,,,,,
,OC,Oceania,,,,,,,,
,AF,Africa,,,,,,,,
,AS,Asia,,,,,,,,
