name,tags,codesystem,code,ontologyTermURI,definition
Peripheral Blood,,NCIT,C173496,http://purl.obolibrary.org/obo/NCIT_C173496,Peripheral Blood
Prostatic Fluid,,NCIT,C100896,http://purl.obolibrary.org/obo/NCIT_C100896,Prostatic Fluid
Centrifuged Smear Slide,,NCIT,C115350,http://purl.obolibrary.org/obo/NCIT_C115350,Centrifuged Smear Slide
CCRF-CEM,,NCIT,C117114,http://purl.obolibrary.org/obo/NCIT_C117114,CCRF-CEM
MOLT-4,,NCIT,C117119,http://purl.obolibrary.org/obo/NCIT_C117119,MOLT-4
RPMI-8226,,NCIT,C117122,http://purl.obolibrary.org/obo/NCIT_C117122,RPMI-8226
SR,,NCIT,C117126,http://purl.obolibrary.org/obo/NCIT_C117126,SR
A549/ATCC,,NCIT,C117127,http://purl.obolibrary.org/obo/NCIT_C117127,A549/ATCC
EKVX,,NCIT,C117131,http://purl.obolibrary.org/obo/NCIT_C117131,EKVX
HOP-62,,NCIT,C117134,http://purl.obolibrary.org/obo/NCIT_C117134,HOP-62
HOP-92,,NCIT,C117136,http://purl.obolibrary.org/obo/NCIT_C117136,HOP-92
NCI-H226,,NCIT,C117137,http://purl.obolibrary.org/obo/NCIT_C117137,NCI-H226
NCI-H23,,NCIT,C117141,http://purl.obolibrary.org/obo/NCIT_C117141,NCI-H23
NCI-H322M,,NCIT,C117155,http://purl.obolibrary.org/obo/NCIT_C117155,NCI-H322M
NCI-H460,,NCIT,C117157,http://purl.obolibrary.org/obo/NCIT_C117157,NCI-H460
NCI-H522,,NCIT,C117158,http://purl.obolibrary.org/obo/NCIT_C117158,NCI-H522
COLO 205,,NCIT,C117159,http://purl.obolibrary.org/obo/NCIT_C117159,COLO 205
HCC-2998,,NCIT,C117160,http://purl.obolibrary.org/obo/NCIT_C117160,HCC-2998
HCT-116,,NCIT,C117161,http://purl.obolibrary.org/obo/NCIT_C117161,HCT-116
HCT-15,,NCIT,C117163,http://purl.obolibrary.org/obo/NCIT_C117163,HCT-15
KM12,,NCIT,C117165,http://purl.obolibrary.org/obo/NCIT_C117165,KM12
SW-620,,NCIT,C117166,http://purl.obolibrary.org/obo/NCIT_C117166,SW-620
SF-268,,NCIT,C117169,http://purl.obolibrary.org/obo/NCIT_C117169,SF-268
SF-295,,NCIT,C117170,http://purl.obolibrary.org/obo/NCIT_C117170,SF-295
SF-539,,NCIT,C117174,http://purl.obolibrary.org/obo/NCIT_C117174,SF-539
SNB-19,,NCIT,C117176,http://purl.obolibrary.org/obo/NCIT_C117176,SNB-19
SNB-75,,NCIT,C117178,http://purl.obolibrary.org/obo/NCIT_C117178,SNB-75
U251,,NCIT,C117179,http://purl.obolibrary.org/obo/NCIT_C117179,U251
LOX IMVI,,NCIT,C117181,http://purl.obolibrary.org/obo/NCIT_C117181,LOX IMVI
MALME-3M,,NCIT,C117182,http://purl.obolibrary.org/obo/NCIT_C117182,MALME-3M
M14,,NCIT,C117183,http://purl.obolibrary.org/obo/NCIT_C117183,M14
MDA-MB-435,,NCIT,C117184,http://purl.obolibrary.org/obo/NCIT_C117184,MDA-MB-435
SK-MEL-2,,NCIT,C117188,http://purl.obolibrary.org/obo/NCIT_C117188,SK-MEL-2
SK-MEL-28,,NCIT,C117189,http://purl.obolibrary.org/obo/NCIT_C117189,SK-MEL-28
SK-MEL-5,,NCIT,C117190,http://purl.obolibrary.org/obo/NCIT_C117190,SK-MEL-5
UACC-257,,NCIT,C117191,http://purl.obolibrary.org/obo/NCIT_C117191,UACC-257
UACC-62,,NCIT,C117192,http://purl.obolibrary.org/obo/NCIT_C117192,UACC-62
IGR-OV1,,NCIT,C117204,http://purl.obolibrary.org/obo/NCIT_C117204,IGR-OV1
OVCAR-3,,NCIT,C117205,http://purl.obolibrary.org/obo/NCIT_C117205,OVCAR-3
OVCAR-4,,NCIT,C117206,http://purl.obolibrary.org/obo/NCIT_C117206,OVCAR-4
OVCAR-5,,NCIT,C117207,http://purl.obolibrary.org/obo/NCIT_C117207,OVCAR-5
OVCAR-8,,NCIT,C117208,http://purl.obolibrary.org/obo/NCIT_C117208,OVCAR-8
NCI/ADR-RES,,NCIT,C117209,http://purl.obolibrary.org/obo/NCIT_C117209,NCI/ADR-RES
SK-OV-3,,NCIT,C117210,http://purl.obolibrary.org/obo/NCIT_C117210,SK-OV-3
786-0,,NCIT,C117211,http://purl.obolibrary.org/obo/NCIT_C117211,786-0
A498,,NCIT,C117212,http://purl.obolibrary.org/obo/NCIT_C117212,A498
ACHN,,NCIT,C117213,http://purl.obolibrary.org/obo/NCIT_C117213,ACHN
CAKI-1,,NCIT,C117214,http://purl.obolibrary.org/obo/NCIT_C117214,CAKI-1
RXF 393,,NCIT,C117215,http://purl.obolibrary.org/obo/NCIT_C117215,RXF 393
SN12C,,NCIT,C117216,http://purl.obolibrary.org/obo/NCIT_C117216,SN12C
TK-10,,NCIT,C117217,http://purl.obolibrary.org/obo/NCIT_C117217,TK-10
UO-31,,NCIT,C117218,http://purl.obolibrary.org/obo/NCIT_C117218,UO-31
PC-3,,NCIT,C117219,http://purl.obolibrary.org/obo/NCIT_C117219,PC-3
DU-145,,NCIT,C117220,http://purl.obolibrary.org/obo/NCIT_C117220,DU-145
MDA-MB-231/ATCC,,NCIT,C117223,http://purl.obolibrary.org/obo/NCIT_C117223,MDA-MB-231/ATCC
MDA-MB-468,,NCIT,C117224,http://purl.obolibrary.org/obo/NCIT_C117224,MDA-MB-468
HS 578T,,NCIT,C117225,http://purl.obolibrary.org/obo/NCIT_C117225,HS 578T
MDA-N,,NCIT,C117226,http://purl.obolibrary.org/obo/NCIT_C117226,MDA-N
BT-549,,NCIT,C117227,http://purl.obolibrary.org/obo/NCIT_C117227,BT-549
T-47D,,NCIT,C117228,http://purl.obolibrary.org/obo/NCIT_C117228,T-47D
Preputial Gland/Clitoral Gland,,NCIT,C117978,http://purl.obolibrary.org/obo/NCIT_C117978,Preputial Gland/Clitoral Gland
Tumor Cell Line,,NCIT,C20313,http://purl.obolibrary.org/obo/NCIT_C20313,Tumor Cell Line
Smear Specimen,,NCIT,C85501,http://purl.obolibrary.org/obo/NCIT_C85501,Smear Specimen
Bronchoalveolar Lavage Fluid,,NCIT,C13195,http://purl.obolibrary.org/obo/NCIT_C13195,Bronchoalveolar Lavage Fluid
Exudate,,NCIT,C13233,http://purl.obolibrary.org/obo/NCIT_C13233,Exudate
Bone Marrow Aspirate,,NCIT,C133261,http://purl.obolibrary.org/obo/NCIT_C133261,Bone Marrow Aspirate
Hematopoietic Progenitor Cells from Apheresis,,NCIT,C133328,http://purl.obolibrary.org/obo/NCIT_C133328,Hematopoietic Progenitor Cells from Apheresis
Hematopoietic Progenitor Cells from Cord Blood,,NCIT,C133329,http://purl.obolibrary.org/obo/NCIT_C133329,Hematopoietic Progenitor Cells from Cord Blood
Aspirate,,NCIT,C13347,http://purl.obolibrary.org/obo/NCIT_C13347,Aspirate
Colony,,NCIT,C61515,http://purl.obolibrary.org/obo/NCIT_C61515,Colony
Sequencing Library,,NCIT,C148073,http://purl.obolibrary.org/obo/NCIT_C148073,Sequencing Library
Tissue Section,,NCIT,C158415,http://purl.obolibrary.org/obo/NCIT_C158415,Tissue Section
Blood DNA,,NCIT,C158416,http://purl.obolibrary.org/obo/NCIT_C158416,Blood DNA
Frozen Tissue,,NCIT,C158417,http://purl.obolibrary.org/obo/NCIT_C158417,Frozen Tissue
Stained Specimen,,NCIT,C158418,http://purl.obolibrary.org/obo/NCIT_C158418,Stained Specimen
Citrate Blood Cell Fraction,,NCIT,C158461,http://purl.obolibrary.org/obo/NCIT_C158461,Citrate Blood Cell Fraction
EDTA Blood Cell Fraction,erdera,NCIT,C158462,http://purl.obolibrary.org/obo/NCIT_C158462,EDTA Blood Cell Fraction
Ascites Fluid Sample,,NCIT,C159203,http://purl.obolibrary.org/obo/NCIT_C159203,Ascites Fluid Sample
Bone Marrow Core Biopsy Sample,,NCIT,C159488,http://purl.obolibrary.org/obo/NCIT_C159488,Bone Marrow Core Biopsy Sample
Archival Tissue,,NCIT,C160656,http://purl.obolibrary.org/obo/NCIT_C160656,Archival Tissue
Bone Marrow Smear,,NCIT,C77609,http://purl.obolibrary.org/obo/NCIT_C77609,Bone Marrow Smear
Abdominal Fluid,,NCIT,C77611,http://purl.obolibrary.org/obo/NCIT_C77611,Abdominal Fluid
Peritoneal Fluid,,NCIT,C77612,http://purl.obolibrary.org/obo/NCIT_C77612,Peritoneal Fluid
Pleural Fluid,,NCIT,C77613,http://purl.obolibrary.org/obo/NCIT_C77613,Pleural Fluid
Gastric Content,,NCIT,C77614,http://purl.obolibrary.org/obo/NCIT_C77614,Gastric Content
Vomitus,,NCIT,C77666,http://purl.obolibrary.org/obo/NCIT_C77666,Vomitus
Thyroid/Parathyroid,,NCIT,C77667,http://purl.obolibrary.org/obo/NCIT_C77667,Thyroid/Parathyroid
Testis/Epididymis,,NCIT,C77668,http://purl.obolibrary.org/obo/NCIT_C77668,Testis/Epididymis
Liver/Gallbladder,,NCIT,C77669,http://purl.obolibrary.org/obo/NCIT_C77669,Liver/Gallbladder
Prostate/Seminal Vesicles,,NCIT,C77670,http://purl.obolibrary.org/obo/NCIT_C77670,Prostate/Seminal Vesicles
Foot/Footpad,,NCIT,C77671,http://purl.obolibrary.org/obo/NCIT_C77671,Foot/Footpad
Uterus/Ovaries,,NCIT,C77672,http://purl.obolibrary.org/obo/NCIT_C77672,Uterus/Ovaries
Peripheral Blood Film,,SCDO,3696,http://purl.obolibrary.org/obo/SCDO_0003696,Peripheral Blood Film
Section,,NCIT,C25668,http://purl.obolibrary.org/obo/NCIT_C25668,Section
Slice,,NCIT,C25682,http://purl.obolibrary.org/obo/NCIT_C25682,Slice
Urinary Bladder Stone,,NCIT,C26707,http://purl.obolibrary.org/obo/NCIT_C26707,Urinary Bladder Stone
Renal Stone,,NCIT,C26807,http://purl.obolibrary.org/obo/NCIT_C26807,Renal Stone
Ureteric Stone,,NCIT,C26902,http://purl.obolibrary.org/obo/NCIT_C26902,Ureteric Stone
Urinary Stone,,NCIT,C26905,http://purl.obolibrary.org/obo/NCIT_C26905,Urinary Stone
Prostatic Stone,,NCIT,C26936,http://purl.obolibrary.org/obo/NCIT_C26936,Prostatic Stone
Urethral Stone,,NCIT,C26995,http://purl.obolibrary.org/obo/NCIT_C26995,Urethral Stone
Stone,,NCIT,C35708,http://purl.obolibrary.org/obo/NCIT_C35708,Stone
Serum or Plasma,,NCIT,C105706,http://purl.obolibrary.org/obo/NCIT_C105706,Serum or Plasma
Infranatant,,NCIT,C106484,http://purl.obolibrary.org/obo/NCIT_C106484,Infranatant
Supernatant,,NCIT,C106485,http://purl.obolibrary.org/obo/NCIT_C106485,Supernatant
Dialysis Fluid,,NCIT,C106515,http://purl.obolibrary.org/obo/NCIT_C106515,Dialysis Fluid
Plasma Infranatant,,NCIT,C106554,http://purl.obolibrary.org/obo/NCIT_C106554,Plasma Infranatant
Plasma Supernatant,,NCIT,C106555,http://purl.obolibrary.org/obo/NCIT_C106555,Plasma Supernatant
Platelet-poor Plasma,,NCIT,C106556,http://purl.obolibrary.org/obo/NCIT_C106556,Platelet-poor Plasma
Platelet-rich Plasma,,NCIT,C106557,http://purl.obolibrary.org/obo/NCIT_C106557,Platelet-rich Plasma
Pleural Fluid Infranatant,,NCIT,C106558,http://purl.obolibrary.org/obo/NCIT_C106558,Pleural Fluid Infranatant
Pleural Fluid Supernatant,,NCIT,C106559,http://purl.obolibrary.org/obo/NCIT_C106559,Pleural Fluid Supernatant
Serum Infranatant,,NCIT,C106565,http://purl.obolibrary.org/obo/NCIT_C106565,Serum Infranatant
Serum Supernatant,,NCIT,C106566,http://purl.obolibrary.org/obo/NCIT_C106566,Serum Supernatant
Blood Sample,,NCIT,C17610,http://purl.obolibrary.org/obo/NCIT_C17610,Blood Sample
Biospecimen,,NCIT,C70699,http://purl.obolibrary.org/obo/NCIT_C70699,Biospecimen
Umbilical Cord Serum,,NCIT,C119550,http://purl.obolibrary.org/obo/NCIT_C119550,Umbilical Cord Serum
Arterial Cord Blood,,NCIT,C120838,http://purl.obolibrary.org/obo/NCIT_C120838,Arterial Cord Blood
Venous Cord Blood,,NCIT,C120840,http://purl.obolibrary.org/obo/NCIT_C120840,Venous Cord Blood
Proteinaceous Plug,,NCIT,C120904,http://purl.obolibrary.org/obo/NCIT_C120904,Proteinaceous Plug
Umbilical Cord Blood,,NCIT,C13300,http://purl.obolibrary.org/obo/NCIT_C13300,Umbilical Cord Blood
Fasting Specimen,,NCIT,C70701,http://purl.obolibrary.org/obo/NCIT_C70701,Fasting Specimen
Non-Fasting Specimen,,NCIT,C70702,http://purl.obolibrary.org/obo/NCIT_C70702,Non-Fasting Specimen
Gastric Fluid,,NCIT,C86998,http://purl.obolibrary.org/obo/NCIT_C86998,Gastric Fluid
DU 145,,NCIT,C93036,http://purl.obolibrary.org/obo/NCIT_C93036,DU 145
Host Cell,,NCIT,C93037,http://purl.obolibrary.org/obo/NCIT_C93037,Host Cell
Viral Oncolysate,,NCIT,C94201,http://purl.obolibrary.org/obo/NCIT_C94201,Viral Oncolysate
Oncolysate,,NCIT,C94202,http://purl.obolibrary.org/obo/NCIT_C94202,Oncolysate
Autologous Bone Marrow,,NCIT,C94406,http://purl.obolibrary.org/obo/NCIT_C94406,Autologous Bone Marrow
Plaque,,NCIT,C95603,http://purl.obolibrary.org/obo/NCIT_C95603,Plaque
Ancient DNA,,NCIT,C95946,http://purl.obolibrary.org/obo/NCIT_C95946,Ancient DNA
Mixed Venous Blood,,NCIT,C158281,http://purl.obolibrary.org/obo/NCIT_C158281,Mixed Venous Blood
Urine Sediment,,NCIT,C158282,http://purl.obolibrary.org/obo/NCIT_C158282,Urine Sediment
Rectal Swab Specimen,,NCIT,C173641,http://purl.obolibrary.org/obo/NCIT_C173641,Rectal Swab Specimen
Nucleic RNA Sample,,NCIT,C174108,http://purl.obolibrary.org/obo/NCIT_C174108,Nucleic RNA Sample
Mixed Adherent Cells in Suspension,,NCIT,C174118,http://purl.obolibrary.org/obo/NCIT_C174118,Mixed Adherent Cells in Suspension
Saliva Sample,,NCIT,C174119,http://purl.obolibrary.org/obo/NCIT_C174119,Saliva Sample
Faced Block,,NCIT,C128636,http://purl.obolibrary.org/obo/NCIT_C128636,Faced Block
Lung/Bronchus/Trachea/Larynx,,NCIT,C129005,http://purl.obolibrary.org/obo/NCIT_C129005,Lung/Bronchus/Trachea/Larynx
Mammalian Cell,,NCIT,C12958,http://purl.obolibrary.org/obo/NCIT_C12958,Mammalian Cell
