order,name,code,parent,ontologyTermURI,definition
,Collected dataset,,,,
,Harmonised dataset,,,,
,Harmonisation schema,,,,
,Lifestyle dataset,,,,
,Environmental dataset,,,,
,Physiological dataset,,,,
,Biochemical dataset,,,,
,Clinical dataset,,,,
,Psychological dataset,,,,
,Genomic dataset,,,,
,Proteomic dataset,,,,
,Metabolomic dataset,,,,
,Body (Radiological) image,,,,
,Whole slide image,,,,
,Photo image,,,,
,Genealogical records,,,,
,Other,,,,
