name,code,order,definition,parent,ontologyTermURI
Principal Investigator,,1,Primary investigator,,
Primary contact,,2,Primary contact person,,
Project manager,,3,,,
Data manager,,4,,,
Researcher,,5,,,
Alternative contact,,6,,,
Project leader,,7,,,
