name,code,order,definition,comments,parent,ontologyTermURI
Continuous,,1,,,,http://publications.europa.eu/resource/authority/frequency/CONT
Closed dataset,,2,,,,http://publications.europa.eu/resource/authority/frequency/NEVER
Annually,,3,,,,http://publications.europa.eu/resource/authority/frequency/ANNUAL
Periodically,,4,,,,http://publications.europa.eu/resource/authority/frequency/AS_NEEDED
Other release type,,5,,,,http://publications.europa.eu/resource/authority/frequency/OTHER
