name,definition,codesystem,code,ontologyTermURI
atrial appendage specimen,atrial appendage specimen,OBI,0002543,http://purl.obolibrary.org/obo/OBI_0002543
sigmoid colon specimen,sigmoid colon specimen,OBI,0002550,http://purl.obolibrary.org/obo/OBI_0002550
esophagogastric junction specimen,esophagogastric junction specimen,OBI,0002544,http://purl.obolibrary.org/obo/OBI_0002544
ileum specimen,ileum specimen,OBI,0002545,http://purl.obolibrary.org/obo/OBI_0002545
liver specimen,liver specimen,OBI,0002546,http://purl.obolibrary.org/obo/OBI_0002546
minor salivary gland specimen,minor salivary gland specimen,OBI,0002547,http://purl.obolibrary.org/obo/OBI_0002547
omentum specimen,omentum specimen,OBI,0002548,http://purl.obolibrary.org/obo/OBI_0002548
ovary specimen,ovary specimen,OBI,0002549,http://purl.obolibrary.org/obo/OBI_0002549
suprapubic skin specimen,suprapubic skin specimen,OBI,0002551,http://purl.obolibrary.org/obo/OBI_0002551
testis specimen,testis specimen,OBI,0002552,http://purl.obolibrary.org/obo/OBI_0002552
uterus specimen,uterus specimen,OBI,0002553,http://purl.obolibrary.org/obo/OBI_0002553
urine specimen,urine specimen,OBI,0000651,http://purl.obolibrary.org/obo/OBI_0000651
blood specimen,blood specimen,OBI,0000655,http://purl.obolibrary.org/obo/OBI_0000655
sample from organism,sample from organism,OBI,0000671,http://purl.obolibrary.org/obo/OBI_0000671
whole organism preparation,whole organism preparation,OBI,0000680,http://purl.obolibrary.org/obo/OBI_0000680
material sample,material sample,OBI,0000747,http://purl.obolibrary.org/obo/OBI_0000747
polyA RNA extract,polyA RNA extract,OBI,0000869,http://purl.obolibrary.org/obo/OBI_0000869
pre-mortem specimen,pre-mortem specimen,OBI,0000873,http://purl.obolibrary.org/obo/OBI_0000873
RNA extract,RNA extract,OBI,0000880,http://purl.obolibrary.org/obo/OBI_0000880
post mortem specimen,post mortem specimen,OBI,0000902,http://purl.obolibrary.org/obo/OBI_0000902
cloacal specimen,cloacal specimen,OBI,0000909,http://purl.obolibrary.org/obo/OBI_0000909
nasopharyngeal aspirate specimen,nasopharyngeal aspirate specimen,OBI,0000914,http://purl.obolibrary.org/obo/OBI_0000914
nasal swab specimen,nasal swab specimen,OBI,0000917,http://purl.obolibrary.org/obo/OBI_0000917
frozen specimen,frozen specimen,OBI,0000922,http://purl.obolibrary.org/obo/OBI_0000922
labeled specimen,labeled specimen,OBI,0000924,http://purl.obolibrary.org/obo/OBI_0000924
paraffin specimen,paraffin specimen,OBI,0000950,http://purl.obolibrary.org/obo/OBI_0000950
processed specimen,processed specimen,OBI,0000953,http://purl.obolibrary.org/obo/OBI_0000953
lyophilized specimen,lyophilized specimen,OBI,0000965,http://purl.obolibrary.org/obo/OBI_0000965
fresh specimen,fresh specimen,OBI,0000971,http://purl.obolibrary.org/obo/OBI_0000971
agar stab specimen,agar stab specimen,OBI,0000981,http://purl.obolibrary.org/obo/OBI_0000981
nucleic acid extract,nucleic acid extract,OBI,0001010,http://purl.obolibrary.org/obo/OBI_0001010
DNA extract,DNA extract,OBI,0001051,http://purl.obolibrary.org/obo/OBI_0001051
labeled nucleic acid extract,labeled nucleic acid extract,OBI,0001143,http://purl.obolibrary.org/obo/OBI_0001143
cell specimen,cell specimen,OBI,0001468,http://purl.obolibrary.org/obo/OBI_0001468
specimen with known storage state,specimen with known storage state,OBI,0001472,http://purl.obolibrary.org/obo/OBI_0001472
specimen from organism,specimen from organism,OBI,0001479,http://purl.obolibrary.org/obo/OBI_0001479
specimen with pre- or post-mortem status,specimen with pre- or post-mortem status,OBI,0001506,http://purl.obolibrary.org/obo/OBI_0001506
amniotic fluid specimen,amniotic fluid specimen,OBI,0002500,http://purl.obolibrary.org/obo/OBI_0002500
bile specimen,bile specimen,OBI,0002501,http://purl.obolibrary.org/obo/OBI_0002501
cerebrospinal fluid specimen,cerebrospinal fluid specimen,OBI,0002502,http://purl.obolibrary.org/obo/OBI_0002502
feces specimen,feces specimen,OBI,0002503,http://purl.obolibrary.org/obo/OBI_0002503
digestive system fluid or secretion specimen,digestive system fluid or secretion specimen,OBI,0002504,http://purl.obolibrary.org/obo/OBI_0002504
milk specimen,milk specimen,OBI,0002505,http://purl.obolibrary.org/obo/OBI_0002505
pericardial fluid specimen,pericardial fluid specimen,OBI,0002506,http://purl.obolibrary.org/obo/OBI_0002506
saliva specimen,saliva specimen,OBI,0002507,http://purl.obolibrary.org/obo/OBI_0002507
sputum specimen,sputum specimen,OBI,0002508,http://purl.obolibrary.org/obo/OBI_0002508
sweat specimen,sweat specimen,OBI,0002509,http://purl.obolibrary.org/obo/OBI_0002509
synovial fluid specimen,synovial fluid specimen,OBI,0002510,http://purl.obolibrary.org/obo/OBI_0002510
vitreous humor specimen,vitreous humor specimen,OBI,0002511,http://purl.obolibrary.org/obo/OBI_0002511
bone marrow specimen,bone marrow specimen,OBI,0002512,http://purl.obolibrary.org/obo/OBI_0002512
placenta specimen,placenta specimen,OBI,0002513,http://purl.obolibrary.org/obo/OBI_0002513
peritoneal fluid specimen,peritoneal fluid specimen,OBI,0002514,http://purl.obolibrary.org/obo/OBI_0002514
pleural fluid specimen,pleural fluid specimen,OBI,0002515,http://purl.obolibrary.org/obo/OBI_0002515
brain specimen,brain specimen,OBI,0002516,http://purl.obolibrary.org/obo/OBI_0002516
hair specimen,hair specimen,OBI,0002517,http://purl.obolibrary.org/obo/OBI_0002517
prostate gland specimen,prostate gland specimen,OBI,0002518,http://purl.obolibrary.org/obo/OBI_0002518
skeletal muscle tissue specimen,skeletal muscle tissue specimen,OBI,0002519,http://purl.obolibrary.org/obo/OBI_0002519
