resource,year,gender,ageband,N
ecr,2015,F,0-9,172
ecr,2015,F,10-19,192
ecr,2015,F,20-29,247
ecr,2015,F,30-39,320
ecr,2015,F,40-49,408
ecr,2015,F,50-59,313
ecr,2015,F,60-69,274
ecr,2015,F,70-79,227
ecr,2015,F,80+,216
ecr,2015,M,0-9,201
ecr,2015,M,10-19,233
ecr,2015,M,20-29,211
ecr,2015,M,30-39,292
ecr,2015,M,40-49,390
ecr,2015,M,50-59,335
ecr,2015,M,60-69,212
ecr,2015,M,70-79,195
ecr,2015,M,80+,117
ecr,2016,F,0-9,182
ecr,2016,F,10-19,188
ecr,2016,F,20-29,243
ecr,2016,F,30-39,307
ecr,2016,F,40-49,411
ecr,2016,F,50-59,318
ecr,2016,F,60-69,281
ecr,2016,F,70-79,229
ecr,2016,F,80+,235
ecr,2016,M,0-9,192
ecr,2016,M,10-19,222
ecr,2016,M,20-29,227
ecr,2016,M,30-39,265
ecr,2016,M,40-49,394
ecr,2016,M,50-59,335
ecr,2016,M,60-69,240
ecr,2016,M,70-79,191
ecr,2016,M,80+,129
ecr,2017,F,0-9,177
ecr,2017,F,10-19,195
ecr,2017,F,20-29,229
ecr,2017,F,30-39,296
ecr,2017,F,40-49,416
ecr,2017,F,50-59,325
ecr,2017,F,60-69,285
ecr,2017,F,70-79,232
ecr,2017,F,80+,251
ecr,2017,M,0-9,186
ecr,2017,M,10-19,224
ecr,2017,M,20-29,218
ecr,2017,M,30-39,255
ecr,2017,M,40-49,381
ecr,2017,M,50-59,353
ecr,2017,M,60-69,248
ecr,2017,M,70-79,195
ecr,2017,M,80+,141
ecr,2018,F,0-9,169
ecr,2018,F,10-19,197
ecr,2018,F,20-29,227
ecr,2018,F,30-39,293
ecr,2018,F,40-49,397
ecr,2018,F,50-59,335
ecr,2018,F,60-69,290
ecr,2018,F,70-79,221
ecr,2018,F,80+,262
ecr,2018,M,0-9,180
ecr,2018,M,10-19,219
ecr,2018,M,20-29,218
ecr,2018,M,30-39,249
ecr,2018,M,40-49,374
ecr,2018,M,50-59,364
ecr,2018,M,60-69,250
ecr,2018,M,70-79,193
ecr,2018,M,80+,149
ecr,2019,F,0-9,165
ecr,2019,F,10-19,194
ecr,2019,F,20-29,222
ecr,2019,F,30-39,288
ecr,2019,F,40-49,387
ecr,2019,F,50-59,347
ecr,2019,F,60-69,294
ecr,2019,F,70-79,222
ecr,2019,F,80+,264
ecr,2019,M,0-9,174
ecr,2019,M,10-19,221
ecr,2019,M,20-29,210
ecr,2019,M,30-39,249
ecr,2019,M,40-49,366
ecr,2019,M,50-59,371
ecr,2019,M,60-69,247
ecr,2019,M,70-79,197
ecr,2019,M,80+,164
ecr,2020,F,0-9,152
ecr,2020,F,10-19,196
ecr,2020,F,20-29,218
ecr,2020,F,30-39,279
ecr,2020,F,40-49,375
ecr,2020,F,50-59,354
ecr,2020,F,60-69,295
ecr,2020,F,70-79,234
ecr,2020,F,80+,258
ecr,2020,M,0-9,159
ecr,2020,M,10-19,228
ecr,2020,M,20-29,201
ecr,2020,M,30-39,242
ecr,2020,M,40-49,357
ecr,2020,M,50-59,384
ecr,2020,M,60-69,250
ecr,2020,M,70-79,189
ecr,2020,M,80+,171
