id,included in resources,data source,date created at source
EGAN00003364604,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364605,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364606,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364608,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364607,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364609,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364617,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364616,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364618,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364621,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364619,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364622,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364625,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364623,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364624,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364627,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364626,EGAD00001008392,EGAS00001005702,2021-10-22
EGAN00003364628,EGAD00001008392,EGAS00001005702,2021-10-22
