source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,repeats,match,description,syntax,comments,mg_draft
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_source_table,NA,na,AP,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,status_at_discharge_vocabulary,NA,na,Leave empty,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,meaning_of_visit,NA,na,‘pathology_report’,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,origin_of_visit,NA,na,‘AP’,,,
testDatabank,table1,iduni,,,OOM,MEDICAL_OBSERVATIONS,person_id,NA,complete,,,,
testDatabank,table1,dat_acc,,,OOM,MEDICAL_OBSERVATIONS,mo_date,NA,complete,,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_unit,NA,na,Leave empty,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,visit_occurrence_id,NA,na,As specified above,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,status_at_discharge,NA,na,Leave empty,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,visit_occurrence_id,NA,na,As specified above,,,
testDatabank,table1,dat_acc,,,OOM,VISIT_OCCURRENCE,visit_start_date,NA,complete,,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,visit_end_date,NA,na,Leave empty,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,specialty_of_visit,NA,na,Leave empty,,,
testDatabank,table1,,,,OOM,VISIT_OCCURRENCE,specialty_of_visit_vocabulary,NA,na,Leave empty,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_code,NA,na,For columns containing codes: fill with the value of the column; for the others: leave empty,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_source_column,NA,na,Name of the column,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_source_value,NA,na,For columns containing codes: leave empty; for the others: fill with the value of the column,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_meaning,NA,na,‘pathology_report’,,,
testDatabank,table1,,,,OOM,MEDICAL_OBSERVATIONS,mo_origin,NA,na,‘AP’,,,
testDatabank,table1,iduni,,,OOM,VISIT_OCCURRENCE,person_id,NA,complete,,,,
