resource,linked resource,linkage strategy,linkage variable,linkage variable unique,linkage completeness,pre linked,mg_draft
ABL,VCN,,,,,,
ABL,SPF,,,,,,
ABL,SPA,,,,,,
ABL,SEA,,,,,,
ABL,SALM,,,,,,
ABL,RMR,,,,,,
ABL,COD_FARMACI_SPF,,,,,,
ABL,ARS_PS,,,,,,
ABL,ARS_ANAG_MED_RES_storico,,,,,,
ABL,AP,,,,,,
