network,variable.resource,variable.dataset,variable.name,resource
LongITools,LifeCycle,core,agebirth_m_y,LongITools
LongITools,LifeCycle,core,agebirth_p_fath,LongITools
LongITools,LifeCycle,core,agebirth_p_y,LongITools
LongITools,LifeCycle,core,alc_t,LongITools
LongITools,LifeCycle,core,asthma_adult,LongITools
LongITools,LifeCycle,core,birth_length,LongITools
LongITools,LifeCycle,core,birth_month,LongITools
LongITools,LifeCycle,core,birth_weight,LongITools
LongITools,LifeCycle,core,birth_year,LongITools
LongITools,LifeCycle,core,breastfed_any,LongITools
LongITools,LifeCycle,core,breastfed_ever,LongITools
LongITools,LifeCycle,core,breastfed_excl,LongITools
LongITools,LifeCycle,outcome,cfpwv_,LongITools
LongITools,LifeCycle,core,child_id,LongITools
LongITools,LifeCycle,core,child_no,LongITools
LongITools,LifeCycle,core,childcare_,LongITools
LongITools,LifeCycle,core,childcare_intro,LongITools
LongITools,LifeCycle,core,childcarecentre_,LongITools
LongITools,LifeCycle,core,childcareprof_,LongITools
LongITools,LifeCycle,core,childcarerel_,LongITools
LongITools,LifeCycle,outcome,chol_,LongITools
LongITools,LifeCycle,outcome,chol_cord,LongITools
LongITools,LifeCycle,outcome,cimt_,LongITools
LongITools,LifeCycle,core,cob_m,LongITools
LongITools,LifeCycle,core,cob_p,LongITools
LongITools,LifeCycle,core,cob_p_fath,LongITools
LongITools,LifeCycle,core,cohab_,LongITools
LongITools,LifeCycle,outcome,crp_,LongITools
LongITools,LifeCycle,outcome,crp_cord,LongITools
LongITools,LifeCycle,outcome,crpwv_,LongITools
LongITools,LifeCycle,outcome,dbp_,LongITools
LongITools,LifeCycle,outcome,dbpav_,LongITools
LongITools,LifeCycle,core,edu_f1_,LongITools
LongITools,LifeCycle,core,edu_f1_fath,LongITools
LongITools,LifeCycle,core,edu_m_,LongITools
LongITools,LifeCycle,core,ethn_p_fath,LongITools
LongITools,LifeCycle,core,ethn1_m,LongITools
LongITools,LifeCycle,core,ethn1_p,LongITools
LongITools,LifeCycle,core,ethn2_m,LongITools
LongITools,LifeCycle,core,ethn2_p,LongITools
LongITools,LifeCycle,core,ethn3_m,LongITools
LongITools,LifeCycle,core,ethn3_p,LongITools
LongITools,LifeCycle,core,ga_bj,LongITools
LongITools,LifeCycle,core,ga_lmp,LongITools
LongITools,LifeCycle,core,ga_mr,LongITools
LongITools,LifeCycle,core,ga_us,LongITools
LongITools,LifeCycle,outcome,glucose_,LongITools
LongITools,LifeCycle,outcome,glucose_cord,LongITools
LongITools,LifeCycle,outcome,hdlc_cord,LongITools
LongITools,LifeCycle,core,height_,LongITools
LongITools,LifeCycle,core,height_f,LongITools
LongITools,LifeCycle,core,height_f1_fath,LongITools
LongITools,LifeCycle,core,height_m,LongITools
LongITools,LifeCycle,core,hhincome_,LongITools
LongITools,LifeCycle,outcome,hipcirc_,LongITools
LongITools,LifeCycle,outcome,il6_,LongITools
LongITools,LifeCycle,outcome,il6_cord,LongITools
LongITools,LifeCycle,core,inh_all_sens_SPT_,LongITools
LongITools,LifeCycle,core,inhalant_all_sens_SPT_,LongITools
LongITools,LifeCycle,outcome,insulin_,LongITools
LongITools,LifeCycle,outcome,insulin_cord,LongITools
LongITools,LifeCycle,core,latepreg_weight,LongITools
LongITools,LifeCycle,core,latepreg_weight_ga,LongITools
LongITools,LifeCycle,outcome,ldlc_,LongITools
LongITools,LifeCycle,outcome,ldlc_cord,LongITools
LongITools,LifeCycle,core,mode_delivery,LongITools
LongITools,LifeCycle,core,mother_id,LongITools
LongITools,LifeCycle,core,occup_f1_,LongITools
LongITools,LifeCycle,core,occup_f1_fath,LongITools
LongITools,LifeCycle,core,occup_m_,LongITools
LongITools,LifeCycle,core,parity_m,LongITools
LongITools,LifeCycle,core,ppd,LongITools
LongITools,LifeCycle,core,preeclam,LongITools
LongITools,LifeCycle,core,preg_alc,LongITools
LongITools,LifeCycle,core,prepreg_alc,LongITools
LongITools,LifeCycle,core,prepreg_alc_unit,LongITools
LongITools,LifeCycle,core,prepreg_cig,LongITools
LongITools,LifeCycle,core,prepreg_smk,LongITools
LongITools,LifeCycle,core,prepreg_weight,LongITools
LongITools,LifeCycle,core,prepreg_weight_ga,LongITools
LongITools,LifeCycle,outcome,pulse_,LongITools
LongITools,LifeCycle,core,region_fa,LongITools
LongITools,LifeCycle,core,region_mo,LongITools
LongITools,LifeCycle,outcome,sbp_,LongITools
LongITools,LifeCycle,outcome,sbpav_,LongITools
LongITools,LifeCycle,core,sex,LongITools
LongITools,LifeCycle,core,smk_t,LongITools
LongITools,LifeCycle,core,solid_food,LongITools
LongITools,LifeCycle,outcome,triglycerides_,LongITools
LongITools,LifeCycle,outcome,triglycerides_cord,LongITools
LongITools,LifeCycle,outcome,vldlc_,LongITools
LongITools,LifeCycle,outcome,vldlc_cord,LongITools
LongITools,LifeCycle,outcome,waistcirc_,LongITools
LongITools,LifeCycle,core,weight_,LongITools
LongITools,LifeCycle,core,weight_f,LongITools
LongITools,LifeCycle,core,weight_f1_fath,LongITools
LongITools,LifeCycle,core,abroad_child,LongITools
LongITools,LifeCycle,core,abroad_fa,LongITools
LongITools,LifeCycle,core,abroad_mo,LongITools
LongITools,LifeCycle,outcome,adhd_age_,LongITools
LongITools,LifeCycle,outcome,adhd_avg_,LongITools
LongITools,LifeCycle,outcome,adhd_eval_,LongITools
LongITools,LifeCycle,outcome,adhd_instr_,LongITools
LongITools,LifeCycle,outcome,adhd_pc_,LongITools
LongITools,LifeCycle,outcome,adhd_pro_,LongITools
LongITools,LifeCycle,outcome,adhd_raw_,LongITools
LongITools,LifeCycle,outcome,adhdR_,LongITools
LongITools,LifeCycle,outcome,adhdR_age_,LongITools
LongITools,LifeCycle,outcome,adhdR_eval_,LongITools
LongITools,LifeCycle,outcome,adipo_,LongITools
LongITools,LifeCycle,outcome,adipo_cord,LongITools
LongITools,LifeCycle,outcome,adipoage_,LongITools
LongITools,LifeCycle,outcome,adipomes_,LongITools
LongITools,LifeCycle,core,agebirth_m_d,LongITools
LongITools,LifeCycle,core,agebirth_p_d,LongITools
LongITools,LifeCycle,core,agrgr_,LongITools
LongITools,LifeCycle,core,agrgr_preg,LongITools
LongITools,LifeCycle,core,agrgr_t,LongITools
LongITools,LifeCycle,core,airpt_,LongITools
LongITools,LifeCycle,core,airpt_preg,LongITools
LongITools,LifeCycle,core,airpt_t,LongITools
LongITools,LifeCycle,outcome,all_,LongITools
LongITools,LifeCycle,outcome,all_ever,LongITools
LongITools,LifeCycle,outcome,allergy_any_m,LongITools
LongITools,LifeCycle,outcome,allergy_food_m,LongITools
LongITools,LifeCycle,outcome,allergy_inh_m,LongITools
LongITools,LifeCycle,core,an_m_,LongITools
LongITools,LifeCycle,outcome,anaphylaxis,LongITools
LongITools,LifeCycle,core,apgar,LongITools
LongITools,LifeCycle,core,areases_quint_,LongITools
LongITools,LifeCycle,core,areases_quint_preg,LongITools
LongITools,LifeCycle,core,areases_quint_t,LongITools
LongITools,LifeCycle,core,areases_tert_,LongITools
LongITools,LifeCycle,core,areases_tert_preg,LongITools
LongITools,LifeCycle,core,areases_tert_t,LongITools
LongITools,LifeCycle,outcome,armcirc_,LongITools
LongITools,LifeCycle,outcome,armcircage_,LongITools
LongITools,LifeCycle,outcome,armcircmes_,LongITools
LongITools,LifeCycle,outcome,armlength_,LongITools
LongITools,LifeCycle,outcome,armlengthage_,LongITools
LongITools,LifeCycle,outcome,armlengthmes_,LongITools
LongITools,LifeCycle,core,art,LongITools
LongITools,LifeCycle,outcome,asd_age_,LongITools
LongITools,LifeCycle,outcome,asd_avg_,LongITools
LongITools,LifeCycle,outcome,asd_eval_,LongITools
LongITools,LifeCycle,outcome,asd_instr_,LongITools
LongITools,LifeCycle,outcome,asd_pc_,LongITools
LongITools,LifeCycle,outcome,asd_pro_,LongITools
LongITools,LifeCycle,outcome,asd_raw_,LongITools
LongITools,LifeCycle,outcome,asdR_,LongITools
LongITools,LifeCycle,outcome,asdR_age_,LongITools
LongITools,LifeCycle,outcome,asdR_eval_,LongITools
LongITools,LifeCycle,outcome,asthma_,LongITools
LongITools,LifeCycle,core,asthma_bf,LongITools
LongITools,LifeCycle,outcome,asthma_current_ISAAC,LongITools
LongITools,LifeCycle,outcome,asthma_current_ISAAC_,LongITools
LongITools,LifeCycle,outcome,asthma_current_MeDALL,LongITools
LongITools,LifeCycle,outcome,asthma_current_MeDALL_,LongITools
LongITools,LifeCycle,outcome,asthma_ever_CHICOS,LongITools
LongITools,LifeCycle,outcome,asthma_ever_MeDALL,LongITools
LongITools,LifeCycle,core,asthma_m,LongITools
LongITools,LifeCycle,outcome,asthma_med_,LongITools
LongITools,LifeCycle,outcome,asthma_med_spec_,LongITools
LongITools,LifeCycle,core,bdens100_,LongITools
LongITools,LifeCycle,core,bdens100_preg,LongITools
LongITools,LifeCycle,core,bdens100_t,LongITools
LongITools,LifeCycle,core,bdens300_,LongITools
LongITools,LifeCycle,core,bdens300_preg,LongITools
LongITools,LifeCycle,core,bdens300_t,LongITools
LongITools,LifeCycle,outcome,BHR_,LongITools
LongITools,LifeCycle,outcome,bicepsf_,LongITools
LongITools,LifeCycle,outcome,bicepsfage_,LongITools
LongITools,LifeCycle,outcome,bicepsfmes_,LongITools
LongITools,LifeCycle,outcome,bio_,LongITools
LongITools,LifeCycle,outcome,bioage_,LongITools
LongITools,LifeCycle,outcome,biomes_,LongITools
LongITools,LifeCycle,core,birth_head_circum,LongITools
LongITools,LifeCycle,core,blue_dist_,LongITools
LongITools,LifeCycle,core,blue_dist_preg,LongITools
LongITools,LifeCycle,core,blue_dist_t,LongITools
LongITools,LifeCycle,core,blue_size_,LongITools
LongITools,LifeCycle,core,blue_size_preg,LongITools
LongITools,LifeCycle,core,blue_size_t,LongITools
LongITools,LifeCycle,core,blueyn300_,LongITools
LongITools,LifeCycle,core,blueyn300_preg,LongITools
LongITools,LifeCycle,core,blueyn300_t,LongITools
LongITools,LifeCycle,core,bn_m_,LongITools
LongITools,LifeCycle,outcome,bpage_,LongITools
LongITools,LifeCycle,core,bus_lines_100_,LongITools
LongITools,LifeCycle,core,bus_lines_100_preg,LongITools
LongITools,LifeCycle,core,bus_lines_100_t,LongITools
LongITools,LifeCycle,core,bus_lines_300_,LongITools
LongITools,LifeCycle,core,bus_lines_300_preg,LongITools
LongITools,LifeCycle,core,bus_lines_300_t,LongITools
LongITools,LifeCycle,core,bus_lines_500_,LongITools
LongITools,LifeCycle,core,bus_lines_500_preg,LongITools
LongITools,LifeCycle,core,bus_lines_500_t,LongITools
LongITools,LifeCycle,core,bus_stops_100_,LongITools
LongITools,LifeCycle,core,bus_stops_100_preg,LongITools
LongITools,LifeCycle,core,bus_stops_100_t,LongITools
LongITools,LifeCycle,core,bus_stops_300_,LongITools
LongITools,LifeCycle,core,bus_stops_300_preg,LongITools
LongITools,LifeCycle,core,bus_stops_300_t,LongITools
LongITools,LifeCycle,core,bus_stops_500_,LongITools
LongITools,LifeCycle,core,bus_stops_500_preg,LongITools
LongITools,LifeCycle,core,bus_stops_500_t,LongITools
LongITools,LifeCycle,core,cats_,LongITools
LongITools,LifeCycle,core,cats_preg,LongITools
LongITools,LifeCycle,core,cats_quant_,LongITools
LongITools,LifeCycle,core,cats_quant_preg,LongITools
LongITools,LifeCycle,outcome,cbpage_,LongITools
LongITools,LifeCycle,outcome,cbpsit_,LongITools
LongITools,LifeCycle,outcome,cdbp_,LongITools
LongITools,LifeCycle,core,cer_palsy,LongITools
LongITools,LifeCycle,outcome,cfpwvage_,LongITools
LongITools,LifeCycle,outcome,cholage_,LongITools
LongITools,LifeCycle,outcome,cholmes_,LongITools
LongITools,LifeCycle,outcome,cimtage_,LongITools
LongITools,LifeCycle,outcome,cimtmes_,LongITools
LongITools,LifeCycle,core,coh_country,LongITools
LongITools,LifeCycle,core,cohort_id,LongITools
LongITools,LifeCycle,core,con_anomalies,LongITools
LongITools,LifeCycle,core,connind100_,LongITools
LongITools,LifeCycle,core,connind100_preg,LongITools
LongITools,LifeCycle,core,connind100_t,LongITools
LongITools,LifeCycle,core,connind300_,LongITools
LongITools,LifeCycle,core,connind300_preg,LongITools
LongITools,LifeCycle,core,connind300_t,LongITools
LongITools,LifeCycle,outcome,COPD_adult_diagnosis,LongITools
LongITools,LifeCycle,outcome,COPD_adult_GOLD,LongITools
LongITools,LifeCycle,outcome,COPD_adult_LLN,LongITools
LongITools,LifeCycle,outcome,crpage_,LongITools
LongITools,LifeCycle,outcome,crpmes_,LongITools
LongITools,LifeCycle,outcome,crpwvage_,LongITools
LongITools,LifeCycle,outcome,csbp_,LongITools
