resource,organisation,role,department,is lead organisation,mg_draft
AP,ARS.TOSCANA,,,true,
ARS_ANAG_MED_RES_storico,ARS.TOSCANA,,,true,
SEA,ARS.TOSCANA,,,true,
SPF,ARS.TOSCANA,,,true,
OOM,UM,,,false,
ACCESS,UM,,,false,
OOM,KUL,,,false,
testNetwork1,AMC,,,false,
testNetwork2,AMC,,,false,
testNetworkofNetworks,AMC,,,false,
ABCD,AMC,,,true,
DFBC,AMC,,,true,
testNetwork2,CYN,,,false,false
testNetworkofNetworks,CYN,,,false,false
testNetwork1,CYN,,,false,false
OOM,MLT.I,,,false,false
UMCG,UMCG_org,Data originator,,true,
testUMC,TUMC,,,false,
TestDataSourceID,UCL,Researcher,,false,
TestDataSourceID,INSERM,Researcher,,false,
TestDataSourceID,AMC,Data originator,,true,
TestDatabank1,UMCG_org,Data originator,Genomics Coordination Center,true,false
TestDatabank2,UMCU,Data originator,Julius center,false,false
MOLGENIS,MOLGENIS_org,,,,false
