tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Collections,,,,,,,,,,,http://www.w3.org/ns/dcat#Dataset,DCAT v2 dataset entries.,RD3
Collections,,id,string,1,TRUE,,,,,,"http://purl.org/dc/terms/identifier,http://purl.allotrope.org/ontologies/result#AFR_0000919",Local database identifier of the dataset.,RD3
Collections,,name,string,,TRUE,,,,,,http://purl.org/dc/terms/title,A name given to the record.,RD3
Collections,,type,ontology,,,,Collection types,,,,,,RD3
Collections,,description,string,,TRUE,,,,,,http://purl.org/dc/terms/description,A free-text account of the item.,RD3
Collections,,date created,date,,,,,,,,http://semanticscience.org/resource/SIO_001083,A date of database submission refers to the moment in time in which some information was submitted/received to a database system.,RD3
Collections,,created by,ref,,,,ContactPersons,,,,http://purl.obolibrary.org/obo/NCIT_C42628,Indicates the person or authoritative body who brought the item into existence.,RD3
Collections,,data provider,ontology_array,,,,Organisations,,,,http://purl.obolibrary.org/obo/NCIT_C16493,The person or authoritative body who provided the information.,RD3
Collections,,release notes,text,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C115505,"A notation regarding the decisions, and/or clarification of any information pertaining to data management.",RD3
