name,code,order,definition,comments,parent,ontologyTermURI
Principal Investigator,,1,Primary investigator,,,
Primary contact,,2,Primary contact person,,,
Project manager,,3,,,,
Data manager,,4,,,,
Alternative contact,,5,,,,
Project leader,,6,,,,
Participant,,7,,,,
Public lead,,8,,,,
EFPIA lead,,9,,,,
Task leader,,10,,,,
