tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
OntologyTerms,,,,,,,,,,,,OntologyTerm table is superclass for all stuff that links to ontology terms
OntologyTerms,,name,,1,TRUE,,,,,,,
OntologyTerms,,code,,2,,,,,,,,identifier used for this code with the ontology
OntologyTerms,,order,int,,,,,,,,,
OntologyTerms,,definition,text,,,,,,,,,
OntologyTerms,,comments,text,,,,,,,,,
OntologyTerms,,parent,ref,,,,OntologyTerms,,,,,link to a more broad term
OntologyTerms,,ontologyTermURI,,3,,,,,,,,
OntologyTerms,,mg_tableclass,,,,,,,,,,
OntologyTerms,,children,refback,,,,OntologyTerms,,parent,,,link to more specific terms
AgeCategories,OntologyTerms,,,,,,,,,,,e.g. '8 week'
Units,OntologyTerms,,,,,,,,,,,
StatusDetails,OntologyTerms,,,,,,,,,,,
Formats,OntologyTerms,,,,,,,,,,,
Keywords,OntologyTerms,,,,,,,,,,,Used to generate the tree on the left; we might want to make multiple trees?
Vocabularies,OntologyTerms,,,,,,,,,,,
