code,name,ontologyTermURI,codesystem
glg,Galician,http://lexvo.org/id/iso639-3/glg,iso693-2
glv,Manx,http://lexvo.org/id/iso639-3/glv,iso693-2
gre,"Greek, Modern (1453-)",http://lexvo.org/id/iso639-3/gre,iso693-2
grn,Guarani,http://lexvo.org/id/iso639-3/grn,iso693-2
guj,Gujarati,http://lexvo.org/id/iso639-3/guj,iso693-2
hat,Haitian,http://lexvo.org/id/iso639-3/hat,iso693-2
hau,Hausa,http://lexvo.org/id/iso639-3/hau,iso693-2
heb,Hebrew,http://lexvo.org/id/iso639-3/heb,iso693-2
her,Herero,http://lexvo.org/id/iso639-3/her,iso693-2
hin,Hindi,http://lexvo.org/id/iso639-3/hin,iso693-2
hmo,Hiri Motu,http://lexvo.org/id/iso639-3/hmo,iso693-2
hrv,Croatian,http://lexvo.org/id/iso639-3/hrv,iso693-2
hun,Hungarian,http://lexvo.org/id/iso639-3/hun,iso693-2
ibo,Igbo,http://lexvo.org/id/iso639-3/ibo,iso693-2
ice,Icelandic,http://lexvo.org/id/iso639-3/ice,iso693-2
ido,Ido,http://lexvo.org/id/iso639-3/ido,iso693-2
iii,Sichuan Yi,http://lexvo.org/id/iso639-3/iii,iso693-2
iku,Inuktitut,http://lexvo.org/id/iso639-3/iku,iso693-2
ile,Interlingue,http://lexvo.org/id/iso639-3/ile,iso693-2
ina,Interlingua (International Auxiliary Language Association),http://lexvo.org/id/iso639-3/ina,iso693-2
ind,Indonesian,http://lexvo.org/id/iso639-3/ind,iso693-2
ipk,Inupiaq,http://lexvo.org/id/iso639-3/ipk,iso693-2
ita,Italian,http://lexvo.org/id/iso639-3/ita,iso693-2
jav,Javanese,http://lexvo.org/id/iso639-3/jav,iso693-2
jpn,Japanese,http://lexvo.org/id/iso639-3/jpn,iso693-2
kal,Kalaallisut,http://lexvo.org/id/iso639-3/kal,iso693-2
kan,Kannada,http://lexvo.org/id/iso639-3/kan,iso693-2
kas,Kashmiri,http://lexvo.org/id/iso639-3/kas,iso693-2
kau,Kanuri,http://lexvo.org/id/iso639-3/kau,iso693-2
kaz,Kazakh,http://lexvo.org/id/iso639-3/kaz,iso693-2
khm,Central Khmer,http://lexvo.org/id/iso639-3/khm,iso693-2
kik,Kikuyu,http://lexvo.org/id/iso639-3/kik,iso693-2
kin,Kinyarwanda,http://lexvo.org/id/iso639-3/kin,iso693-2
kir,Kirghiz,http://lexvo.org/id/iso639-3/kir,iso693-2
kom,Komi,http://lexvo.org/id/iso639-3/kom,iso693-2
kon,Kongo,http://lexvo.org/id/iso639-3/kon,iso693-2
kor,Korean,http://lexvo.org/id/iso639-3/kor,iso693-2
kua,Kuanyama,http://lexvo.org/id/iso639-3/kua,iso693-2
kur,Kurdish,http://lexvo.org/id/iso639-3/kur,iso693-2
lao,Lao,http://lexvo.org/id/iso639-3/lao,iso693-2
lat,Latin,http://lexvo.org/id/iso639-3/lat,iso693-2
lav,Latvian,http://lexvo.org/id/iso639-3/lav,iso693-2
lim,Limburgan,http://lexvo.org/id/iso639-3/lim,iso693-2
lin,Lingala,http://lexvo.org/id/iso639-3/lin,iso693-2
lit,Lithuanian,http://lexvo.org/id/iso639-3/lit,iso693-2
ltz,Luxembourgish,http://lexvo.org/id/iso639-3/ltz,iso693-2
lub,Luba-Katanga,http://lexvo.org/id/iso639-3/lub,iso693-2
lug,Ganda,http://lexvo.org/id/iso639-3/lug,iso693-2
mac,Macedonian,http://lexvo.org/id/iso639-3/mac,iso693-2
mah,Marshallese,http://lexvo.org/id/iso639-3/mah,iso693-2
mal,Malayalam,http://lexvo.org/id/iso639-3/mal,iso693-2
mao,Maori,http://lexvo.org/id/iso639-3/mao,iso693-2
mar,Marathi,http://lexvo.org/id/iso639-3/mar,iso693-2
may,Malay,http://lexvo.org/id/iso639-3/may,iso693-2
mlg,Malagasy,http://lexvo.org/id/iso639-3/mlg,iso693-2
mlt,Maltese,http://lexvo.org/id/iso639-3/mlt,iso693-2
mon,Mongolian,http://lexvo.org/id/iso639-3/mon,iso693-2
nau,Nauru,http://lexvo.org/id/iso639-3/nau,iso693-2
nav,Navajo,http://lexvo.org/id/iso639-3/nav,iso693-2
nbl,South Ndebele,http://lexvo.org/id/iso639-3/nbl,iso693-2
nde,North Ndebele,http://lexvo.org/id/iso639-3/nde,iso693-2
ndo,Ndonga,http://lexvo.org/id/iso639-3/ndo,iso693-2
nep,Nepali,http://lexvo.org/id/iso639-3/nep,iso693-2
nno,Norwegian Nynorsk,http://lexvo.org/id/iso639-3/nno,iso693-2
nob,Norwegian Bokmål,http://lexvo.org/id/iso639-3/nob,iso693-2
nor,Norwegian,http://lexvo.org/id/iso639-3/nor,iso693-2
nya,Nyanja,http://lexvo.org/id/iso639-3/nya,iso693-2
oci,Occitan (post 1500),http://lexvo.org/id/iso639-3/oci,iso693-2
oji,Ojibwa,http://lexvo.org/id/iso639-3/oji,iso693-2
ori,Oriya,http://lexvo.org/id/iso639-3/ori,iso693-2
orm,Oromo,http://lexvo.org/id/iso639-3/orm,iso693-2
oss,Ossetian,http://lexvo.org/id/iso639-3/oss,iso693-2
pan,Panjabi; Punjabi,http://lexvo.org/id/iso639-3/pan,iso693-2
per,Persian,http://lexvo.org/id/iso639-3/per,iso693-2
pli,Pali,http://lexvo.org/id/iso639-3/pli,iso693-2
pol,Polish,http://lexvo.org/id/iso639-3/pol,iso693-2
por,Portuguese,http://lexvo.org/id/iso639-3/por,iso693-2
pus,Pushto,http://lexvo.org/id/iso639-3/pus,iso693-2
que,Quechua,http://lexvo.org/id/iso639-3/que,iso693-2
roh,Romansh,http://lexvo.org/id/iso639-3/roh,iso693-2
ron,Romanian,http://lexvo.org/id/iso639-3/ron,iso693-2
run,Rundi,http://lexvo.org/id/iso639-3/run,iso693-2
rus,Russian,http://lexvo.org/id/iso639-3/rus,iso693-2
sag,Sango,http://lexvo.org/id/iso639-3/sag,iso693-2
san,Sanskrit,http://lexvo.org/id/iso639-3/san,iso693-2
sin,Sinhala,http://lexvo.org/id/iso639-3/sin,iso693-2
slo,Slovak,http://lexvo.org/id/iso639-3/slo,iso693-2
slv,Slovenian,http://lexvo.org/id/iso639-3/slv,iso693-2
sme,Northern Sami,http://lexvo.org/id/iso639-3/sme,iso693-2
smo,Samoan,http://lexvo.org/id/iso639-3/smo,iso693-2
sna,Shona,http://lexvo.org/id/iso639-3/sna,iso693-2
snd,Sindhi,http://lexvo.org/id/iso639-3/snd,iso693-2
som,Somali,http://lexvo.org/id/iso639-3/som,iso693-2
sot,"Sotho, Southern",http://lexvo.org/id/iso639-3/sot,iso693-2
spa,Spanish,http://lexvo.org/id/iso639-3/spa,iso693-2
srd,Sardinian,http://lexvo.org/id/iso639-3/srd,iso693-2
srp,Serbian,http://lexvo.org/id/iso639-3/srp,iso693-2
ssw,Swati,http://lexvo.org/id/iso639-3/ssw,iso693-2
sun,Sundanese,http://lexvo.org/id/iso639-3/sun,iso693-2
swa,Swahili,http://lexvo.org/id/iso639-3/swa,iso693-2
swe,Swedish,http://lexvo.org/id/iso639-3/swe,iso693-2
tah,Tahitian,http://lexvo.org/id/iso639-3/tah,iso693-2
tam,Tamil,http://lexvo.org/id/iso639-3/tam,iso693-2
tat,Tatar,http://lexvo.org/id/iso639-3/tat,iso693-2
tel,Telugu,http://lexvo.org/id/iso639-3/tel,iso693-2
tgk,Tajik,http://lexvo.org/id/iso639-3/tgk,iso693-2
tgl,Tagalog,http://lexvo.org/id/iso639-3/tgl,iso693-2
tha,Thai,http://lexvo.org/id/iso639-3/tha,iso693-2
tib,Tibetan,http://lexvo.org/id/iso639-3/tib,iso693-2
tir,Tigrinya,http://lexvo.org/id/iso639-3/tir,iso693-2
ton,Tonga (Tonga Islands),http://lexvo.org/id/iso639-3/ton,iso693-2
tsn,Tswana,http://lexvo.org/id/iso639-3/tsn,iso693-2
tso,Tsonga,http://lexvo.org/id/iso639-3/tso,iso693-2
tuk,Turkmen,http://lexvo.org/id/iso639-3/tuk,iso693-2
tur,Turkish,http://lexvo.org/id/iso639-3/tur,iso693-2
twi,Twi,http://lexvo.org/id/iso639-3/twi,iso693-2
uig,Uighur,http://lexvo.org/id/iso639-3/uig,iso693-2
ukr,Ukrainian,http://lexvo.org/id/iso639-3/ukr,iso693-2
urd,Urdu,http://lexvo.org/id/iso639-3/urd,iso693-2
uzb,Uzbek,http://lexvo.org/id/iso639-3/uzb,iso693-2
ven,Venda,http://lexvo.org/id/iso639-3/ven,iso693-2
vie,Vietnamese,http://lexvo.org/id/iso639-3/vie,iso693-2
vol,Volapük,http://lexvo.org/id/iso639-3/vol,iso693-2
wel,Welsh,http://lexvo.org/id/iso639-3/wel,iso693-2
wln,Walloon,http://lexvo.org/id/iso639-3/wln,iso693-2
wol,Wolof,http://lexvo.org/id/iso639-3/wol,iso693-2
xho,Xhosa,http://lexvo.org/id/iso639-3/xho,iso693-2
yid,Yiddish,http://lexvo.org/id/iso639-3/yid,iso693-2
yor,Yoruba,http://lexvo.org/id/iso639-3/yor,iso693-2
zha,Zhuang,http://lexvo.org/id/iso639-3/zha,iso693-2
zul,Zulu,http://lexvo.org/id/iso639-3/zul,iso693-2
