codesystem,code,name,label
ICD-O-3,C50.3,Lower-inner quadrant of breast,Lower-inner quadrant of breast
ICD-O-3,C50.4,Upper-outer quadrant of breast,Upper-outer quadrant of breast
ICD-O-3,C50.5,Lower-outer quadrant of breast,Lower-outer quadrant of breast
ICD-O-3,C50.6,Axillary tail of breast,Axillary tail of breast
ICD-O-3,C50.8,Overlapping lesion of breast,Overlapping lesion of breast
ICD-O-3,C50.9,"Breast, NOS","Breast, NOS"
ICD-O-3,C51,VULVA,VULVA
ICD-O-3,C51.0,Labium majus,Labium majus
ICD-O-3,C51.1,Labium minus,Labium minus
ICD-O-3,C51.2,Clitorus,Clitorus
ICD-O-3,C51.8,Overlapping lesion of vulva,Overlapping lesion of vulva
ICD-O-3,C51.9,"Vulva, NOS","Vulva, NOS"
ICD-O-3,C52,VAGINA,VAGINA
ICD-O-3,C52.9,"Vagina, NOS","Vagina, NOS"
ICD-O-3,C53,CERVIX UTERI,CERVIX UTERI
ICD-O-3,C53.0,Endocervix,Endocervix
ICD-O-3,C53.1,Exocervix,Exocervix
ICD-O-3,C53.8,Overlapping lesion of cervix uteri,Overlapping lesion of cervix uteri
ICD-O-3,C53.9,Cervix uteri,Cervix uteri
ICD-O-3,C54,CORPUS UTERI,CORPUS UTERI
ICD-O-3,C54.0,Isthmus uteri,Isthmus uteri
ICD-O-3,C54.1,Endometrium,Endometrium
ICD-O-3,C54.2,Myometrium,Myometrium
ICD-O-3,C54.3,Fundus uteri,Fundus uteri
ICD-O-3,C54.8,Overlapping lesion of corpus uteri,Overlapping lesion of corpus uteri
ICD-O-3,C54.9,Corpus uteri,Corpus uteri
ICD-O-3,C55,"UTERUS, NOS","UTERUS, NOS"
ICD-O-3,C55.9,"Uterus, NOS","Uterus, NOS"
ICD-O-3,C56,OVARY,OVARY
ICD-O-3,C56.9,Ovary,Ovary
ICD-O-3,C57,OTHER AN UNSPECIFIED FEMALE GENITAL ORGANS,OTHER AN UNSPECIFIED FEMALE GENITAL ORGANS
ICD-O-3,C57.0,Fallopian tube,Fallopian tube
ICD-O-3,C57.1,Broad ligament,Broad ligament
ICD-O-3,C57.2,Round ligament,Round ligament
ICD-O-3,C57.3,Parametrium,Parametrium
ICD-O-3,C57.4,Uterine adnexa,Uterine adnexa
ICD-O-3,C57.7,Other specified parts of female genital organs,Other specified parts of female genital organs
ICD-O-3,C57.8,Overlapping lesion of female genital organs,Overlapping lesion of female genital organs
ICD-O-3,C57.9,"Female genital tract, NOS","Female genital tract, NOS"
ICD-O-3,C58,PLACENTA,PLACENTA
ICD-O-3,C58.9,Placenta,Placenta
ICD-O-3,C60,PENIS,PENIS
ICD-O-3,C60.0,Prepuce,Prepuce
ICD-O-3,C60.1,Glans penis,Glans penis
ICD-O-3,C60.2,Body of penis,Body of penis
ICD-O-3,C60.8,Overlapping lesion of penis,Overlapping lesion of penis
ICD-O-3,C60.9,"Penis, NOS","Penis, NOS"
ICD-O-3,C61,PROSTATE GLAND,PROSTATE GLAND
ICD-O-3,C61.9,Prostate gland,Prostate gland
ICD-O-3,C62,TESTIS,TESTIS
ICD-O-3,C62.0,Undescended testis,Undescended testis
ICD-O-3,C62.1,Descended testis,Descended testis
ICD-O-3,C62.9,"Testis, NOS","Testis, NOS"
ICD-O-3,C63,OTHER AND UNSPECIFIED MALE GENITAL ORGANS,OTHER AND UNSPECIFIED MALE GENITAL ORGANS
ICD-O-3,C63.0,Epididymis,Epididymis
ICD-O-3,C63.1,Spermatic cord,Spermatic cord
ICD-O-3,C63.2,"Scrotum, NOS","Scrotum, NOS"
ICD-O-3,C63.7,Other specified parts of male genital organs,Other specified parts of male genital organs
ICD-O-3,C63.8,Overlapping lesion of male genital organs,Overlapping lesion of male genital organs
ICD-O-3,C63.9,"Male genital organs, NOS","Male genital organs, NOS"
ICD-O-3,C64,KIDNEY,KIDNEY
ICD-O-3,C64.9,"Kidney, NOS","Kidney, NOS"
ICD-O-3,C65,RENAL PELVIS,RENAL PELVIS
ICD-O-3,C65.9,Renal pelvis,Renal pelvis
ICD-O-3,C66,URETER,URETER
ICD-O-3,C66.9,Ureter,Ureter
ICD-O-3,C67,BLADDER,BLADDER
ICD-O-3,C67.0,Trigone of bladder,Trigone of bladder
ICD-O-3,C67.1,Dome of bladder,Dome of bladder
ICD-O-3,C67.2,Lateral wall of bladder,Lateral wall of bladder
ICD-O-3,C67.3,Anterior wall of bladder,Anterior wall of bladder
ICD-O-3,C67.4,Posterior wall of bladder,Posterior wall of bladder
ICD-O-3,C67.5,Bladder neck,Bladder neck
ICD-O-3,C67.6,Ureteric orifice,Ureteric orifice
ICD-O-3,C67.7,Urachus,Urachus
ICD-O-3,C67.8,Overlapping lesion of bladder,Overlapping lesion of bladder
ICD-O-3,C67.9,"Bladder, NOS","Bladder, NOS"
ICD-O-3,C68,OTHER AND UNSPECIFIED URINARY ORGANS,OTHER AND UNSPECIFIED URINARY ORGANS
ICD-O-3,C68.0,Urethra,Urethra
ICD-O-3,C68.1,Paraurethral gland,Paraurethral gland
ICD-O-3,C68.8,Overlapping lesion of urinary organs,Overlapping lesion of urinary organs
ICD-O-3,C68.9,"Urinary system, NOS","Urinary system, NOS"
ICD-O-3,C69,EYE AND ADNEXA,EYE AND ADNEXA
ICD-O-3,C69.0,Conjunctiva,Conjunctiva
ICD-O-3,C69.1,"Cornea, NOS","Cornea, NOS"
ICD-O-3,C69.2,Retina,Retina
ICD-O-3,C69.3,Choroid,Choroid
ICD-O-3,C69.4,Ciliary body,Ciliary body
ICD-O-3,C69.5,Lacrimal gland,Lacrimal gland
ICD-O-3,C69.6,"Orbit, NOS","Orbit, NOS"
ICD-O-3,C69.8,Overlapping lesion of eye and adnexa,Overlapping lesion of eye and adnexa
ICD-O-3,C69.9,"Eye, NOS","Eye, NOS"
ICD-O-3,C70,MENINGES,MENINGES
ICD-O-3,C70.0,Cerebral meninges,Cerebral meninges
ICD-O-3,C70.1,Spinal meninges,Spinal meninges
ICD-O-3,C70.9,"Meninges, NOS","Meninges, NOS"
ICD-O-3,C71,BRAIN,BRAIN
ICD-O-3,C71.0,Cerebrum,Cerebrum
ICD-O-3,C71.1,Frontal lobe,Frontal lobe
ICD-O-3,C71.2,Temporal lobe,Temporal lobe
ICD-O-3,C71.3,Parietal lobe,Parietal lobe
ICD-O-3,C71.4,Occipital lobe,Occipital lobe
ICD-O-3,C71.5,"Ventricle, NOS","Ventricle, NOS"
ICD-O-3,C71.6,"Cerebellum, NOS","Cerebellum, NOS"
ICD-O-3,C71.7,Brain stem,Brain stem
ICD-O-3,C71.8,Overlapping lesion of brain,Overlapping lesion of brain
ICD-O-3,C71.9,"Brain, NOS","Brain, NOS"
ICD-O-3,C72,"SPINAL CORD, CRANIAL NERVES, AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM","SPINAL CORD, CRANIAL NERVES, AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM"
ICD-O-3,C72.0,Spinal cord,Spinal cord
ICD-O-3,C72.1,Cauda equina,Cauda equina
ICD-O-3,C72.2,Olfactory nerve,Olfactory nerve
ICD-O-3,C72.3,Optic nerve,Optic nerve
ICD-O-3,C72.4,Acoustic nerve,Acoustic nerve
ICD-O-3,C72.5,"Cranial nerve, NOS","Cranial nerve, NOS"
ICD-O-3,C72.8,Overlapping lesion of brain and central nervous system,Overlapping lesion of brain and central nervous system
ICD-O-3,C72.9,"Nervous system, NOS","Nervous system, NOS"
ICD-O-3,C73,THYROID GLAND,THYROID GLAND
ICD-O-3,C73.9,Thyroid gland,Thyroid gland
ICD-O-3,C74,ADRENAL GLAND,ADRENAL GLAND
ICD-O-3,C74.0,Cortex of adrenal gland,Cortex of adrenal gland
ICD-O-3,C74.1,Medulla of adrenal gland,Medulla of adrenal gland
ICD-O-3,C74.9,"Adrenal gland, NOS","Adrenal gland, NOS"
ICD-O-3,C75,OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES,OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES
ICD-O-3,C75.0,Parathyroid gland,Parathyroid gland
ICD-O-3,C75.1,Pituitary gland,Pituitary gland
ICD-O-3,C75.2,Craniopharyngeal duct,Craniopharyngeal duct
ICD-O-3,C75.3,Pineal gland,Pineal gland
ICD-O-3,C75.4,Carotid body,Carotid body
ICD-O-3,C75.5,Aortic body and other paraganglia,Aortic body and other paraganglia
