codesystem,code,name,label
ICD-O-3,C00,LIP,LIP
ICD-O-3,C00.0,External upper lip,External upper lip
ICD-O-3,C00.1,External lower lip,External lower lip
ICD-O-3,C00.2,"External lip, NOS","External lip, NOS"
ICD-O-3,C00.3,Mucosa of upper lip,Mucosa of upper lip
ICD-O-3,C00.4,Mucosa of lower lip,Mucosa of lower lip
ICD-O-3,C00.5,"Mucosa of lip, NOS","Mucosa of lip, NOS"
ICD-O-3,C00.6,Commissure of lip,Commissure of lip
ICD-O-3,C00.8,Overlapping lesion of lip,Overlapping lesion of lip
ICD-O-3,C00.9,"Lip, NOS","Lip, NOS"
ICD-O-3,C01,BASE OF TONGUE,BASE OF TONGUE
ICD-O-3,C01.9,"Base of tongue, NOS","Base of tongue, NOS"
ICD-O-3,C02,OTHER AND UNSPECIFIED PARTS OF TONGUE,OTHER AND UNSPECIFIED PARTS OF TONGUE
ICD-O-3,C02.0,"Dorsal surface of tongue, NOS","Dorsal surface of tongue, NOS"
ICD-O-3,C02.1,Border of tongue,Border of tongue
ICD-O-3,C02.2,"Ventral surface of tongue, NOS","Ventral surface of tongue, NOS"
ICD-O-3,C02.3,"Anterior 2/3 of tongue, NOS","Anterior 2/3 of tongue, NOS"
ICD-O-3,C02.4,Lingual tonsil,Lingual tonsil
ICD-O-3,C02.8,Overlapping lesion of tongue,Overlapping lesion of tongue
ICD-O-3,C02.9,"Tongue, NOS","Tongue, NOS"
ICD-O-3,C03,GUM,GUM
ICD-O-3,C03.0,Upper Gum,Upper Gum
ICD-O-3,C03.1,Lower gum,Lower gum
ICD-O-3,C03.9,"Gum, NOS","Gum, NOS"
ICD-O-3,C04,FLOOR OF MOUTH,FLOOR OF MOUTH
ICD-O-3,C04.0,Anterior floor of mouth,Anterior floor of mouth
ICD-O-3,C04.1,Lateral floor of mouth,Lateral floor of mouth
ICD-O-3,C04.8,Overlapping lesion of floor of mouth,Overlapping lesion of floor of mouth
ICD-O-3,C04.9,"Floor of mouth, NOS","Floor of mouth, NOS"
ICD-O-3,C05,PALATE,PALATE
ICD-O-3,C05.0,Hard palate,Hard palate
ICD-O-3,C05.1,"Soft palate, NOS","Soft palate, NOS"
ICD-O-3,C05.2,Uvula,Uvula
ICD-O-3,C05.8,Overlapping lesion of palate,Overlapping lesion of palate
ICD-O-3,C05.9,"Palate, NOS","Palate, NOS"
ICD-O-3,C06,OTHER AND UNSPECIFIED PARTS OF MOUTH,OTHER AND UNSPECIFIED PARTS OF MOUTH
ICD-O-3,C06.0,Cheeck mucosa,Cheeck mucosa
ICD-O-3,C06.1,Vestibule of mouth,Vestibule of mouth
ICD-O-3,C06.2,Retromolar area,Retromolar area
ICD-O-3,C06.8,Overlapping lesion of other and unspecified parts of mouth,Overlapping lesion of other and unspecified parts of mouth
ICD-O-3,C06.9,"Mouth, NOS","Mouth, NOS"
ICD-O-3,C07,PAROTID GLANID,PAROTID GLANID
ICD-O-3,C07.9,Parotid gland,Parotid gland
ICD-O-3,C08,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS
ICD-O-3,C08.0,Submandibular gland,Submandibular gland
ICD-O-3,C08.1,Sublingual gland,Sublingual gland
ICD-O-3,C08.8,Overlapping lesion of major salivary glands,Overlapping lesion of major salivary glands
ICD-O-3,C08.9,"Major salivary gland, NOS","Major salivary gland, NOS"
ICD-O-3,C09,TONSIL,TONSIL
ICD-O-3,C09.0,Tonsillar fossa,Tonsillar fossa
ICD-O-3,C09.1,Tonsillar pillar,Tonsillar pillar
ICD-O-3,C09.8,Overlapping lesion of tonsil,Overlapping lesion of tonsil
ICD-O-3,C09.9,"Tonsil, NOS","Tonsil, NOS"
ICD-O-3,C10,OROPHARYNX,OROPHARYNX
ICD-O-3,C10.0,Vallecula,Vallecula
ICD-O-3,C10.1,Anterior surface of epiglottis,Anterior surface of epiglottis
ICD-O-3,C10.2,Lateral wall of oropharynx,Lateral wall of oropharynx
ICD-O-3,C10.3,Posterior wall of oropharynx,Posterior wall of oropharynx
ICD-O-3,C10.4,Branchial cleft,Branchial cleft
ICD-O-3,C10.8,Overlapping lesions of oropharynx,Overlapping lesions of oropharynx
ICD-O-3,C10.9,"Oropharynx, NOS","Oropharynx, NOS"
ICD-O-3,C11,NASOPHARYNX,NASOPHARYNX
ICD-O-3,C11.0,Superior wall of nasopharynx,Superior wall of nasopharynx
ICD-O-3,C11.1,Posterior wall of nasopharynx,Posterior wall of nasopharynx
ICD-O-3,C11.2,Lateral wall of nasopharynx,Lateral wall of nasopharynx
ICD-O-3,C11.3,Anterior wall of nasopharynx,Anterior wall of nasopharynx
ICD-O-3,C11.8,Overlapping lesion of nasopharynx,Overlapping lesion of nasopharynx
ICD-O-3,C11.9,"Nasopharynx, NOS","Nasopharynx, NOS"
ICD-O-3,C12,PYRIFORM SINUS,PYRIFORM SINUS
ICD-O-3,C12.9,Pyriform sinus,Pyriform sinus
ICD-O-3,C13,HYPOPHARYNX,HYPOPHARYNX
ICD-O-3,C13.0,Postcricoid region,Postcricoid region
ICD-O-3,C13.1,Hypopharyngeal aspect of aryepiglottic fold,Hypopharyngeal aspect of aryepiglottic fold
ICD-O-3,C13.2,Posterior wall of hypopharynx,Posterior wall of hypopharynx
ICD-O-3,C13.8,Overlapping lesion of hypopharynx,Overlapping lesion of hypopharynx
ICD-O-3,C13.9,"Hypopharynx, NOS","Hypopharynx, NOS"
ICD-O-3,C14,"OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX","OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX"
ICD-O-3,C14.0,"Pharynx, NOS","Pharynx, NOS"
ICD-O-3,C14.2,Waldeyer ring,Waldeyer ring
ICD-O-3,C14.8,"Overlapping lesion of lip, oral cavity and pharynx","Overlapping lesion of lip, oral cavity and pharynx"
ICD-O-3,C15,ESOPHAGUS,ESOPHAGUS
ICD-O-3,C15.0,Cervical esophagus,Cervical esophagus
ICD-O-3,C15.1,Thoracic esophagus,Thoracic esophagus
ICD-O-3,C15.2,Abdominal esophagus,Abdominal esophagus
ICD-O-3,C15.3,Upper third of esophagus,Upper third of esophagus
ICD-O-3,C15.4,Middle third of esophagus,Middle third of esophagus
ICD-O-3,C15.5,Lower third of esophagus,Lower third of esophagus
ICD-O-3,C15.8,Overlapping lesion of esophagus,Overlapping lesion of esophagus
ICD-O-3,C15.9,"Esophagus, NOS","Esophagus, NOS"
ICD-O-3,C16,STOMACH,STOMACH
ICD-O-3,C16.0,"Cardia, NOS","Cardia, NOS"
ICD-O-3,C16.1,Fundus of stomach,Fundus of stomach
ICD-O-3,C16.2,Body of stomach,Body of stomach
ICD-O-3,C16.3,Gastric antrum,Gastric antrum
ICD-O-3,C16.4,Pylorus,Pylorus
ICD-O-3,C16.5,"Lesser curvature of stomach, NOS","Lesser curvature of stomach, NOS"
ICD-O-3,C16.6,"Greater curvature of stomach, NOS","Greater curvature of stomach, NOS"
ICD-O-3,C16.8,Overlapping lesion of stomach,Overlapping lesion of stomach
ICD-O-3,C16.9,"Stomach, NOS","Stomach, NOS"
ICD-O-3,C17,SMALL INTESTINE,SMALL INTESTINE
ICD-O-3,C17.0,Duodenum,Duodenum
ICD-O-3,C17.1,Jejunum,Jejunum
ICD-O-3,C17.2,Ileum,Ileum
ICD-O-3,C17.3,Meckel diverticulum,Meckel diverticulum
ICD-O-3,C17.8,Overlapping lesion of small intestine,Overlapping lesion of small intestine
ICD-O-3,C17.9,"Small intestine, NOS","Small intestine, NOS"
ICD-O-3,C18,COLON,COLON
ICD-O-3,C18.0,Cecum,Cecum
ICD-O-3,C18.1,Appendix,Appendix
ICD-O-3,C18.2,Ascending colon,Ascending colon
ICD-O-3,C18.3,Hepatic flexure of colon,Hepatic flexure of colon
ICD-O-3,C18.4,Transverse colon,Transverse colon
ICD-O-3,C18.5,Splenic flexure of colon,Splenic flexure of colon
ICD-O-3,C18.6,Descending colon,Descending colon
ICD-O-3,C18.7,Sigmoid colon,Sigmoid colon
ICD-O-3,C18.8,Overlapping lesion of colon,Overlapping lesion of colon
ICD-O-3,C18.9,"Colon, NOS","Colon, NOS"
ICD-O-3,C19,RECTOSIGMOID JUNCTION,RECTOSIGMOID JUNCTION
ICD-O-3,C19.9,Rectosigmoid junction,Rectosigmoid junction
ICD-O-3,C20,RECTUM,RECTUM
ICD-O-3,C20.9,"Rectum, NOS","Rectum, NOS"
ICD-O-3,C21,ANUS AND ANAL CANAL,ANUS AND ANAL CANAL
ICD-O-3,C21.0,"Anus, NOS","Anus, NOS"
ICD-O-3,C21.1,Anal canal,Anal canal
ICD-O-3,C21.2,Cloacogenic zone,Cloacogenic zone
ICD-O-3,C21.8,"Overlapping lesion of rectum, anus and anal canal","Overlapping lesion of rectum, anus and anal canal"
ICD-O-3,C22,LIVER AND INTRAHEPATIC BILE DUCTS,LIVER AND INTRAHEPATIC BILE DUCTS
ICD-O-3,C22.0,Liver,Liver
ICD-O-3,C22.1,intrahepatic bile duct,intrahepatic bile duct
ICD-O-3,C23,GALLBLADDER,GALLBLADDER
ICD-O-3,C23.9,Gallbladder,Gallbladder
ICD-O-3,C24,OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT,OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT
ICD-O-3,C24.0,Extrahepatic bile duct,Extrahepatic bile duct
ICD-O-3,C24.1,Ampulla of Vater,Ampulla of Vater
ICD-O-3,C24.8,Overlapping lesion of billiary tract,Overlapping lesion of billiary tract
ICD-O-3,C24.9,"Billiary tract, NOS","Billiary tract, NOS"
ICD-O-3,C25,PANCREAS,PANCREAS
ICD-O-3,C25.0,Head of pancreas,Head of pancreas
ICD-O-3,C25.1,Body of pancreas,Body of pancreas
ICD-O-3,C25.2,Tail of pancreas,Tail of pancreas
ICD-O-3,C25.3,Pancreatic duct,Pancreatic duct
ICD-O-3,C25.4,Islets of Langerhans,Islets of Langerhans
ICD-O-3,C25.7,Other specified parts of pancreas,Other specified parts of pancreas
ICD-O-3,C25.8,Overlapping lesion of pancreas,Overlapping lesion of pancreas
ICD-O-3,C25.9,"Pancreas, NOS","Pancreas, NOS"
ICD-O-3,C26,OTHER AND ILL-DEFINED DIGESTIVE ORGANS,OTHER AND ILL-DEFINED DIGESTIVE ORGANS
ICD-O-3,C26.0,"Intestinal tract, NOS","Intestinal tract, NOS"
ICD-O-3,C26.8,Overlapping lesion of digestive system,Overlapping lesion of digestive system
ICD-O-3,C26.9,"Gastrointestinal tract, NOS","Gastrointestinal tract, NOS"
ICD-O-3,C30,NASAL CAVITY AND MIDDLE EAR,NASAL CAVITY AND MIDDLE EAR
ICD-O-3,C30.0,Nasal cavity,Nasal cavity
ICD-O-3,C30.1,Middle ear,Middle ear
ICD-O-3,C31,ACCESSORY SINUSES,ACCESSORY SINUSES
ICD-O-3,C31.0,Maxillary sinus,Maxillary sinus
ICD-O-3,C31.1,Ethmoid sinus,Ethmoid sinus
ICD-O-3,C31.2,Frontal sinus,Frontal sinus
ICD-O-3,C31.3,Sphenoid sinus,Sphenoid sinus
ICD-O-3,C31.8,Overlapping lesion of accessory sinuses,Overlapping lesion of accessory sinuses
ICD-O-3,C31.9,"Accessory sinus, NOS","Accessory sinus, NOS"
ICD-O-3,C32,LARYNX,LARYNX
ICD-O-3,C32.0,Glottis,Glottis
ICD-O-3,C32.1,Supraglottis,Supraglottis
ICD-O-3,C32.2,Subglottis,Subglottis
ICD-O-3,C32.3,Laryngeal cartilage,Laryngeal cartilage
ICD-O-3,C32.8,Overlapping lesion of larynx,Overlapping lesion of larynx
ICD-O-3,C32.9,"Larynx, NOS","Larynx, NOS"
ICD-O-3,C33,TRACHEA,TRACHEA
ICD-O-3,C33.9,Trachea,Trachea
ICD-O-3,C34,BRONCHUS AND LUNG,BRONCHUS AND LUNG
ICD-O-3,C34.0,Main bronchus,Main bronchus
ICD-O-3,C34.1,"Upper lobe, lung","Upper lobe, lung"
ICD-O-3,C34.2,"Middle lobe, lung","Middle lobe, lung"
ICD-O-3,C34.3,"Lower lobe, lung","Lower lobe, lung"
ICD-O-3,C34.8,Overlapping lesion of lung,Overlapping lesion of lung
ICD-O-3,C34.9,"Lung, NOS","Lung, NOS"
ICD-O-3,C37,THYMUS,THYMUS
ICD-O-3,C37.9,Thymus,Thymus
ICD-O-3,C38,"HEART, MEDIASTINUM, AND PLEURA","HEART, MEDIASTINUM, AND PLEURA"
ICD-O-3,C38.0,Heart,Heart
ICD-O-3,C38.1,Anterior mediastinum,Anterior mediastinum
ICD-O-3,C38.2,Posterior mediastinum,Posterior mediastinum
ICD-O-3,C38.3,"Mediastinum, NOS","Mediastinum, NOS"
ICD-O-3,C38.4,"Pleura, NOS","Pleura, NOS"
ICD-O-3,C38.8,"Overlapping lesion of heart, mediastinum and pleura","Overlapping lesion of heart, mediastinum and pleura"
ICD-O-3,C39,OTHER AND ILL-DEFINED SITES WITHIN RESPIRATORY SYSTEM AMD INTRATHORACIC ORGANS,OTHER AND ILL-DEFINED SITES WITHIN RESPIRATORY SYSTEM AMD INTRATHORACIC ORGANS
ICD-O-3,C39.0,"Upper respiratory tract, NOS","Upper respiratory tract, NOS"
ICD-O-3,C39.8,Overlapping lesion of respiratory system and intrathoracic organs,Overlapping lesion of respiratory system and intrathoracic organs
ICD-O-3,C39.9,Ill-defined sites within respiratory system,Ill-defined sites within respiratory system
ICD-O-3,C40,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS"
ICD-O-3,C40.0,"Long bones of upper limb, scapula and associated joints","Long bones of upper limb, scapula and associated joints"
ICD-O-3,C40.1,Short bones of upper limb and associated joints,Short bones of upper limb and associated joints
ICD-O-3,C40.2,Long bones of lower limb and associated joints,Long bones of lower limb and associated joints
ICD-O-3,C40.3,Short bones of lower limb and associated joints,Short bones of lower limb and associated joints
ICD-O-3,C40.8,"Overlapping lesion of bones, joints and articular cartilage of limbs","Overlapping lesion of bones, joints and articular cartilage of limbs"
ICD-O-3,C40.9,"Bone of limb, NOS","Bone of limb, NOS"
ICD-O-3,C41,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES","BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES"
ICD-O-3,C41.0,Bones of skull and face and associated joints,Bones of skull and face and associated joints
ICD-O-3,C41.1,Mandible,Mandible
ICD-O-3,C41.2,Vertebral column,Vertebral column
ICD-O-3,C41.3,"Rib, sternum, clavicle and associated joints","Rib, sternum, clavicle and associated joints"
ICD-O-3,C41.4,"Pelvic bones, sacrum, coccyx and associated joints","Pelvic bones, sacrum, coccyx and associated joints"
ICD-O-3,C41.8,"Overlapping lesion of bones, joints and articular cartilage","Overlapping lesion of bones, joints and articular cartilage"
ICD-O-3,C41.9,"Bone, NOS","Bone, NOS"
ICD-O-3,C42,HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS,HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS
ICD-O-3,C42.0,Blood,Blood
ICD-O-3,C42.1,Bone marrow,Bone marrow
ICD-O-3,C42.2,Spleen,Spleen
ICD-O-3,C42.3,"Reticuloendothelial system, NOS","Reticuloendothelial system, NOS"
ICD-O-3,C42.4,"Hematopoietic system, NOS","Hematopoietic system, NOS"
ICD-O-3,C44,SKIN,SKIN
ICD-O-3,C44.0,"Skin of lip, NOS","Skin of lip, NOS"
ICD-O-3,C44.1,Eyelid,Eyelid
ICD-O-3,C44.2,External ear,External ear
ICD-O-3,C44.3,Skin of other and unspecified parts of face,Skin of other and unspecified parts of face
ICD-O-3,C44.4,Skin of scalp and neck,Skin of scalp and neck
ICD-O-3,C44.5,Skin of trunk,Skin of trunk
ICD-O-3,C44.6,Skin of upper limb and shoulder,Skin of upper limb and shoulder
ICD-O-3,C44.7,Skin of lower limb and hip,Skin of lower limb and hip
ICD-O-3,C44.8,Overlapping lesion of skin,Overlapping lesion of skin
ICD-O-3,C44.9,"Skin, NOS","Skin, NOS"
ICD-O-3,C47,PERIPHERAL NERVES AND AUTONOMIC NERVOUS SYSTEM,PERIPHERAL NERVES AND AUTONOMIC NERVOUS SYSTEM
ICD-O-3,C47.0,"Peripheral nerves and autonomic nervous system of head, face, and neck","Peripheral nerves and autonomic nervous system of head, face, and neck"
ICD-O-3,C47.1,Peripheral nerves and autonomic nervous system of upper limb and shoulder,Peripheral nerves and autonomic nervous system of upper limb and shoulder
ICD-O-3,C47.2,Peripheral nerves and autonomic nervous system of lower limb and hip,Peripheral nerves and autonomic nervous system of lower limb and hip
ICD-O-3,C47.3,Peripheral nerves and autonomic nervous system of thorax,Peripheral nerves and autonomic nervous system of thorax
ICD-O-3,C47.4,Peripheral nerves and autonomic nervous system of abdomen,Peripheral nerves and autonomic nervous system of abdomen
ICD-O-3,C47.5,Peripheral nerves and autonomic nervous system of pelvis,Peripheral nerves and autonomic nervous system of pelvis
ICD-O-3,C47.6,"Peripheral nerves and autonomic nervous system of trunk, NOS","Peripheral nerves and autonomic nervous system of trunk, NOS"
ICD-O-3,C47.8,Overlapping lesion of peripheral nerves and autonomic nervous system,Overlapping lesion of peripheral nerves and autonomic nervous system
ICD-O-3,C47.9,"Autonomic nervous system, NOS","Autonomic nervous system, NOS"
ICD-O-3,C48,RETROPERITONEUM AND PERITONEUM,RETROPERITONEUM AND PERITONEUM
ICD-O-3,C48.0,Retroperitoneum,Retroperitoneum
ICD-O-3,C48.1,Specified parts of peritoneum,Specified parts of peritoneum
ICD-O-3,C48.2,"Peritoneum, NOS","Peritoneum, NOS"
ICD-O-3,C48.8,Overlapping lesion of retroperitoneum and peritoneum,Overlapping lesion of retroperitoneum and peritoneum
ICD-O-3,C49,"CONNECTIVE, SUBCUTANEOUS AND OTHER SOFT TISSUES","CONNECTIVE, SUBCUTANEOUS AND OTHER SOFT TISSUES"
ICD-O-3,C49.0,"Connective, Subcutaneous and other soft tissues of head, face, and neck","Connective, Subcutaneous and other soft tissues of head, face, and neck"
ICD-O-3,C49.1,"Connective, Subcutaneous and other soft tissues of upper limb and shoulder","Connective, Subcutaneous and other soft tissues of upper limb and shoulder"
ICD-O-3,C49.2,"Connective, Subcutaneous and other soft tissues of lower limb and hip","Connective, Subcutaneous and other soft tissues of lower limb and hip"
ICD-O-3,C49.3,"Connective, Subcutaneous and other soft tissues of thorax","Connective, Subcutaneous and other soft tissues of thorax"
ICD-O-3,C49.4,"Connective, Subcutaneous and other soft tissues of abdomen","Connective, Subcutaneous and other soft tissues of abdomen"
ICD-O-3,C49.5,"Connective, Subcutaneous and other soft tissues of pelvis","Connective, Subcutaneous and other soft tissues of pelvis"
ICD-O-3,C49.6,"Connective, Subcutaneous and other soft tissues of trunk, NOS","Connective, Subcutaneous and other soft tissues of trunk, NOS"
ICD-O-3,C49.8,"Overlapping lesion of connective, subcutaneous and other soft tissues","Overlapping lesion of connective, subcutaneous and other soft tissues"
ICD-O-3,C49.9,"Connective, Subcutaneous and other soft tissues, NOS","Connective, Subcutaneous and other soft tissues, NOS"
ICD-O-3,C50,BREAST,BREAST
ICD-O-3,C50.0,Nipple,Nipple
ICD-O-3,C50.1,Central portion of breast,Central portion of breast
ICD-O-3,C50.2,Upper-inner quadrant of breast,Upper-inner quadrant of breast
