order,name,label,parent,codesystem,code,ontologyTermURI,definition
,0,<10,,,,,
,1,10 - 100,,,,,
,2,100 - 1000,,,,,
,3,1000 - 10.000,,,,,
,4,10.000 - 100.000,,,,,
,5,100.000 - 1.000.000,,,,,
,6,1.000.000 - 10.000.000,,,,,
,7,10.000.000 - 100.000.000,,,,,
,8,100.000.000 - 1.000.000.000,,,,,
